item_id,study_id,dim,codex,ours
F0518,W7146985142,construct,OTHER,CONCENTRATION
F0519,W7146985142,construct,EXPOSURE,CONCENTRATION
F0541,2-s2.0-85188806397,construct,SHARING,OTHER
F0550,2-s2.0-85060025053,construct,RECALL,REACH
F0560,W3033912864,construct,REACH,OTHER
F0561,2-s2.0-85096102360,construct,REACH,RECALL
F0567,2-s2.0-105027959122,construct,RECALL,REACH
F0568,2-s2.0-105027959122,construct,CONTENT,REACH
F0611,2-s2.0-105027856675,construct,CONTENT,SHARING
F0613,2-s2.0-105027856675,construct,CONTENT,SHARING
F0620,2-s2.0-105027856675,construct,SHARING,OTHER
F0621,2-s2.0-105027856675,construct,SHARING,OTHER
F0622,2-s2.0-105027856675,construct,SHARING,OTHER
F0623,2-s2.0-105027856675,construct,SHARING,OTHER
F0634,OA-W4407797130,construct,OTHER,RECALL
F0635,OA-W4407797130,construct,OTHER,RECALL
F0639,2-s2.0-85066894147,construct,CONTENT,SHARING
F0640,2-s2.0-85066894147,construct,CONTENT,SHARING
F0647,NEW-berriche-fakerisland2026,construct,OTHER,REACH
F0006,2-s2.0-85107390682,breadth,FALSE,MISLEADING
F0012,2-s2.0-85135254144,breadth,FALSE,MISLEADING
F0013,2-s2.0-85210156482,breadth,FALSE,MISLEADING
F0032,2-s2.0-85086031086,breadth,MISLEADING,FALSE
F0033,2-s2.0-85086031086,breadth,FABRICATED,FALSE
F0034,2-s2.0-85086031086,breadth,MISLEADING,FALSE
F0035,2-s2.0-85086031086,breadth,FABRICATED,FALSE
F0040,2-s2.0-105031357857,breadth,FALSE,MISLEADING
F0056,2-s2.0-85046831961,breadth,MISLEADING,FALSE
F0099,2-s2.0-85168520853,breadth,MISLEADING,FALSE
F0102,2-s2.0-85140592237,breadth,FALSE,MISLEADING
F0107,2-s2.0-85090430198,breadth,FALSE,MISLEADING
F0116,SEED-allcott2017,breadth,FABRICATED,FALSE
F0125,W4309243406,breadth,FALSE,MISLEADING
F0126,W4309243406,breadth,FALSE,MISLEADING
F0127,W4309243406,breadth,FALSE,MISLEADING
F0128,W4309243406,breadth,FALSE,MISLEADING
F0130,2-s2.0-85109464429,breadth,FALSE,MISLEADING
F0136,W2901308345,breadth,FABRICATED,FALSE
F0153,2-s2.0-85051037754,breadth,MISLEADING,FALSE
F0154,2-s2.0-85051037754,breadth,MISLEADING,FALSE
F0156,2-s2.0-85056331134,breadth,FALSE,MISLEADING
F0163,2-s2.0-85194880315,breadth,FABRICATED,FALSE
F0171,2-s2.0-85115631663,breadth,MISLEADING,FALSE
F0178,2-s2.0-105018276467,breadth,FABRICATED,FALSE
F0179,2-s2.0-105018276467,breadth,FABRICATED,FALSE
F0185,2-s2.0-85084031148,breadth,FALSE,MISLEADING
F0186,2-s2.0-105012722892,breadth,MISLEADING,FALSE
F0197,2-s2.0-85209813530,breadth,FALSE,MISLEADING
F0205,2-s2.0-105036232690,breadth,FALSE,MISLEADING
F0215,2-s2.0-105014185875,breadth,FALSE,MISLEADING
F0218,2-s2.0-85107396751,breadth,FALSE,MISLEADING
F0225,2-s2.0-105009619554,breadth,FALSE,MISLEADING
F0229,2-s2.0-85134325788,breadth,FALSE,MISLEADING
F0230,2-s2.0-105005857219,breadth,FALSE,MISLEADING
F0239,2-s2.0-85214504236,breadth,FALSE,MISLEADING
F0240,2-s2.0-105002578811,breadth,FALSE,MISLEADING
F0246,2-s2.0-105030082417,breadth,FALSE,MISLEADING
F0247,2-s2.0-85213223975,breadth,MISLEADING,FALSE
F0251,2-s2.0-105034745484,breadth,FALSE,MISLEADING
F0279,2-s2.0-85205688160,breadth,FALSE,MISLEADING
F0280,2-s2.0-85205688160,breadth,FALSE,MISLEADING
F0281,2-s2.0-85205688160,breadth,FALSE,MISLEADING
F0282,2-s2.0-85205688160,breadth,FALSE,MISLEADING
F0283,PMID-41189872,breadth,FALSE,MISLEADING
F0284,PMID-41189872,breadth,FALSE,MISLEADING
F0285,PMID-40061772,breadth,FALSE,MISLEADING
F0289,OA-W2914761925,breadth,MISLEADING,FALSE
F0297,OA-W4407797130,breadth,FABRICATED,FALSE
F0299,OA-W3206858890,breadth,FABRICATED,FALSE
F0310,OA-W4360608277,breadth,FALSE,MISLEADING
F0321,2-s2.0-85055756722,breadth,MISLEADING,FABRICATED
F0334,2-s2.0-85145881152,breadth,FALSE,MISLEADING
F0354,2-s2.0-85172813494,breadth,FALSE,MISLEADING
F0374,2-s2.0-85093940530,breadth,MISLEADING,FALSE
F0391,2-s2.0-85122105134,breadth,FABRICATED,FALSE
F0392,2-s2.0-85122105134,breadth,FABRICATED,FALSE
F0415,2-s2.0-105008525623,breadth,FALSE,MISLEADING
F0424,SEED-allcott2017,breadth,FABRICATED,FALSE
F0452,2-s2.0-85179481261,breadth,MISLEADING,FALSE
F0453,2-s2.0-85179481261,breadth,MISLEADING,FALSE
F0482,2-s2.0-85075076652,breadth,MISLEADING,FALSE
F0496,2603.11058,breadth,MISLEADING,FALSE
F0497,2603.11058,breadth,MISLEADING,FALSE
F0498,2603.11058,breadth,MISLEADING,FALSE
F0499,2603.11058,breadth,MISLEADING,FALSE
F0500,2603.11058,breadth,MISLEADING,FALSE
F0501,2603.11058,breadth,MISLEADING,FALSE
F0568,2-s2.0-105027959122,breadth,FABRICATED,FALSE
F0572,2-s2.0-85168520853,breadth,MISLEADING,FALSE
F0573,2-s2.0-85168520853,breadth,MISLEADING,FALSE
F0627,2603.11058,breadth,MISLEADING,FALSE
F0628,2603.11058,breadth,MISLEADING,FALSE
F0629,2603.11058,breadth,MISLEADING,FALSE
F0630,2603.11058,breadth,MISLEADING,FALSE
F0631,PMID-42295743,breadth,FALSE,MISLEADING
F0632,PMID-42295743,breadth,FALSE,MISLEADING
F0633,PMID-42295743,breadth,FALSE,MISLEADING
F0634,OA-W4407797130,breadth,FABRICATED,FALSE
F0635,OA-W4407797130,breadth,FABRICATED,FALSE
F0647,NEW-berriche-fakerisland2026,breadth,FALSE,MISLEADING
F0004,2-s2.0-84883291462,denom_class,CURATED_SAMPLE,TOPICAL
F0007,2-s2.0-85191403735,denom_class,N/A,TOPICAL
F0008,2-s2.0-85159871316,denom_class,CURATED_SAMPLE,TOPICAL
F0010,2-s2.0-85159889148,denom_class,SINGLE_SOURCE,TOPICAL
F0014,2-s2.0-85054363956,denom_class,N/A,SINGLE_SOURCE
F0015,2-s2.0-85054363956,denom_class,CURATED_SAMPLE,SINGLE_SOURCE
F0017,2-s2.0-85163186108,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0018,2-s2.0-85191357340,denom_class,CURATED_SAMPLE,TOPICAL
F0019,2-s2.0-85195375481,denom_class,TOPICAL,CURATED_SAMPLE
F0025,2-s2.0-85145425628,denom_class,CURATED_SAMPLE,TOPICAL
F0030,2-s2.0-85095594211,denom_class,TOPICAL,CURATED_SAMPLE
F0047,2-s2.0-85083965254,denom_class,CURATED_SAMPLE,SINGLE_SOURCE
F0053,2-s2.0-85167574647,denom_class,TOPICAL,CURATED_SAMPLE
F0059,2-s2.0-105007777349,denom_class,CURATED_SAMPLE,TOPICAL
F0060,2-s2.0-85203845655,denom_class,N/A,TOPICAL
F0062,2-s2.0-85125507154,denom_class,TOPICAL,CURATED_SAMPLE
F0064,2-s2.0-85074596916,denom_class,TOPICAL,POLITICAL_NEWS
F0077,2-s2.0-78649725192,denom_class,CURATED_SAMPLE,TOPICAL
F0081,2-s2.0-85145404443,denom_class,CURATED_SAMPLE,TOPICAL
F0082,2-s2.0-85141666446,denom_class,CURATED_SAMPLE,TOPICAL
F0085,2-s2.0-85085201199,denom_class,CURATED_SAMPLE,TOPICAL
F0088,2-s2.0-85076877757,denom_class,N/A,POLITICAL_NEWS
F0089,2-s2.0-85076877757,denom_class,TOPICAL,POLITICAL_NEWS
F0090,2-s2.0-105028851691,denom_class,CURATED_SAMPLE,TOPICAL
F0091,2-s2.0-85217197547,denom_class,N/A,TOPICAL
F0094,2-s2.0-85089627303,denom_class,CURATED_SAMPLE,TOPICAL
F0099,2-s2.0-85168520853,denom_class,N/A,SINGLE_SOURCE
F0100,2-s2.0-85139497631,denom_class,N/A,TOPICAL
F0101,2-s2.0-85089622030,denom_class,N/A,CURATED_SAMPLE
F0109,W3011186656,denom_class,CURATED_SAMPLE,TOPICAL
F0110,W4407878374,denom_class,CURATED_SAMPLE,TOPICAL
F0112,W4306964957,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0113,W4306964957,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0132,W3189543626,denom_class,TOPICAL,CURATED_SAMPLE
F0133,W4385567160,denom_class,CURATED_SAMPLE,SINGLE_SOURCE
F0134,W3138656580,denom_class,N/A,TOPICAL
F0135,W2901308345,denom_class,N/A,SINGLE_SOURCE
F0136,W2901308345,denom_class,N/A,SINGLE_SOURCE
F0139,W4205602257,denom_class,POLITICAL_NEWS,TOPICAL
F0143,W7146985142,denom_class,NEWS_DIET,POPULATION
F0147,2-s2.0-85212060458,denom_class,CURATED_SAMPLE,TOPICAL
F0151,2-s2.0-105020578144,denom_class,N/A,TOPICAL
F0153,2-s2.0-85051037754,denom_class,TOPICAL,SINGLE_SOURCE
F0168,2-s2.0-85127039075,denom_class,TOPICAL,CURATED_SAMPLE
F0169,2-s2.0-85127039075,denom_class,TOPICAL,CURATED_SAMPLE
F0172,2-s2.0-85099807131,denom_class,SINGLE_SOURCE,TOPICAL
F0182,2-s2.0-85079874634,denom_class,CURATED_SAMPLE,TOPICAL
F0187,2-s2.0-85073061780,denom_class,CURATED_SAMPLE,TOPICAL
F0188,2-s2.0-105002620495,denom_class,TOPICAL,SINGLE_SOURCE
F0189,2-s2.0-85212052138,denom_class,CURATED_SAMPLE,TOPICAL
F0190,2-s2.0-85215939792,denom_class,N/A,TOPICAL
F0196,2-s2.0-33645965882,denom_class,CURATED_SAMPLE,TOPICAL
F0200,2-s2.0-84985993999,denom_class,CURATED_SAMPLE,TOPICAL
F0203,2-s2.0-105009372730,denom_class,N/A,TOPICAL
F0204,2-s2.0-105009372730,denom_class,CURATED_SAMPLE,TOPICAL
F0206,2-s2.0-105029521599,denom_class,N/A,POLITICAL_NEWS
F0212,2-s2.0-85123475265,denom_class,CURATED_SAMPLE,TOPICAL
F0214,2-s2.0-105019225029,denom_class,N/A,TOPICAL
F0216,2-s2.0-85208681084,denom_class,CURATED_SAMPLE,TOPICAL
F0218,2-s2.0-85107396751,denom_class,CURATED_SAMPLE,TOPICAL
F0224,2-s2.0-105002620495,denom_class,N/A,SINGLE_SOURCE
F0232,2-s2.0-105030827603,denom_class,TOPICAL,CURATED_SAMPLE
F0237,2-s2.0-85122094954,denom_class,CURATED_SAMPLE,TOPICAL
F0238,2-s2.0-85191807094,denom_class,N/A,TOPICAL
F0242,2-s2.0-105019627019,denom_class,N/A,CURATED_SAMPLE
F0244,2-s2.0-105037111223,denom_class,CURATED_SAMPLE,TOPICAL
F0245,2-s2.0-105030082417,denom_class,CURATED_SAMPLE,TOPICAL
F0249,2-s2.0-85213223975,denom_class,CURATED_SAMPLE,TOPICAL
F0250,2-s2.0-105034745484,denom_class,TOPICAL,SINGLE_SOURCE
F0251,2-s2.0-105034745484,denom_class,TOPICAL,SINGLE_SOURCE
F0258,2-s2.0-85199446608,denom_class,N/A,POPULATION
F0261,2-s2.0-105011406180,denom_class,CURATED_SAMPLE,TOPICAL
F0263,2-s2.0-85159153364,denom_class,SINGLE_SOURCE,TOPICAL
F0264,2-s2.0-85159153364,denom_class,SINGLE_SOURCE,TOPICAL
F0265,2-s2.0-85159153364,denom_class,SINGLE_SOURCE,TOPICAL
F0266,2-s2.0-85159153364,denom_class,SINGLE_SOURCE,TOPICAL
F0276,W3129222959,denom_class,TOPICAL,POLITICAL_NEWS
F0278,W4414446446,denom_class,N/A,CURATED_SAMPLE
F0279,2-s2.0-85205688160,denom_class,CURATED_SAMPLE,TOPICAL
F0280,2-s2.0-85205688160,denom_class,CURATED_SAMPLE,TOPICAL
F0283,PMID-41189872,denom_class,TOPICAL,CURATED_SAMPLE
F0284,PMID-41189872,denom_class,TOPICAL,CURATED_SAMPLE
F0287,OA-W3091627927,denom_class,N/A,TOPICAL
F0288,OA-W2524060751,denom_class,TOPICAL,POLITICAL_NEWS
F0291,OA-W7155615941,denom_class,CURATED_SAMPLE,TOPICAL
F0292,OA-W7165570035,denom_class,CURATED_SAMPLE,TOPICAL
F0293,OA-W4410388894,denom_class,CURATED_SAMPLE,TOPICAL
F0296,OA-W4291473423,denom_class,CURATED_SAMPLE,TOPICAL
F0297,OA-W4407797130,denom_class,N/A,POPULATION
F0300,OA-W4281924559,denom_class,N/A,TOPICAL
F0311,2-s2.0-85074511992,denom_class,TOPICAL,POLITICAL_NEWS
F0312,2-s2.0-85074511992,denom_class,N/A,POLITICAL_NEWS
F0313,2-s2.0-85074511992,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0318,2-s2.0-85047794238,denom_class,CURATED_SAMPLE,TOPICAL
F0324,2-s2.0-85066887935,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0325,2-s2.0-85066894147,denom_class,SINGLE_SOURCE,POLITICAL_NEWS
F0326,2-s2.0-85088969117,denom_class,SINGLE_SOURCE,TOPICAL
F0327,2-s2.0-85088969117,denom_class,SINGLE_SOURCE,TOPICAL
F0328,2-s2.0-85088969117,denom_class,CURATED_SAMPLE,TOPICAL
F0330,2-s2.0-85091698994,denom_class,NEWS_DIET,CURATED_SAMPLE
F0331,2-s2.0-85091698994,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0332,2-s2.0-85069463611,denom_class,N/A,POLITICAL_NEWS
F0333,2-s2.0-85069463611,denom_class,N/A,POLITICAL_NEWS
F0335,2-s2.0-85160248068,denom_class,ALL_MEDIA,SINGLE_SOURCE
F0341,2-s2.0-85164339474,denom_class,SINGLE_SOURCE,TOPICAL
F0342,2-s2.0-85164339474,denom_class,SINGLE_SOURCE,TOPICAL
F0343,2-s2.0-85164339474,denom_class,SINGLE_SOURCE,TOPICAL
F0344,2-s2.0-85164339474,denom_class,SINGLE_SOURCE,TOPICAL
F0345,2-s2.0-85164339474,denom_class,SINGLE_SOURCE,TOPICAL
F0346,2-s2.0-85164339474,denom_class,SINGLE_SOURCE,TOPICAL
F0347,2-s2.0-85164694763,denom_class,CURATED_SAMPLE,TOPICAL
F0348,2-s2.0-85164694763,denom_class,CURATED_SAMPLE,TOPICAL
F0354,2-s2.0-85172813494,denom_class,N/A,POPULATION
F0355,2-s2.0-85173224200,denom_class,CURATED_SAMPLE,SINGLE_SOURCE
F0362,2-s2.0-85188806397,denom_class,N/A,POLITICAL_NEWS
F0363,2-s2.0-85188806397,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0364,2-s2.0-85192635397,denom_class,N/A,NEWS_DIET
F0365,2-s2.0-85192635397,denom_class,CURATED_SAMPLE,NEWS_DIET
F0366,2-s2.0-85192635397,denom_class,CURATED_SAMPLE,NEWS_DIET
F0367,2-s2.0-85192635397,denom_class,CURATED_SAMPLE,NEWS_DIET
F0370,2-s2.0-85209206311,denom_class,N/A,ALL_MEDIA
F0374,2-s2.0-85093940530,denom_class,TOPICAL,CURATED_SAMPLE
F0375,2-s2.0-85097940672,denom_class,CURATED_SAMPLE,SINGLE_SOURCE
F0376,2-s2.0-85100218180,denom_class,CURATED_SAMPLE,TOPICAL
F0377,2-s2.0-85102849802,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0378,2-s2.0-85105454127,denom_class,SINGLE_SOURCE,NEWS_DIET
F0379,2-s2.0-85105454127,denom_class,N/A,POPULATION
F0381,2-s2.0-85105511315,denom_class,SINGLE_SOURCE,ALL_MEDIA
F0382,2-s2.0-85105511315,denom_class,SINGLE_SOURCE,ALL_MEDIA
F0386,2-s2.0-85108996494,denom_class,CURATED_SAMPLE,TOPICAL
F0387,2-s2.0-85108996494,denom_class,CURATED_SAMPLE,TOPICAL
F0393,2-s2.0-85122752247,denom_class,CURATED_SAMPLE,TOPICAL
F0395,2-s2.0-85122752247,denom_class,N/A,TOPICAL
F0396,2-s2.0-85122752247,denom_class,CURATED_SAMPLE,TOPICAL
F0398,2-s2.0-85128357498,denom_class,N/A,TOPICAL
F0399,2-s2.0-85128357498,denom_class,CURATED_SAMPLE,TOPICAL
F0400,2-s2.0-85131964464,denom_class,CURATED_SAMPLE,SINGLE_SOURCE
F0402,2-s2.0-85137779722,denom_class,SINGLE_SOURCE,TOPICAL
F0403,2-s2.0-85138526885,denom_class,CURATED_SAMPLE,TOPICAL
F0404,2-s2.0-85142396682,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0405,2-s2.0-85142396682,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0406,2-s2.0-85142396682,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0407,2-s2.0-85142396682,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0408,2-s2.0-85142396682,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0409,2-s2.0-85142396682,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0410,2-s2.0-85142886759,denom_class,CURATED_SAMPLE,TOPICAL
F0411,2-s2.0-105007027777,denom_class,SINGLE_SOURCE,TOPICAL
F0413,2-s2.0-105008525623,denom_class,N/A,POPULATION
F0414,2-s2.0-105008525623,denom_class,TOPICAL,POPULATION
F0415,2-s2.0-105008525623,denom_class,CURATED_SAMPLE,POPULATION
F0419,2-s2.0-105027856675,denom_class,N/A,POLITICAL_NEWS
F0422,SEED-cordonnier2021,denom_class,ALL_MEDIA,NEWS_DIET
F0423,SEED-allcott2017,denom_class,N/A,POLITICAL_NEWS
F0425,2-s2.0-85177420309,denom_class,TOPICAL,CURATED_SAMPLE
F0427,2-s2.0-85177420309,denom_class,TOPICAL,CURATED_SAMPLE
F0429,2-s2.0-85177420309,denom_class,TOPICAL,CURATED_SAMPLE
F0430,2-s2.0-85177420309,denom_class,TOPICAL,CURATED_SAMPLE
F0431,2-s2.0-85177420309,denom_class,TOPICAL,CURATED_SAMPLE
F0433,2-s2.0-85177420309,denom_class,TOPICAL,CURATED_SAMPLE
F0434,2-s2.0-85177420309,denom_class,TOPICAL,CURATED_SAMPLE
F0435,2-s2.0-105021775752,denom_class,NEWS_DIET,POLITICAL_NEWS
F0436,2-s2.0-105021775752,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0437,2-s2.0-105021775752,denom_class,N/A,POLITICAL_NEWS
F0442,2-s2.0-85153931706,denom_class,CURATED_SAMPLE,TOPICAL
F0444,2-s2.0-85159598935,denom_class,POLITICAL_NEWS,TOPICAL
F0445,2-s2.0-85159598935,denom_class,N/A,TOPICAL
F0448,2-s2.0-105019357120,denom_class,N/A,NEWS_DIET
F0449,2-s2.0-105019357120,denom_class,CURATED_SAMPLE,NEWS_DIET
F0450,2-s2.0-85114317455,denom_class,NEWS_DIET,ALL_MEDIA
F0451,2-s2.0-85114317455,denom_class,CURATED_SAMPLE,ALL_MEDIA
F0452,2-s2.0-85179481261,denom_class,CURATED_SAMPLE,TOPICAL
F0453,2-s2.0-85179481261,denom_class,CURATED_SAMPLE,TOPICAL
F0466,2-s2.0-85059494932,denom_class,NEWS_DIET,POLITICAL_NEWS
F0467,2-s2.0-85059494932,denom_class,NEWS_DIET,POPULATION
F0468,2-s2.0-85092033301,denom_class,SINGLE_SOURCE,TOPICAL
F0469,2-s2.0-85092033301,denom_class,CURATED_SAMPLE,TOPICAL
F0470,2-s2.0-85092033301,denom_class,CURATED_SAMPLE,TOPICAL
F0471,2-s2.0-85092033301,denom_class,SINGLE_SOURCE,TOPICAL
F0472,NEW-jung-icwsm,denom_class,TOPICAL,CURATED_SAMPLE
F0483,2-s2.0-85095575703,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0485,2-s2.0-85163154882,denom_class,SINGLE_SOURCE,POLITICAL_NEWS
F0486,2-s2.0-85163154882,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0489,2-s2.0-85199110625,denom_class,N/A,TOPICAL
F0490,2-s2.0-85199110625,denom_class,CURATED_SAMPLE,TOPICAL
F0491,2-s2.0-85213958624,denom_class,CURATED_SAMPLE,SINGLE_SOURCE
F0508,W4293124965,denom_class,ALL_MEDIA,POLITICAL_NEWS
F0509,W4293124965,denom_class,NEWS_DIET,POLITICAL_NEWS
F0510,W4293124965,denom_class,NEWS_DIET,POLITICAL_NEWS
F0511,W4293124965,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0512,W4293124965,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0513,W4293124965,denom_class,NEWS_DIET,POLITICAL_NEWS
F0514,W4293124965,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0515,2-s2.0-85038621544,denom_class,SINGLE_SOURCE,ALL_MEDIA
F0516,2-s2.0-85038621544,denom_class,SINGLE_SOURCE,ALL_MEDIA
F0517,2-s2.0-85038621544,denom_class,SINGLE_SOURCE,ALL_MEDIA
F0520,2-s2.0-85096862559,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0521,2-s2.0-85096862559,denom_class,N/A,POLITICAL_NEWS
F0522,2-s2.0-85096862559,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0523,2-s2.0-85096862559,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0524,2-s2.0-85096862559,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0525,2-s2.0-85096862559,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0527,2-s2.0-85096862559,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0528,2-s2.0-85096862559,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0529,2-s2.0-85096862559,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0530,2-s2.0-85096862559,denom_class,N/A,POLITICAL_NEWS
F0531,2-s2.0-85096862559,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0535,2-s2.0-105029413645,denom_class,ALL_MEDIA,TOPICAL
F0539,2-s2.0-85066941307,denom_class,N/A,TOPICAL
F0540,2-s2.0-85066941307,denom_class,N/A,TOPICAL
F0544,2-s2.0-85209547248,denom_class,POPULATION,NEWS_DIET
F0545,2-s2.0-85209547248,denom_class,POPULATION,NEWS_DIET
F0546,2-s2.0-85162702221,denom_class,POPULATION,ALL_MEDIA
F0547,2-s2.0-85162702221,denom_class,POPULATION,ALL_MEDIA
F0548,2-s2.0-85162702221,denom_class,POPULATION,ALL_MEDIA
F0551,2-s2.0-85060549676,denom_class,POPULATION,POLITICAL_NEWS
F0552,2-s2.0-85060549676,denom_class,POPULATION,POLITICAL_NEWS
F0553,W4205602257,denom_class,POLITICAL_NEWS,TOPICAL
F0554,W4205602257,denom_class,POLITICAL_NEWS,TOPICAL
F0555,W4205602257,denom_class,CURATED_SAMPLE,TOPICAL
F0556,W4205602257,denom_class,POLITICAL_NEWS,TOPICAL
F0557,W4205602257,denom_class,CURATED_SAMPLE,TOPICAL
F0558,W4205602257,denom_class,CURATED_SAMPLE,TOPICAL
F0559,W4205602257,denom_class,POLITICAL_NEWS,TOPICAL
F0564,2-s2.0-105027856675,denom_class,CURATED_SAMPLE,POLITICAL_NEWS
F0565,2-s2.0-105027856675,denom_class,SINGLE_SOURCE,POLITICAL_NEWS
