item_id,study_id,key_construct,key_value_pct
K085,2-s2.0-105037111223,CONTENT,42
K086,2-s2.0-85213958624,SHARING,0.94
K087,W4205602257,SHARING,0.4
K088,2-s2.0-85076877757,CONTENT,60.0
K089,W4293124965,SHARING,4.66
K090,2-s2.0-105032253077,CONTENT,19.3
K091,2-s2.0-85091698994,CONTENT,14.39
K092,2-s2.0-85217829893,CONTENT,19.4
K093,2-s2.0-85164339474,CONTENT,11.4
K094,2-s2.0-85192635397,CONTENT,4.38
K095,2-s2.0-85163186108,CONTENT,13
K096,2-s2.0-85054363956,CONTENT,6.3
K097,PMID-42295743,CONTENT,31.7
K098,2-s2.0-105027856675,SHARING,2.30
K099,2-s2.0-85212060458,CONTENT,2.4
K100,W4309243406,CONTENT,9
K101,2-s2.0-85191807094,CONTENT,39
K102,2-s2.0-85089622030,SHARING,23.1
K103,OA-W2914761925,CONTENT,75
K104,2-s2.0-85163154882,CONTENT,33.0
K105,2-s2.0-85085201199,CONTENT,24.1
K106,2-s2.0-85121971415,CONTENT,0.58
K107,2-s2.0-85213223975,CONTENT,36.4
K108,2-s2.0-85107390682,CONTENT,5
K109,W2901308345,CONTENT,2.8
K110,NEW-moreno-jmirderma,CONTENT,0.5
K111,2-s2.0-85137779722,CONTENT,0.88
V001,2-s2.0-85194733750,CONCENTRATION,80
V002,OA-W3091627927,CONTENT,1.44
V003,OA-W2992531903,OTHER,62.2
V004,W7146985142,REACH,9
V005,W3033912864,REACH,2.50
V006,2-s2.0-85159153364,CONCENTRATION,68
V007,2-s2.0-105029413645,REACH,13
V008,2-s2.0-85145956359,CONCENTRATION,70
V009,2-s2.0-85047794238,QUALITY,70
V010,W4293124965,EXPOSURE,0.97
V011,2-s2.0-105027856675,OTHER,53.23
V012,2-s2.0-105030082417,QUALITY,9.4
V013,2-s2.0-85105511315,OTHER,70
V014,2-s2.0-85060549676,EXPOSURE,1.18
V015,2-s2.0-85074511992,SHARING,9.1
V016,2-s2.0-85122105134,RECALL,18
V017,2-s2.0-85194953420,CONTENT,18
V018,W7146985142,REACH,17
V019,2-s2.0-85105511315,OTHER,40
V020,2-s2.0-105030827603,QUALITY,30.2
V021,2-s2.0-85181200454,RECALL,43.1
V022,2-s2.0-105040091272,QUALITY,17.0
V023,2-s2.0-85148963619,OTHER,13.4
V024,2-s2.0-84883291462,CONTENT,24.5
V025,2-s2.0-85074596916,SHARING,18.1
V026,2-s2.0-85124307830,RECALL,77.1
V027,W4293124965,EXPOSURE,0.018
V028,2-s2.0-85083323285,EXPOSURE,0.15
V029,W4293124965,EXPOSURE,0.10
V030,2-s2.0-85159153364,CONCENTRATION,80
V031,2-s2.0-85092013677,QUALITY,67
V032,2-s2.0-85147303661,CONTENT,1
V033,2-s2.0-85152674280,REACH,26.2
V034,W4309243406,CONTENT,7
V035,2-s2.0-85118260096,RECALL,17.0
V036,2-s2.0-105027856675,SHARING,4.9
V037,2-s2.0-85095594211,SHARING,36
V038,2-s2.0-85142396682,SHARING,0.43
V039,2-s2.0-105029413645,CONCENTRATION,77
V040,2-s2.0-85172813494,RECALL,60
