item_id,study_id,key_construct,key_breadth,key_denom_class
F0046,2-s2.0-85124307830,RECALL,false,population
F0047,2-s2.0-85083965254,CONTENT,false,single_source
F0048,2-s2.0-86000670842,CONTENT,false,topical
F0049,2-s2.0-86000670842,QUALITY,,topical
F0050,2-s2.0-86000670842,QUALITY,,topical
F0051,2-s2.0-85197949220,CONTENT,false,topical
F0052,2-s2.0-85197949220,CONTENT,false,topical
F0053,2-s2.0-85167574647,CONTENT,misleading,curated_sample
F0054,2-s2.0-85145956359,REACH,,population
F0055,2-s2.0-85145956359,CONCENTRATION,,n/a
F0056,2-s2.0-85046831961,CONTENT,false,curated_sample
F0057,2-s2.0-85118260096,RECALL,false,population
F0058,2-s2.0-85118260096,RECALL,false,population
F0059,2-s2.0-105007777349,CONTENT,false,topical
F0060,2-s2.0-85203845655,CONTENT,false,topical
F0061,2-s2.0-85115858008,CONTENT,false,curated_sample
F0062,2-s2.0-85125507154,CONTENT,misleading,curated_sample
F0063,2-s2.0-85074596916,SHARING,,political_news
F0064,2-s2.0-85074596916,SHARING,,political_news
F0065,2-s2.0-85134426953,CONTENT,false,topical
F0066,2-s2.0-85134426953,QUALITY,,topical
F0067,2-s2.0-85121971415,CONTENT,false,topical
F0068,2-s2.0-85121971415,CONTENT,false,topical
F0069,2-s2.0-85121971415,CONTENT,false,topical
F0070,2-s2.0-85065015834,CONTENT,false,topical
F0071,2-s2.0-85065550941,CONTENT,false,topical
F0072,2-s2.0-85131270595,CONTENT,false,topical
F0073,2-s2.0-85131270595,CONTENT,false,topical
F0074,2-s2.0-85218959905,CONTENT,false,topical
F0075,2-s2.0-84929523850,RECALL,misleading,population
F0076,2-s2.0-84929523850,RECALL,misleading,population
F0077,2-s2.0-78649725192,CONTENT,false,topical
F0078,2-s2.0-85086906408,CONTENT,false,topical
F0079,2-s2.0-85128118104,RECALL,false,population
F0080,2-s2.0-85200952814,CONTENT,false,topical
F0081,2-s2.0-85145404443,CONTENT,misleading,topical
F0082,2-s2.0-85141666446,CONTENT,false,topical
F0083,2-s2.0-85129109345,CONTENT,misleading,topical
F0084,2-s2.0-105014807194,CONTENT,false,topical
F0085,2-s2.0-85085201199,CONTENT,false,topical
F0086,2-s2.0-85085201199,CONTENT,false,topical
F0087,2-s2.0-85146384927,CONTENT,false,topical
F0088,2-s2.0-85076877757,CONTENT,false,political_news
F0089,2-s2.0-85076877757,CONTENT,false,political_news
F0090,2-s2.0-105028851691,CONTENT,misleading,topical
F0091,2-s2.0-85217197547,CONTENT,false,topical
F0092,2-s2.0-84964787366,CONTENT,false,topical
F0093,2-s2.0-84964787366,CONTENT,false,topical
F0094,2-s2.0-85089627303,CONTENT,misleading,topical
F0095,2-s2.0-85148963619,CONTENT,,topical
F0096,2-s2.0-85148963619,CONCENTRATION,,n/a
F0097,2-s2.0-85148963619,OTHER,,n/a
F0098,2-s2.0-105032159703,CONTENT,false,topical
F0099,2-s2.0-85168520853,CONTENT,false,single_source
F0100,2-s2.0-85139497631,QUALITY,,topical
F0101,2-s2.0-85089622030,SHARING,false,curated_sample
F0102,2-s2.0-85140592237,CONTENT,misleading,topical
F0103,2-s2.0-85218245924,CONTENT,false,topical
F0104,2-s2.0-85218245924,CONTENT,false,topical
F0105,2-s2.0-85092013677,CONTENT,false,topical
F0106,2-s2.0-85092013677,QUALITY,,topical
F0107,2-s2.0-85090430198,CONTENT,misleading,topical
F0108,W3035025978,CONTENT,misleading,topical
F0109,W3011186656,CONTENT,false,topical
F0110,W4407878374,CONTENT,misleading,topical
F0111,W4407878374,CONCENTRATION,misleading,n/a
F0112,W4306964957,SHARING,false,political_news
F0113,W4306964957,SHARING,,political_news
F0114,W4281770633,CONCENTRATION,misleading,n/a
F0115,W4281770633,CONCENTRATION,misleading,n/a
F0116,SEED-allcott2017,RECALL,false,population
F0117,W4293124965,EXPOSURE,,news_diet
F0118,W4293124965,EXPOSURE,,news_diet
F0119,W4293124965,EXPOSURE,,news_diet
F0120,W4293124965,EXPOSURE,,news_diet
F0121,W4293124965,SHARING,,news_diet
F0122,W4293124965,SHARING,,news_diet
F0123,W4293124965,SHARING,,news_diet
F0124,W4293124965,SHARING,,news_diet
F0125,W4309243406,CONTENT,misleading,topical
F0126,W4309243406,CONTENT,misleading,topical
F0127,W4309243406,CONTENT,misleading,topical
F0128,W4309243406,CONTENT,misleading,topical
F0129,2-s2.0-85129781787,CONTENT,misleading,topical
F0130,2-s2.0-85109464429,CONTENT,misleading,topical
F0131,W7165134935,CONTENT,false,topical
F0132,W3189543626,CONTENT,fabricated,curated_sample
F0133,W4385567160,CONTENT,misleading,single_source
F0134,W3138656580,CONTENT,false,topical
F0135,W2901308345,CONTENT,false,single_source
F0136,W2901308345,CONTENT,false,single_source
F0137,W4416223891,CONTENT,false,topical
F0138,W4205602257,SHARING,,topical
F0139,W4205602257,SHARING,,topical
F0140,W7163893383,CONTENT,misleading,topical
F0141,W7146985142,EXPOSURE,,news_diet
F0142,W7146985142,REACH,,population
F0143,W7146985142,REACH,,population
F0144,2-s2.0-105027587881,CONTENT,false,topical
F0145,2-s2.0-85085573221,RECALL,false,population
F0146,2-s2.0-105014632937,CONTENT,misleading,curated_sample
F0147,2-s2.0-85212060458,CONTENT,misleading,topical
F0148,2-s2.0-85212060458,CONTENT,misleading,single_source
F0149,2-s2.0-85021701404,CONTENT,false,curated_sample
F0150,2-s2.0-105027959122,REACH,false,population
F0151,2-s2.0-105020578144,CONTENT,false,topical
F0152,2-s2.0-105020578144,QUALITY,misleading,topical
F0153,2-s2.0-85051037754,CONTENT,false,single_source
F0154,2-s2.0-85051037754,CONTENT,false,single_source
F0155,2-s2.0-85186874194,CONTENT,false,topical
F0156,2-s2.0-85056331134,CONTENT,misleading,topical
F0157,2-s2.0-85129092713,CONTENT,false,topical
F0158,2-s2.0-85124823821,RECALL,false,population
F0159,2-s2.0-85066941307,CONTENT,false,topical
F0160,2-s2.0-85194953420,CONTENT,false,topical
F0161,2-s2.0-85194953420,QUALITY,,topical
F0162,2-s2.0-105022108218,CONTENT,false,topical
F0163,2-s2.0-85194880315,RECALL,false,population
F0164,2-s2.0-85194880315,RECALL,false,population
F0165,2-s2.0-85219054979,CONTENT,false,topical
F0166,2-s2.0-85219054979,CONTENT,false,topical
F0167,2-s2.0-85041175995,CONTENT,false,topical
F0168,2-s2.0-85127039075,CONTENT,false,curated_sample
F0169,2-s2.0-85127039075,CONTENT,false,curated_sample
F0170,2-s2.0-85092483799,CONTENT,false,topical
F0171,2-s2.0-85115631663,CONTENT,false,topical
F0172,2-s2.0-85099807131,CONTENT,false,topical
F0173,2-s2.0-85065905229,CONTENT,misleading,curated_sample
F0174,2-s2.0-85175105353,REACH,,population
F0175,2-s2.0-85089426034,CONTENT,misleading,topical
F0176,2-s2.0-85173877860,CONTENT,misleading,topical
F0177,2-s2.0-105039619015,REACH,,population
F0178,2-s2.0-105018276467,RECALL,false,population
F0179,2-s2.0-105018276467,RECALL,false,population
F0180,2-s2.0-85108101418,CONTENT,misleading,topical
F0181,2-s2.0-85152674280,REACH,,population
F0182,2-s2.0-85079874634,QUALITY,,topical
F0183,2-s2.0-105040026420,QUALITY,,topical
F0184,2-s2.0-85147303661,CONTENT,false,topical
F0185,2-s2.0-85084031148,CONTENT,misleading,topical
F0186,2-s2.0-105012722892,CONTENT,false,topical
F0187,2-s2.0-85073061780,CONTENT,false,topical
F0188,2-s2.0-105002620495,CONTENT,false,single_source
F0189,2-s2.0-85212052138,CONTENT,misleading,topical
F0190,2-s2.0-85215939792,QUALITY,,topical
F0191,2-s2.0-85215939792,QUALITY,,topical
F0192,2-s2.0-85090181268,CONTENT,false,curated_sample
F0193,2-s2.0-85192081358,CONTENT,misleading,topical
F0194,2-s2.0-85136139565,CONTENT,false,topical
F0195,2-s2.0-85129456715,CONTENT,false,curated_sample
F0196,2-s2.0-33645965882,CONTENT,false,topical
F0197,2-s2.0-85209813530,CONTENT,misleading,topical
F0198,2-s2.0-85209813530,QUALITY,,topical
F0199,2-s2.0-85117399204,RECALL,false,population
F0200,2-s2.0-84985993999,CONTENT,misleading,topical
F0201,2-s2.0-85145390598,CONTENT,false,topical
F0202,2-s2.0-85145390598,CONTENT,false,topical
F0203,2-s2.0-105009372730,CONTENT,false,topical
F0204,2-s2.0-105009372730,CONTENT,false,topical
F0205,2-s2.0-105036232690,CONTENT,misleading,topical
F0206,2-s2.0-105029521599,SHARING,,political_news
F0207,2-s2.0-105020894042,CONTENT,misleading,topical
F0208,2-s2.0-86000736431,CONTENT,false,topical
F0209,2-s2.0-85218448454,CONTENT,misleading,topical
F0210,2-s2.0-85055079422,CONTENT,false,topical
F0211,2-s2.0-85186467273,CONTENT,false,curated_sample
F0212,2-s2.0-85123475265,CONTENT,misleading,topical
F0213,2-s2.0-105008442631,CONTENT,false,topical
F0214,2-s2.0-105019225029,QUALITY,,topical
F0215,2-s2.0-105014185875,CONTENT,misleading,topical
F0216,2-s2.0-85208681084,CONTENT,false,topical
F0217,2-s2.0-85194112418,CONTENT,false,topical
F0218,2-s2.0-85107396751,CONTENT,misleading,topical
F0219,2-s2.0-85181752010,CONTENT,misleading,topical
F0220,2-s2.0-105010728491,CONTENT,misleading,single_source
F0221,2-s2.0-85192567032,QUALITY,,topical
F0222,2-s2.0-105002620495,CONTENT,false,topical
F0223,2-s2.0-105002620495,CONTENT,false,topical
F0224,2-s2.0-105002620495,CONTENT,false,single_source
F0225,2-s2.0-105009619554,CONTENT,misleading,topical
F0226,2-s2.0-105038091134,CONTENT,misleading,topical
F0227,2-s2.0-105033611630,CONTENT,false,topical
F0228,2-s2.0-85159486270,CONTENT,false,topical
F0229,2-s2.0-85134325788,CONTENT,misleading,topical
F0230,2-s2.0-105005857219,QUALITY,misleading,topical
F0231,2-s2.0-105032253077,CONTENT,false,topical
F0232,2-s2.0-105030827603,QUALITY,,curated_sample
F0233,2-s2.0-105030827603,QUALITY,,curated_sample
F0234,2-s2.0-105018832745,CONTENT,false,topical
F0235,2-s2.0-85162702221,REACH,,population
F0236,2-s2.0-85162702221,OTHER,,all_media
F0237,2-s2.0-85122094954,CONTENT,false,topical
F0238,2-s2.0-85191807094,CONTENT,false,topical
F0239,2-s2.0-85214504236,CONTENT,misleading,topical
F0240,2-s2.0-105002578811,CONTENT,misleading,topical
F0241,2-s2.0-85143511628,QUALITY,,topical
F0242,2-s2.0-105019627019,CONTENT,misleading,curated_sample
F0243,2-s2.0-85211132788,CONTENT,misleading,topical
F0244,2-s2.0-105037111223,CONTENT,misleading,topical
F0245,2-s2.0-105030082417,QUALITY,misleading,topical
F0246,2-s2.0-105030082417,QUALITY,misleading,topical
F0247,2-s2.0-85213223975,CONTENT,false,topical
F0248,2-s2.0-85213223975,CONTENT,false,topical
F0249,2-s2.0-85213223975,CONTENT,false,topical
F0250,2-s2.0-105034745484,CONTENT,misleading,single_source
F0251,2-s2.0-105034745484,CONTENT,misleading,single_source
F0252,2-s2.0-85193588807,CONTENT,misleading,curated_sample
F0253,W4393231882,CONTENT,false,topical
F0254,2-s2.0-105017757935,CONTENT,false,topical
F0255,2-s2.0-85072114698,RECALL,false,population
F0256,2-s2.0-85199446608,RECALL,false,population
F0257,2-s2.0-85199446608,RECALL,false,population
F0258,2-s2.0-85199446608,RECALL,false,population
F0259,2-s2.0-85199446608,RECALL,false,population
F0260,2-s2.0-85199446608,RECALL,false,population
F0261,2-s2.0-105011406180,CONTENT,misleading,topical
F0262,2-s2.0-85207525286,QUALITY,,topical
F0263,2-s2.0-85159153364,CONTENT,,topical
F0264,2-s2.0-85159153364,CONTENT,,topical
F0265,2-s2.0-85159153364,CONTENT,,topical
F0266,2-s2.0-85159153364,CONTENT,,topical
F0267,2-s2.0-85159153364,CONCENTRATION,,n/a
F0268,2-s2.0-85159153364,CONCENTRATION,,n/a
F0269,2-s2.0-105019533649,EXPOSURE,,news_diet
F0270,2-s2.0-105019533649,EXPOSURE,,news_diet
F0271,2-s2.0-105019533649,EXPOSURE,,news_diet
F0272,2-s2.0-105019533649,REACH,,population
F0273,2-s2.0-105019533649,REACH,,population
F0274,2-s2.0-85194733750,SHARING,,political_news
F0275,2-s2.0-85194733750,CONCENTRATION,,n/a
F0276,W3129222959,CONTENT,,political_news
F0277,W4414446446,CONTENT,misleading,curated_sample
F0278,W4414446446,CONTENT,misleading,curated_sample
F0279,2-s2.0-85205688160,CONTENT,misleading,topical
F0280,2-s2.0-85205688160,CONTENT,misleading,topical
F0281,2-s2.0-85205688160,CONTENT,misleading,topical
F0282,2-s2.0-85205688160,CONTENT,misleading,topical
F0283,PMID-41189872,CONTENT,misleading,curated_sample
F0284,PMID-41189872,CONTENT,misleading,curated_sample
F0285,PMID-40061772,CONTENT,misleading,topical
F0286,PMID-33304681,CONTENT,false,topical
F0287,OA-W3091627927,CONTENT,false,topical
F0288,OA-W2524060751,CONTENT,false,political_news
F0289,OA-W2914761925,CONTENT,false,topical
F0290,OA-W3113799821,OTHER,false,n/a
F0291,OA-W7155615941,CONTENT,false,topical
F0292,OA-W7165570035,CONTENT,false,topical
F0293,OA-W4410388894,CONTENT,misleading,topical
F0294,OA-W4410566265,CONTENT,false,topical
F0295,OA-W4291473423,CONTENT,false,topical
F0296,OA-W4291473423,CONTENT,false,topical
F0297,OA-W4407797130,RECALL,false,population
F0298,OA-W4407797130,RECALL,false,population
F0299,OA-W3206858890,RECALL,false,population
F0300,OA-W4281924559,CONTENT,false,topical
F0301,OA-W7161796591,QUALITY,,topical
F0302,OA-W4377015071,CONTENT,false,topical
F0303,OA-W2992531903,REACH,,population
F0304,OA-W2992531903,REACH,,population
F0305,OA-W2992531903,OTHER,,n/a
F0306,OA-W2992531903,REACH,,population
F0307,OA-W2992531903,REACH,,population
F0308,OA-W2992531903,OTHER,,n/a
F0309,OA-W4360608277,CONTENT,misleading,topical
F0310,OA-W4360608277,CONTENT,misleading,topical
F0311,2-s2.0-85074511992,SHARING,,political_news
F0312,2-s2.0-85074511992,SHARING,,political_news
F0313,2-s2.0-85074511992,SHARING,,political_news
F0314,2-s2.0-85078014559,CONCENTRATION,,n/a
F0315,2-s2.0-105040091272,QUALITY,,topical
F0316,2-s2.0-105040091272,QUALITY,,topical
F0317,2-s2.0-85037352356,REACH,,population
F0318,2-s2.0-85047794238,QUALITY,misleading,topical
F0319,2-s2.0-85047794238,QUALITY,,curated_sample
F0320,2-s2.0-85055756722,RECALL,fabricated,population
F0321,2-s2.0-85055756722,RECALL,fabricated,population
F0322,2-s2.0-85055756722,RECALL,misleading,population
F0323,2-s2.0-85060013655,CONTENT,false,curated_sample
F0324,2-s2.0-85066887935,SHARING,,political_news
F0325,2-s2.0-85066894147,SHARING,,political_news
F0326,2-s2.0-85088969117,CONTENT,false,topical
F0327,2-s2.0-85088969117,CONTENT,false,topical
F0328,2-s2.0-85088969117,SHARING,false,topical
F0329,2-s2.0-85088969117,SHARING,false,topical
F0330,2-s2.0-85091698994,CONTENT,,curated_sample
F0331,2-s2.0-85091698994,CONTENT,,political_news
F0332,2-s2.0-85069463611,CONTENT,false,political_news
F0333,2-s2.0-85069463611,SHARING,false,political_news
F0334,2-s2.0-85145881152,CONTENT,misleading,curated_sample
F0335,2-s2.0-85160248068,EXPOSURE,,single_source
F0336,2-s2.0-85160248068,EXPOSURE,,single_source
F0337,2-s2.0-85160248068,OTHER,,n/a
F0338,2-s2.0-85160248068,OTHER,,n/a
F0339,2-s2.0-85160248068,CONCENTRATION,,n/a
F0340,2-s2.0-85160248068,CONCENTRATION,,n/a
F0341,2-s2.0-85164339474,CONTENT,false,topical
F0342,2-s2.0-85164339474,CONTENT,false,topical
F0343,2-s2.0-85164339474,CONTENT,false,topical
F0344,2-s2.0-85164339474,CONTENT,false,topical
F0345,2-s2.0-85164339474,CONTENT,false,topical
F0346,2-s2.0-85164339474,CONTENT,false,topical
F0347,2-s2.0-85164694763,SHARING,,topical
F0348,2-s2.0-85164694763,SHARING,,topical
F0349,2-s2.0-85168270535,CONTENT,false,topical
F0350,2-s2.0-85168270535,CONTENT,false,topical
F0351,2-s2.0-85168270535,CONTENT,false,topical
F0352,2-s2.0-85172813494,RECALL,misleading,population
F0353,2-s2.0-85172813494,RECALL,misleading,population
F0354,2-s2.0-85172813494,RECALL,misleading,population
F0355,2-s2.0-85173224200,CONTENT,misleading,single_source
F0356,2-s2.0-85173224200,CONTENT,misleading,single_source
F0357,2-s2.0-85174615177,CONTENT,false,topical
F0358,2-s2.0-85182846541,CONTENT,,topical
F0359,2-s2.0-85182846541,CONTENT,,topical
F0360,2-s2.0-85187117251,CONTENT,,topical
F0361,2-s2.0-85187117251,CONTENT,,topical
F0362,2-s2.0-85188806397,SHARING,,political_news
F0363,2-s2.0-85188806397,SHARING,,political_news
F0364,2-s2.0-85192635397,CONTENT,,news_diet
F0365,2-s2.0-85192635397,CONTENT,,news_diet
F0366,2-s2.0-85192635397,CONTENT,,news_diet
F0367,2-s2.0-85192635397,CONTENT,,news_diet
F0368,2-s2.0-85195353413,CONCENTRATION,,n/a
F0369,2-s2.0-85195353413,REACH,,population
F0370,2-s2.0-85209206311,EXPOSURE,,all_media
F0371,2-s2.0-85209547248,REACH,,population
F0372,2-s2.0-85209547248,EXPOSURE,,news_diet
F0373,2-s2.0-85217829893,CONTENT,misleading,curated_sample
F0374,2-s2.0-85093940530,CONTENT,false,curated_sample
F0375,2-s2.0-85097940672,CONTENT,false,single_source
F0376,2-s2.0-85100218180,SHARING,,topical
F0377,2-s2.0-85102849802,CONTENT,misleading,political_news
F0378,2-s2.0-85105454127,SHARING,,news_diet
F0379,2-s2.0-85105454127,REACH,,population
F0380,2-s2.0-85105454127,CONCENTRATION,,n/a
F0381,2-s2.0-85105511315,CONTENT,,all_media
F0382,2-s2.0-85105511315,CONTENT,,all_media
F0383,2-s2.0-85105511315,OTHER,,n/a
F0384,2-s2.0-85105511315,OTHER,,n/a
F0385,2-s2.0-85108273495,CONTENT,false,topical
F0386,2-s2.0-85108996494,CONTENT,false,topical
F0387,2-s2.0-85108996494,CONTENT,misleading,topical
F0388,2-s2.0-85111545521,REACH,,population
F0389,2-s2.0-85121019757,EXPOSURE,,all_media
F0390,2-s2.0-85121019757,EXPOSURE,,all_media
F0391,2-s2.0-85122105134,RECALL,false,population
F0392,2-s2.0-85122105134,RECALL,false,population
F0393,2-s2.0-85122752247,CONTENT,misleading,topical
F0394,2-s2.0-85122752247,CONTENT,misleading,topical
F0395,2-s2.0-85122752247,CONTENT,misleading,topical
F0396,2-s2.0-85122752247,CONTENT,misleading,topical
F0397,2-s2.0-85127622287,CONTENT,false,topical
F0398,2-s2.0-85128357498,CONTENT,false,topical
F0399,2-s2.0-85128357498,CONTENT,false,topical
F0400,2-s2.0-85131964464,CONTENT,false,single_source
F0401,2-s2.0-85134489939,QUALITY,,topical
F0402,2-s2.0-85137779722,CONTENT,,topical
F0403,2-s2.0-85138526885,CONTENT,fabricated,topical
F0404,2-s2.0-85142396682,SHARING,,political_news
F0405,2-s2.0-85142396682,SHARING,,political_news
F0406,2-s2.0-85142396682,SHARING,,political_news
F0407,2-s2.0-85142396682,SHARING,,political_news
F0408,2-s2.0-85142396682,SHARING,,political_news
F0409,2-s2.0-85142396682,SHARING,,political_news
F0410,2-s2.0-85142886759,CONTENT,,topical
F0411,2-s2.0-105007027777,CONTENT,misleading,topical
F0412,2-s2.0-105008525623,RECALL,misleading,population
F0413,2-s2.0-105008525623,RECALL,misleading,population
F0414,2-s2.0-105008525623,RECALL,misleading,population
F0415,2-s2.0-105008525623,RECALL,misleading,population
F0416,2-s2.0-105008525623,RECALL,misleading,population
F0417,2-s2.0-105012550022,QUALITY,,topical
F0418,2-s2.0-105012550022,QUALITY,,topical
F0419,2-s2.0-105027856675,SHARING,,political_news
F0420,2-s2.0-105028205558,CONTENT,misleading,topical
F0421,SEED-cordonnier2021,EXPOSURE,,all_media
F0422,SEED-cordonnier2021,EXPOSURE,,news_diet
F0423,SEED-allcott2017,EXPOSURE,,political_news
F0424,SEED-allcott2017,RECALL,false,population
F0425,2-s2.0-85177420309,CONTENT,false,curated_sample
F0426,2-s2.0-85177420309,CONTENT,false,curated_sample
F0427,2-s2.0-85177420309,CONTENT,false,curated_sample
F0428,2-s2.0-85177420309,CONTENT,false,curated_sample
F0429,2-s2.0-85177420309,CONTENT,false,curated_sample
F0430,2-s2.0-85177420309,CONTENT,false,curated_sample
F0431,2-s2.0-85177420309,CONTENT,false,curated_sample
F0432,2-s2.0-85177420309,CONTENT,false,curated_sample
F0433,2-s2.0-85177420309,CONTENT,false,curated_sample
F0434,2-s2.0-85177420309,CONTENT,false,curated_sample
F0435,2-s2.0-105021775752,SHARING,,political_news
F0436,2-s2.0-105021775752,SHARING,,political_news
F0437,2-s2.0-105021775752,SHARING,,political_news
F0438,2-s2.0-85106913853,CONTENT,false,curated_sample
F0439,2-s2.0-85131073869,CONTENT,,curated_sample
F0440,2-s2.0-105002155467,REACH,,population
F0441,2-s2.0-105002155467,CONCENTRATION,,n/a
F0442,2-s2.0-85153931706,CONTENT,false,topical
F0443,2-s2.0-85194075145,EXPOSURE,,news_diet
F0444,2-s2.0-85159598935,CONTENT,,topical
F0445,2-s2.0-85159598935,CONTENT,,topical
F0446,2-s2.0-105019625689,CONTENT,false,curated_sample
F0447,2-s2.0-105019603181,REACH,,population
F0448,2-s2.0-105019357120,CONTENT,,news_diet
F0449,2-s2.0-105019357120,CONTENT,,news_diet
F0450,2-s2.0-85114317455,EXPOSURE,,all_media
F0451,2-s2.0-85114317455,EXPOSURE,,all_media
F0452,2-s2.0-85179481261,CONTENT,false,topical
F0453,2-s2.0-85179481261,CONTENT,false,topical
F0454,2-s2.0-85181200454,RECALL,misleading,population
F0455,2-s2.0-85181200454,RECALL,misleading,population
F0456,2-s2.0-85060549676,EXPOSURE,,political_news
F0457,2-s2.0-85060549676,SHARING,,political_news
F0458,2-s2.0-85060549676,CONCENTRATION,,n/a
F0459,2-s2.0-85060549676,CONCENTRATION,,n/a
F0460,2-s2.0-85060025053,REACH,,population
F0461,2-s2.0-85081743293,REACH,,population
F0462,2-s2.0-85081743293,EXPOSURE,,news_diet
F0463,2-s2.0-85081743293,CONCENTRATION,,n/a
F0464,2-s2.0-85083323285,EXPOSURE,,all_media
F0465,2-s2.0-85083323285,EXPOSURE,,news_diet
F0466,2-s2.0-85059494932,CONTENT,,political_news
F0467,2-s2.0-85059494932,REACH,,population
F0468,2-s2.0-85092033301,CONTENT,,topical
F0469,2-s2.0-85092033301,CONTENT,,topical
F0470,2-s2.0-85092033301,CONTENT,,topical
F0471,2-s2.0-85092033301,CONTENT,,topical
F0472,NEW-jung-icwsm,CONTENT,false,curated_sample
F0473,NEW-vanantwerpen-esm,RECALL,misleading,population
F0474,NEW-vanantwerpen-esm,RECALL,misleading,population
F0475,2-s2.0-105009619554,CONTENT,false,topical
F0476,2-s2.0-105019603181,REACH,,population
F0477,2-s2.0-105019603181,REACH,,population
F0478,2-s2.0-105019603181,REACH,,population
F0479,2-s2.0-105029346542,CONTENT,misleading,topical
F0480,2-s2.0-85043684270,CONTENT,false,topical
F0481,2-s2.0-85043684270,CONTENT,misleading,topical
F0482,2-s2.0-85075076652,CONTENT,false,topical
F0483,2-s2.0-85095575703,SHARING,,political_news
F0484,2-s2.0-85129632573,CONTENT,,topical
F0485,2-s2.0-85163154882,CONTENT,,political_news
F0486,2-s2.0-85163154882,CONTENT,,political_news
F0487,2-s2.0-85199110625,CONTENT,,topical
F0488,2-s2.0-85199110625,CONTENT,,topical
F0489,2-s2.0-85199110625,SHARING,,topical
F0490,2-s2.0-85199110625,SHARING,,topical
F0491,2-s2.0-85213958624,SHARING,false,single_source
F0492,2-s2.0-85215303159,CONTENT,,topical
F0493,2-s2.0-85215303159,CONTENT,,topical
F0494,2-s2.0-105017599346,SHARING,,news_diet
F0495,2-s2.0-85060549676,EXPOSURE,,political_news
F0496,2603.11058,CONTENT,false,curated_sample
F0497,2603.11058,CONTENT,false,curated_sample
F0498,2603.11058,CONTENT,false,curated_sample
F0499,2603.11058,CONTENT,false,curated_sample
F0500,2603.11058,CONTENT,false,curated_sample
F0501,2603.11058,CONTENT,false,curated_sample
F0502,2-s2.0-85060549676,CONCENTRATION,,n/a
F0503,2-s2.0-85078014559,CONCENTRATION,,n/a
F0504,2-s2.0-85145956359,CONCENTRATION,,n/a
F0505,2-s2.0-85148963619,CONCENTRATION,,n/a
F0506,2-s2.0-85209547248,REACH,,population
F0507,W4293124965,EXPOSURE,,news_diet
F0508,W4293124965,EXPOSURE,,political_news
F0509,W4293124965,EXPOSURE,,political_news
F0510,W4293124965,EXPOSURE,,political_news
F0511,W4293124965,SHARING,,political_news
F0512,W4293124965,SHARING,,political_news
F0513,W4293124965,SHARING,,political_news
F0514,W4293124965,SHARING,,political_news
F0515,2-s2.0-85038621544,CONTENT,,all_media
F0516,2-s2.0-85038621544,CONTENT,,all_media
F0517,2-s2.0-85038621544,CONTENT,,all_media
F0518,W7146985142,CONCENTRATION,,n/a
F0519,W7146985142,CONCENTRATION,,n/a
F0520,2-s2.0-85096862559,SHARING,,political_news
F0521,2-s2.0-85096862559,SHARING,,political_news
F0522,2-s2.0-85096862559,SHARING,,political_news
