eid,denominator,sampling,definition,measurement,sample_size,overall
2-s2.0-85214504236,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85159486270,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105019627019,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85191807094,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-105040108180,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85143439392,NARROW,CURATED,VALIDATED,CONTENT_CODING,ADEQUATE,MODERATE
2-s2.0-85090181268,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85115631663,NARROW,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85218245924,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105002578811,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85192806272,CLEAR,REPRESENTATIVE,ADHOC,SELF_REPORT,ADEQUATE,MODERATE
2-s2.0-85089426034,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85084947770,NARROW,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-105032159703,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85193588807,NARROW,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85107390682,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105031628111,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85102907678,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85212052138,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85129781787,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85205688160,CLEAR,REPRESENTATIVE,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-105035000208,NARROW,CURATED,VALIDATED,CONTENT_CODING,SMALL,HIGH
2-s2.0-105038091134,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-86000119920,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85207525286,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85148600371,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85118260096,CLEAR,REPRESENTATIVE,PARTIAL,SELF_REPORT,ADEQUATE,LOW
2-s2.0-85194880315,CLEAR,REPRESENTATIVE,ADHOC,SELF_REPORT,ADEQUATE,MODERATE
2-s2.0-85090999469,NARROW,CONVENIENCE,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85077296908,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105007027777,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85210771578,UNCLEAR,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105009085931,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85145425628,CLEAR,REPRESENTATIVE,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85130261318,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-105032691304,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-105002620495,NARROW,CONVENIENCE,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85085201199,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-105019225029,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85043355303,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85122094954,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-84964787366,CLEAR,REPRESENTATIVE,PARTIAL,CONTENT_CODING,ADEQUATE,MODERATE
2-s2.0-85099149423,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85200952814,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-105011756924,CLEAR,CONVENIENCE,VALIDATED,SELF_REPORT,SMALL,MODERATE
2-s2.0-85219054979,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85107396751,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85181752010,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85151113840,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85143511628,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85185269791,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85186467273,NARROW,CONVENIENCE,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85127039075,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-105017757935,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-105037202967,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85216735028,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85192143640,NARROW,CURATED,PARTIAL,CONTENT_CODING,UNCLEAR,HIGH
2-s2.0-85134325788,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-105028607759,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85168003167,UNCLEAR,REPRESENTATIVE,PARTIAL,SELF_REPORT,ADEQUATE,MODERATE
2-s2.0-85199446608,UNCLEAR,CONVENIENCE,PARTIAL,SELF_REPORT,SMALL,MODERATE
2-s2.0-105010913703,UNCLEAR,REPRESENTATIVE,ADHOC,SELF_REPORT,ADEQUATE,MODERATE
2-s2.0-85021701404,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-105007986232,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-84985993999,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85168520853,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105030082417,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-105023216959,UNCLEAR,REPRESENTATIVE,ADHOC,SELF_REPORT,ADEQUATE,MODERATE
2-s2.0-105032253077,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105020578144,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85186874194,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85118684788,UNCLEAR,CONVENIENCE,PARTIAL,SELF_REPORT,ADEQUATE,MODERATE
2-s2.0-85162702221,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-85059686579,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-105028205558,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85096102360,UNCLEAR,REPRESENTATIVE,PARTIAL,SELF_REPORT,ADEQUATE,MODERATE
2-s2.0-85197949220,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85076877757,NARROW,CONVENIENCE,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-70349234627,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85132455715,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85116615470,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-105027587881,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85145196122,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85065905229,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85190817518,NARROW,CONVENIENCE,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-78649725192,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105014632937,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85174615177,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85203354546,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85192081358,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85083965254,CLEAR,REPRESENTATIVE,PARTIAL,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-85128353484,NARROW,CURATED,VALIDATED,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105002473473,NARROW,CURATED,PARTIAL,CONTENT_CODING,UNCLEAR,HIGH
2-s2.0-85094820438,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85128118104,UNCLEAR,REPRESENTATIVE,ADHOC,SELF_REPORT,ADEQUATE,MODERATE
2-s2.0-105033611630,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85010219819,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85101871838,UNCLEAR,CONVENIENCE,VALIDATED,SELF_REPORT,ADEQUATE,HIGH
2-s2.0-85111547179,NARROW,CURATED,VALIDATED,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105005800476,NARROW,CURATED,VALIDATED,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85137779722,NARROW,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85189974015,UNCLEAR,REPRESENTATIVE,VALIDATED,SELF_REPORT,ADEQUATE,MODERATE
2-s2.0-85129632573,UNCLEAR,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,HIGH
2-s2.0-85187117251,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-85182846541,NARROW,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-105030586804,NARROW,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,HIGH
2-s2.0-85092033301,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-85137929479,NARROW,CURATED,PARTIAL,BEHAVIOURAL,SMALL,HIGH
2-s2.0-85192635397,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-85217829893,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85174810384,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85196358234,CLEAR,REPRESENTATIVE,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85092601632,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85194112418,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105020894042,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-105000242013,UNCLEAR,CURATED,VALIDATED,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85123434312,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85181119382,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-85201063575,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85086906408,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85065550941,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85167574647,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85164306347,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85047794238,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85028727341,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85107696753,UNCLEAR,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85173913530,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85084031148,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85140592237,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-105028851691,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85141666446,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105036232690,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-105029135644,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85213223975,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-105012722892,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85145404443,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105035305443,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85124307830,UNCLEAR,REPRESENTATIVE,PARTIAL,SELF_REPORT,ADEQUATE,MODERATE
2-s2.0-85215785622,NARROW,CURATED,VALIDATED,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-84871270697,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105008442631,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-105041406388,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85213946980,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85145881152,NARROW,CONVENIENCE,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85099979571,UNCLEAR,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85057314879,NARROW,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,HIGH
2-s2.0-85205828889,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-45549091998,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85124823821,UNCLEAR,CONVENIENCE,ADHOC,SELF_REPORT,ADEQUATE,HIGH
2-s2.0-105018276467,UNCLEAR,CONVENIENCE,ADHOC,SELF_REPORT,ADEQUATE,HIGH
2-s2.0-85139497631,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-84983509049,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85093504656,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85211132788,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85090200414,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85108840194,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85208681084,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85179779094,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85140920033,NARROW,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85200044284,UNCLEAR,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,HIGH
2-s2.0-105001591540,UNCLEAR,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,HIGH
2-s2.0-85138526885,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85118981288,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-85121947105,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85083323285,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-105029521599,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-85029143850,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85066941307,NARROW,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85194733750,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-105011696813,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85194077046,NARROW,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85184568825,NARROW,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85212060458,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-105010728491,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85141933574,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85145956359,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-85144591064,NARROW,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-105026707050,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85138264705,NARROW,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-105019533649,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-85106955095,NARROW,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85137393348,NARROW,CURATED,ADHOC,BEHAVIOURAL,ADEQUATE,HIGH
2-s2.0-85121973418,UNCLEAR,CONVENIENCE,ADHOC,SELF_REPORT,SMALL,HIGH
2-s2.0-85057304142,NARROW,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85089622030,NARROW,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85057183786,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85109375579,NARROW,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-36349001056,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85070770827,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85130786472,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85133711848,NARROW,CURATED,PARTIAL,BEHAVIOURAL,SMALL,MODERATE
2-s2.0-85167658691,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-85138494787,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105006769846,NARROW,CURATED,VALIDATED,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105014108895,NARROW,CONVENIENCE,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85188806397,NARROW,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,HIGH
2-s2.0-105017960510,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85189757456,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85148963619,NARROW,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85169326292,UNCLEAR,CONVENIENCE,ADHOC,SELF_REPORT,ADEQUATE,HIGH
2-s2.0-85158094363,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105012951951,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85146480094,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85173224200,NARROW,CONVENIENCE,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85190850262,NARROW,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,HIGH
2-s2.0-105024884753,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85130635023,NARROW,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,HIGH
2-s2.0-85056802427,NARROW,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-105027856675,NARROW,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85213941586,NARROW,CURATED,VALIDATED,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85168270535,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85147763511,NARROW,CURATED,VALIDATED,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85109001077,NARROW,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85131964464,NARROW,CONVENIENCE,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85194023903,NARROW,CURATED,VALIDATED,BEHAVIOURAL,ADEQUATE,MODERATE
