order,id,pipeline_decision
114,2-s2.0-105036383440,EXCLUDE
115,2-s2.0-105029282194,EXCLUDE
116,2-s2.0-85209741091,EXCLUDE
117,2-s2.0-85106742299,MAYBE
118,2-s2.0-85190093976,EXCLUDE
119,2-s2.0-85109185543,EXCLUDE
120,2-s2.0-105027385211,EXCLUDE
121,2-s2.0-85130321493,EXCLUDE
122,2-s2.0-105021836080,EXCLUDE
123,2-s2.0-105039502385,EXCLUDE
124,2-s2.0-84962543001,EXCLUDE
125,2-s2.0-105000939725,EXCLUDE
126,2-s2.0-85097256741,EXCLUDE
127,2-s2.0-85124326961,MAYBE
128,2-s2.0-85090280890,MAYBE
129,2-s2.0-85216682136,EXCLUDE
130,2-s2.0-105006846547,INCLUDE
131,2-s2.0-85125300063,EXCLUDE
132,2-s2.0-85145746219,EXCLUDE
133,2-s2.0-85158099968,EXCLUDE
134,2-s2.0-85133467701,EXCLUDE
135,2-s2.0-105001997473,EXCLUDE
136,2-s2.0-85160617057,MAYBE
137,2-s2.0-74149093725,EXCLUDE
138,2-s2.0-85206332727,EXCLUDE
139,2-s2.0-85174259597,EXCLUDE
140,2-s2.0-105024833971,EXCLUDE
141,2-s2.0-85124460646,MAYBE
142,2-s2.0-85197178020,EXCLUDE
143,2-s2.0-61449335891,EXCLUDE
144,2-s2.0-85189976940,EXCLUDE
145,2-s2.0-85138873886,EXCLUDE
146,2-s2.0-85106423850,MAYBE
147,2-s2.0-105007442117,EXCLUDE
148,2-s2.0-85202707804,MAYBE
149,2-s2.0-85172813494,INCLUDE
150,2-s2.0-85200556416,EXCLUDE
151,2-s2.0-85197490778,EXCLUDE
152,2-s2.0-85214792349,EXCLUDE
153,2-s2.0-84855300840,EXCLUDE
154,2-s2.0-84874273991,EXCLUDE
155,2-s2.0-85114407017,EXCLUDE
156,2-s2.0-85210710398,EXCLUDE
157,2-s2.0-105013578792,EXCLUDE
158,2-s2.0-84929215309,EXCLUDE
159,2-s2.0-85085573590,EXCLUDE
160,2-s2.0-85198092719,EXCLUDE
161,2-s2.0-85130823767,EXCLUDE
162,2-s2.0-85192635397,INCLUDE
163,2-s2.0-85139532201,EXCLUDE
164,2-s2.0-105025989231,EXCLUDE
165,2-s2.0-85145359941,INCLUDE
166,2-s2.0-105027931908,EXCLUDE
167,2-s2.0-85101153314,EXCLUDE
168,2-s2.0-85218025981,EXCLUDE
169,2-s2.0-85139618794,EXCLUDE
170,2-s2.0-85130314701,EXCLUDE
171,2-s2.0-85200777704,EXCLUDE
172,2-s2.0-85118561338,MAYBE
173,2-s2.0-85138458987,MAYBE
174,2-s2.0-85164910049,EXCLUDE
175,2-s2.0-85182846541,INCLUDE
176,2-s2.0-85186144224,EXCLUDE
177,2-s2.0-85122190052,EXCLUDE
178,2-s2.0-85119600559,MAYBE
179,2-s2.0-85109156988,EXCLUDE
180,2-s2.0-85055508386,EXCLUDE
181,2-s2.0-85121971415,INCLUDE
182,2-s2.0-105012435015,EXCLUDE
183,2-s2.0-85127587092,INCLUDE
184,2-s2.0-85064994520,EXCLUDE
185,2-s2.0-85024383341,EXCLUDE
186,2-s2.0-85129733379,EXCLUDE
187,2-s2.0-85133315240,EXCLUDE
188,2-s2.0-105016572303,EXCLUDE
189,2-s2.0-85099566943,MAYBE
190,2-s2.0-85141207481,EXCLUDE
191,2-s2.0-105023148071,EXCLUDE
192,2-s2.0-85131758447,EXCLUDE
193,2-s2.0-85209547248,INCLUDE
194,2-s2.0-105039619015,INCLUDE
195,2-s2.0-84859384074,EXCLUDE
196,2-s2.0-85067111993,INCLUDE
197,2-s2.0-85134608118,EXCLUDE
198,2-s2.0-85100965644,EXCLUDE
199,2-s2.0-85073186491,EXCLUDE
200,2-s2.0-85164429923,EXCLUDE
