decision,oaid,doi,year,title,reason
INCLUDE,W7139935057,10.1097/aog.0000000000006211.10,2026,Menopause in Social Media: Evaluating the Content and Accuracy of Online Information,200 TikTok and Instagram posts coded for accuracy
INCLUDE,W7203835590,10.31620/jccc.06.26/16,2026,Misinformation and the Erosion of Media Credibility: Analyzing the Rise of Social Media as a News Source,survey n=100 reporting frequency of exposure to fake news
INCLUDE,W4221007759,10.34133/2022/9858292,2022,Misinformation versus Facts: Understanding the Influence of News regarding COVID-19 Vaccines on Vaccine Uptake,"share of tweets/users posting misinformation URLs, 4M tweets"
INCLUDE,W7202157236,10.1186/s12889-026-28721-2,2026,"Online health information seeking, verification behaviour, and misinformation perceptions among adults with chronic disease in Saudi Arabia: a structural equation modelling study",survey n=740 measuring misinformation exposure/perception
INCLUDE,W4394802490,10.1097/01.ju.0001009460.27205.df.04,2024,PD60-04 “LINK IN MY BIO”: COMMERCIAL BIAS IN ERECTILE DYSFUNCTION TREATMENT VIDEOS ON SOCIAL MEDIA PLATFORMS,top-50 YouTube/TikTok videos coded for misinformation
INCLUDE,W4416759143,10.4081/reumatismo.2025.2024,2025,PO:08:118 | “Posting Arthritis”: rheumatoid arthritis vs. juvenile idiopathic arthritis contents on social media,"1,713 social posts coded for disinformation absent/minimal/significant"
INCLUDE,W7154970701,10.17646/kome.of.36,2026,Perception of Information and Disinformation on Social Media,"survey of 1,800 Spanish youth on perceived disinformation on social media"
INCLUDE,W7203838884,10.31620/jccc.06.26/07,2026,Platform Affordances and Political Polarisation: Understanding Disinformation Exposure on Instagram in the Indian Context,survey n=572 measuring perceived disinformation exposure on Instagram
INCLUDE,W7165173260,10.3923/pjbs.2026.218.227,2026,Public Perception and Acceptance of COVID-19 Vaccines in Iraq During the Pandemic,survey of 1747 adults measuring exposure to misinformation
INCLUDE,W7165907698,10.26697/ijsa.2026.1.5,2026,Public attitudes towards COVID-19 misinformation and institutional trust during the infodemic in Bulgaria: Results from a cross-sectional survey,92% of survey respondents report fake news encountered
INCLUDE,W7203617841,10.1111/hex.70826,2026,"Public‐Facing Short Videos on Paediatric General Anaesthesia and Child Neurodevelopment: Quality, Misinformation and Implications for Parent‐Centred Risk Communication","95 short videos coded, misinformation in 53.7%"
INCLUDE,W4407139351,10.1093/esr/jcae051,2024,Radical right populism and the media: evidence from the supply side and demand side of political information in Germany,web tracking of exposure to hyperpartisan/alternative news sources
INCLUDE,W4408852689,10.62843/jssr.v5i1.485,2025,Social Media as a Learning Tool: Impacts on Collaborative Learning and Knowledge Sharing,survey reports share of students misinformed via social media (46.7%)
INCLUDE,W4386983020,10.55529/jmcc.35.1.12,2023,"Spreading Fake Content via Social Media among Tertiary Level Students in Rangpur, Bangladesh",survey reports shares for fake-content exposure and spreading
INCLUDE,W7159573657,10.21608/jes.2026.455143.2172,2026,THE RELATIONSHIP BETWEEN ENVIRONMENTAL RUMORS ON SOCIAL MEDIA AND ENVIRONMENTAL LITERACY AMONG YOUTH,"survey of youth exposure to environmental rumours, n=310"
INCLUDE,W4401396909,10.1007/s44250-024-00127-0,2024,The COVID-19 infodemic as a major driver for vaccine hesitancy in conflict settings: a mixed-method study,survey: 38% say vaccine misinformation affected their decisions
INCLUDE,W4409625097,10.36948/ijfmr.2024.v06i05.42635,2024,The Fake Propaganda on Tiktok: Measuring Gen Z’s Vulnerability and Building,survey of self-reported encounters with TikTok misinformation
INCLUDE,W7167708901,10.5281/zenodo.21261551,2026,The Impact of Social Media on Political Participation and Public Opinion in Contemporary Societies,survey n=397; share perceiving misleading political information
INCLUDE,W4387582650,10.35335/kampret.v3i1.169,2023,The Impact of TikTok on Combating and Filtering Hoax News: A Mixed-Methods Study,content analysis reports hoax-news prevalence on TikTok
INCLUDE,W7203733034,10.47205/jdss.2025(6-i)52,2025,"The Role of Fake News, Deceptive Propaganda on Social Media in Shaping Public Perceptions",survey n=356 on fake news encountered on social media
INCLUDE,W4409457501,10.63332/joph.v5i3.910,2025,"The Role of Social Media in Shaping Public Discourse among Generation Z: Trends, Challenges, and Implication",reports 30% of analysed posts are misinformation
INCLUDE,W7166447493,10.5281/zenodo.20994749,2026,Therapeutic frequencies in digital music culture: A content analysis on technical accuracy and the expectation effect,92% of 150 sampled contents lacked the claimed frequencies
INCLUDE,W4403902536,10.1097/tp.0000000000005261,2024,Trials and Tribulations: Responses of ChatGPT to Patient Questions About Kidney Transplantation,"accuracy of ChatGPT answers to patient questions, with denominator"
INCLUDE,W7204568363,10.11648/j.ijpbs.20261103.11,2026,Trust and Misinformation in Youth Digital Mental Health Information-Seeking in Kenya: Implications for Diagnosis Accuracy and Treatment-Seeking Behavior,survey of 412 youth; misinformation exposure prevalence patterns
INCLUDE,W3110681832,10.31926/but.ssl.2020.13.62.1.12,2020,UNDERSTANDING SPUTNIK NEWS AGENCY INTERNET TRAFFIC ANALYSIS,traffic/audience analysis of a disinformation outlet's reach
INCLUDE,W4414259328,10.54501/jots.v3i1.250,2025,Untrustworthy Website Exposure and Election Beliefs: Selective Exposure and Ideological Asymmetry,web-tracking panel of 1194 adults; untrustworthy-website exposure
INCLUDE,W7171617153,10.1126/sciadv.adz6502,2026,Untrustworthy sources on Facebook and Instagram in 2020: Concentrated exposure but no attitudinal effects,platform-wide exposure to untrustworthy sources and its concentration
INCLUDE,W4280639973,10.24052/bmr/v13nu01/art-13,2022,User perceptions of fake news sharing behavior on social media through social networking sites,survey of self-reported fake news sharing and verification behaviour
INCLUDE,W4392246074,10.12819//2024.21.2.2,2024,Users’ Perspective on Knowledge Constructs About Covid-19 on Social Media,survey reports share of respondents encountering fake news
INCLUDE,W4390547716,10.1186/s12889-023-17585-5,2024,Users’ experience with health-related content on YouTube: an exploratory study,"survey of 3,000 YouTube users on health misinformation experience"
INCLUDE,W4400640623,10.47998/ikad.1466830,2024,Using Artificial Intelligence Systems in News Verification: An Application on X,content analysis; share of X accounts' news that is fabricated
INCLUDE,W4415153409,10.2196/67942,2025,Vaccination Conversations on X in Spanish and Catalan: Qualitative Content Analysis,coded 384 posts; misinformation/conspiracy themes with denominator
INCLUDE,W7171843315,10.22271/27084450.2026.v7.i6a.187,2026,Vernacular health misinformation and its negotiation by frontline community health workers,misinformation encountered in 41.3% of 480 observed interactions
INCLUDE,W7207920799,,2026,Voters Education and Electoral Fraud in the 2023 Presidential Election in Oyo State,voter survey reports share encountering misinformation on social media
INCLUDE,W4390840699,10.1002/asi.24869,2024,What's in your PIE ? Understanding the contents of personalized information environments with PIEGraph,"donated X timelines scored for fact quality, exposure share"
INCLUDE,W7161962711,10.64388/irev9i11-1717826,2026,When Social Media Becomes a Problem: An Analysis of Communication Failures in Contemporary Nigerian Political Campaigns,survey: 72.7% of respondents reported misinformation exposure
INCLUDE,W3042611456,10.17645/pag.v8i3.2925,2020,Who Uses Right-Wing Alternative Online Media? An Exploration of Audience Characteristics,"survey prevalence of right-wing alternative online media use, cross-national"
INCLUDE,W4327600222,10.36106/ijsr/7507352,2023,“MONKEY POX DISEASE: AN INSTAGRAM ANALYSIS IN DISSEMINATING ACCURATE INFORMATION”,share of 369 monkeypox Instagram posts from unverified sources
INCLUDE,W4405686951,10.22720/hnmr.2024.00129,2024,"“No claims, no trials, no compensation. Just roll up your sleeve”: social media communication on vaccine uptake sentiments in Canada","20,000 tweets coded, misinformation/conspiracy frame shares reported"
INCLUDE,W4367162917,10.22720/hnmr.2022.6.1.003,2022,“The mask is not for you” : A framing analysis of pro- and anti-mask sentiment on Twitter,content analysis; share of 600 tweets anti-mask/conspiracy
MAYBE,W7167901080,10.5281/zenodo.21301355,2026,"""COMMEMORATING 200 YEARS OF UDANT MARTAND"" THE RESILIENCE PARADOX: WHY HINDI NEWSPAPERS CONTINUE TO COMMAND TRUST IN AN ERA OF DIGITAL INFORMATION EXPANSION",survey may report perceived misinformation on digital platforms
MAYBE,W4282838978,10.1093/cdn/nzac054.046,2022,#mediterraneandiet: A Content Analysis of Mediterranean Diet – Related Information on TikTok,TikTok content analysis coding diet misinformation; share not stated
MAYBE,W4406628020,10.1080/10826084.2024.2422987,2025,"#natural, #vegan, #healing: A Content Analysis of Health Content Among Instagram Posts Focused on Cannabis Edibles",content analysis of 702 posts codes unsubstantiated health claims
MAYBE,W2791367039,10.18332/tid/84741,2018,'Alternative fact' narrative influencing tobacco control: a case study of tobacco industry interference in print media,content analysis of press articles; false-information share possible
MAYBE,W4417165686,10.1093/jsxmed/qdaf320.115,2025,(115) Assessing the Quality of Ai-Generated Responses to Patient Queries on Regenerative Therapies for Erectile Dysfunction: A Multi-Platform Evaluation,"AI chatbot answers on ED therapies appraised, share may be reported"
MAYBE,W4417167038,10.1093/jsxmed/qdaf320.273,2025,(277) What AI Performs Best When Answering Commonly Asked Questions About Testosterone Replacement Therapy?,"AI chatbot answers on TRT graded for accuracy, share may be reported"
MAYBE,W4412432818,10.1016/j.jagp.2025.04.105,2025,"103. WHATSAPP DOC?!: OLDER IMMIGRANTS, COMMUNICATION AND MENTAL HEALTH.","no abstract; older immigrants' messaging-app communication, content unclear"
MAYBE,W4394892871,10.1093/jbcr/irae036.108,2024,109 Practice Promotion or Burn Prevention: An Assessment of the Social Media Landscape in Burn Care,content analysis of burn accounts may code misinformation
MAYBE,W4220776181,10.1016/j.jadohealth.2022.01.043,2022,"126. Adolescent Perceptions of Different e-Cigarette Marketing Characteristics in Retail, Online and Social Media","no abstract; adolescent exposure to e-cigarette marketing, possibly misleading content"
MAYBE,W4408188925,10.19166/lectura.v1i2.9468,2025,"2024 ELECTION LITERACY FOR BEGINNER VOTER IN AMURAN DISTRICT, SOUTH MINAHASA",voter survey; may report exposure to hoaxes on social media
MAYBE,W4366830595,10.1017/cts.2023.431,2023,"396 Quantitative Analysis of FDA Warning Letters Related to the Use of Social Media Sites in Product Misbranding for the Treatment, Prevention, or Diagnosis of COVID-19","counts of COVID misbranding letters by platform, denominator unclear"
MAYBE,W4393513208,10.1016/j.jpag.2024.01.014,2024,7. A TikTok Take on PCOS,no abstract; likely TikTok content analysis of PCOS accuracy
MAYBE,W3204712709,10.18374/jabe-21-3.2,2021,A CRISIS OF KNOWLEDGE MISMANAGEMENT: THE EFFECT OF FAKE NEWS ON CONSUMER DISTRUST ALONG COVID-19 ERA,survey on fake news exposure and consumer distrust
MAYBE,W7124251785,10.36311/1981-1640.2025.v19.e025040,2026,A Checagem de Fatos em Redes Sociais On-Line no Combate à Desinformação sobre Mudanças Climáticas no Rio Grande do Sul,fact-check profile case study; counts possible
MAYBE,W4413442335,10.63056/acad.004.03.0603,2025,A Comparative Analysis of Print and Electronic Media in the Age of Digital Media and Artificial Intelligence,mixed-methods content analysis of credibility; possible share
MAYBE,W7140291265,10.5281/zenodo.19221119,2026,A Critical Analysis of the Laws & Regulations governing OTT Platforms and Social Media in India,survey N=120 reporting misinformation among platform challenges
MAYBE,W7170050858,10.36676/jmk.v6.i1.183,2026,A Deciphering of Digital Democracy: How Social Media Influences Election Results,voter surveys plus social media analytics; may quantify misinformation
MAYBE,W7131351810,10.58213/b8wxac09,2026,A Machine Learning Driven Framework for Enhancing Digital Election Campaigns to Strengthen Democracy,survey may report share exposed to campaign misinformation
MAYBE,W7166018808,10.5281/zenodo.20923723,2026,"A Multivariate Analysis of Factors Influencing the Spread of Misinformation among Undergraduates of the Federal University of Technology, Akure, Nigeria",survey of self-reported misinformation spreading
MAYBE,W7207607455,10.5281/zenodo.22280367,2026,"A Study on Citizen Expectations and State Responses to Curb Spreading of Misinformation in India: Evidence from Public Opinion, Parliamentary Discourse and Policy Analysis",public opinion survey on misinformation; encounter item possible
MAYBE,W7154600683,10.5281/zenodo.19605293,2026,A Study on the Impact of the Digital Age on the Development of Political Awareness in Modern-Day India,political awareness study may report misinformation exposure share
MAYBE,W2917790100,10.1287/isre.2020.0925,2020,A Tangled Web: Should Online Review Portals Display Fraudulent Reviews?,Yelp fraudulent review analysis may report prevalence share
MAYBE,W3089036524,10.1093/pa/gsaa029,2020,A Transparent Digital Election Campaign? The Insights and Significance of Political Advertising Archives for Debates on Electoral Regulation,political ad archive analysis; may quantify misleading ads
MAYBE,W4387208025,10.1016/j.ijrobp.2023.06.743,2023,A U.S. Cancer Center's Interactive Cancer Education Program for Spanish-Speaking Latinos during COVID-19 Pandemic,no abstract; title alone does not exclude
MAYBE,W7125091482,,2026,A crise climática e as dinâmicas glocais de desinformação,content analysis of climate misinformation; shares by source possible
MAYBE,W3214892076,10.1111/ced.15041,2021,A qualitative analysis of online misinformation and conspiracy theories in psoriasis,online misinformation content review; quantitative share unclear
MAYBE,W7163821603,10.1017/s0029665126102663,2026,A study exploring the relationship between social media use and nutrition-related practices among secondary school students in London,adolescent survey on nutrition misinformation exposure
MAYBE,W4400591458,10.26650/connectist2024-1460282,2024,A study on Kahramanmaraş Earthquake survivors : “Social media platforms were more effectively used than the traditional media”,survey of earthquake survivors; disinformation exposure share unclear
MAYBE,W4413218774,10.1017/s0029665125101055,2025,A systematic analysis of the quality of online nutrition information relating to autism and diet available on the social media platform X (formerly Twitter),content analysis of 596 X posts; may give share of poor-quality items
MAYBE,W4411410730,10.1016/j.ard.2025.06.1339,2025,ABS1260-PARE HEALTH LITERACY ONLINE SURVEY,health-literacy survey may report encountering unreliable online health information
MAYBE,W4413745650,10.1140/epjds/s13688-025-00582-6,2025,AGECovP: identifying ageism and analyzing COVID-19 discourse on older adults in YouTube,YouTube corpus may quantify misinformation/conspiracy content share
MAYBE,W7167815518,10.3126/njmr.v9i2.95265,2026,AI and Cybersecurity: Combating Deepfakes and Misinformation in Nepal,survey n=400 may report misinformation exposure items
MAYBE,W7119112578,10.1007/s43681-025-00946-8,2026,AI in Layman’s life,no abstract; title alone not clearly excludable
MAYBE,W7134227921,10.63544/ijss.v5i2.242,2026,AI-Driven Media Evolution: Redefining Journalism and Communication in the Digital Age,media practitioner survey N=267 rating misinformation risk
MAYBE,W7161259651,10.3390/su18104859,2026,AI-Driven Social Media Analytics for Assessing Climate Change Perceptions and Supporting Adaptation and Sustainability Policies,"topic modelling of 29,576 posts; skepticism/misinformation share unclear"
MAYBE,W7162938155,10.69916/jkbti.v5i2.444,2026,AN ANALYSIS OF FEAR OF MISSING OUT (FOMO) AS A DRIVER OF HOAX DISSEMINATION IN THE PRABOWO ERA USING MLP,"TikTok comments on political hoaxes, share unclear"
MAYBE,W4409759918,10.70428/tedc.v19i1.1173,2025,ANALISIS KETERAMPILAN LITERASI MEMBACA DIGITAL GENERASI Z DALAM MENGIDENTIFIKASI BERITA HOAKS DI ERA DIGITAL,hoax awareness and verification shares in Gen Z survey
MAYBE,W4407177512,10.61784/jtah3037,2025,ANALYZING THE IMPACT OF FALSE INFORMATION ON SOCIAL MEDIA: IMPLICATIONS FOR SOCIETY,classifies posts true vs false; may yield content share
MAYBE,W7168777343,10.5281/zenodo.21392712,2026,ASSESMENT ON POLITICAL CAMPAIGN AMONG YOUTH THROUGH ONLINE MEDIA CONTENT,youth survey may report misinformation exposure share
MAYBE,W7134189934,10.36887/2415-8453-2026-1-12,2026,Adaptation of modern mass media and news media to a multichannel information distribution environment,"secondary analysis of news consumption reports, may give shares"
MAYBE,W4410448741,10.55535/gmr.2024.4.24,2024,Alfabetizarea digitală și rezistența la dezinformare în cadrul personalului militar al NATO,repeat surveys may report disinformation encounter share
MAYBE,W7125369974,10.70553/pau.2025.1991.34,2025,Amplifying Her Voice: The Power of Social Media in Women’s Health Awareness and Advocacy in Nigeria,survey of 200 women may quantify health-misinformation exposure
MAYBE,W3210546290,10.1007/s13278-021-00815-2,2021,Amplifying influence through coordinated behaviour in social networks,no abstract; coordinated amplification could report concentration
MAYBE,W4306322252,10.2196/42759,2022,An Analysis of Information Sources of YouTube Videos Pertaining to Tattoo Removal: Cross-sectional Study,162 YouTube videos coded; misinformation share possible
MAYBE,W7130820602,10.6084/m9.figshare.31385064,2026,An Experiential View of What Short Digital News Practices Mean from An Audience Perspective,data-donation news diaries; unreliable-news share conceivable
MAYBE,W2927878794,10.22174/jcr.2018.55.4.54,2018,An Exploratory Study on the Formal Requirements of ‘Fact’ Suggestion through Analysis of SNU FactCheck Information Metadata,740 fact-check items coded; verdict shares possible
MAYBE,W3080239747,10.2147/rmhp.s257473,2020,An Extensive Search Trends-Based Analysis of Public Attention on Social Media in the Early Outbreak of COVID-19 in China,counts rumours alongside search indices; possible content prevalence
MAYBE,W7167365399,10.1080/01605682.2026.2689428,2026,"An optimisation model for minimising fake news dissemination: the role of user demographics, content characteristics, and intervention strategies",models self-reported fake news sharing; share may be reported
MAYBE,W7204948723,10.51967/tepian.v7i3.3929,2026,Analysis of Hoax News Propagation Patterns on Threads Using GCN-Based Structural Node Embedding,hoax propagation network; concentration of spreaders possible
MAYBE,W4410502312,10.59261/jpia.v1i1.4,2024,Analyzing the Role of Social Media in Shaping Public Opinion and Public Policy in the Post-Truth Era,mixed-methods content analysis plus survey may quantify misinformation
MAYBE,W1129176898,,2015,Antenatal information sources for maternal and infant diet.,survey may report encountered nutrition misinformation
MAYBE,W7170186479,10.71085/sss.05.03.586,2026,Artificial Intelligence-driven disinformation campaigns and their influence on political violence and extremism,mixed-methods secondary data; may report descriptive exposure stats
MAYBE,W4407598524,10.62754/joe.v3i8.6414,2024,Assess Nurses' Social Media Conduct's Effect on Patient Trust,"nurse survey reports misinformation share (44.1%), construct unclear"
MAYBE,W7172541068,10.1177/16094069261464498,2026,Assessing Local Experiences of Health Phenomena: A Methodology for Social Media Surveillance in Public Health,social media surveillance projects may report misinformation content share
MAYBE,W7168508052,10.66851/dnjel.v1i2.87,2026,Assessing Media Literacy and Digital Information Verification Among Boarding House Students Around Universitas Negeri Medan,student survey may report misinformation encounter share
MAYBE,W7147005413,10.5281/zenodo.19369236,2026,Assessing Urban Women's Perception Of The Credibility Of Health Information Shared On Social Media Platforms,survey of perceived credibility may report misinformation encounter share
MAYBE,W4410518719,10.1111/jocd.70252,2025,Assessing the Quality and Safety of Do‐It‐Yourself Cosmetic Neuromodulator Injection Tutorials on YouTube,YouTube tutorial appraisal may code unsafe or misleading share
MAYBE,W7171044156,10.1002/ijgo.71257,2026,Assessing the quality of contraception‐related content on TikTok : A scoping review,scoping review of TikTok contraception content quality
MAYBE,W4416871918,10.1007/s10900-025-01545-8,2025,"Assessment of Knowledge, Attitude, and Anxiety among Healthcare Providers and Medical Students in Iraq about Monkeypox Virus during the 2024 Global Outbreak",no abstract; monkeypox KAP survey may include misinformation exposure
MAYBE,W4389344071,10.1016/j.clnesp.2023.09.449,2023,Assessment of scientific reliability and quality of the gluten-free diet video clips on youtube,YouTube reliability assessment may code misinformation
MAYBE,W7118388341,10.5281/zenodo.18169599,2025,Audience Perception of Igbo Broadcast News Credibility in Enugu South Local Government Area of Enugu state,survey reports 77.6% citing misinformation as a threat
MAYBE,W7171491987,10.6084/m9.figshare.33102213,2026,Austrian adolescents’ sources of political information and trust in them: The reconfiguration of information authority on social media,data-donation study of adolescents' political information exposure
MAYBE,W7118367196,10.5281/zenodo.18165338,2025,"Awareness, Usage and Challenges of online news platform among Lagos State Local government workers",news-use survey; misinformation may be a quantified challenge
MAYBE,W3047195202,10.5210/spir.v2019i0.11011,2019,"BOTS AMONG US: PREVALENCE, INFLUENCE, AND ROLES OF AUTOMATED ACCOUNTS IN THE GERMAN TWITTER FOLLOW NETWORK",bot prevalence in Twitter network; share reported unclear
MAYBE,W7172490659,10.24818/ea/2026/73/880,2026,Between Social Media Misinformation and AI Assistance: Mechanisms Shaping Purchase Intention for Sustainable Food Products,perceived social media misinformation measured in consumer survey
MAYBE,W7155216858,10.21676/23897856.6368,2025,"Between truth and doubt: The credibility of social networks, an analysis of perceptions of truthfulness",credibility survey n=456; exposure items possible
MAYBE,W4390789843,10.52907/jipit.v3i1.259,2023,Beyond the Ballot: A Comparative Analysis of Political Microtargeting Practices and Regulations in Kenya and Nigeria,analysis of political Facebook ads may code misleading content
MAYBE,W2917182147,10.13135/2611-853x/2914,2018,"Big Data, Small Data, Broken Windows and Fear Discourse: Brexit, the EU and the Majority Illusion",Facebook/press corpus analysis of Brexit fake news; share unclear
MAYBE,W4411615967,10.15605/jafes.038.s2.34,2023,CAN ARTIFICIAL INTELLIGENCE (CHATGPT) REPLACE HEALTHCARE PROVIDERS' WORKLOAD IN MANAGING TYPE 2 DIABETES?,"expert grading of chatbot diabetes answers, share not stated"
MAYBE,W7167089137,10.71097/ijtas.v17.i6.1339,2026,COMBATING MISINFORMATION IN THE DIGITAL ERA: INFORMATION LITERACY INITIATIVES AND THE ROLE OF ACADEMIC LIBRARIES,survey of 200 professionals may report misinformation encounters
MAYBE,W7168391826,10.82403/6k3r-sx78,2026,CONTENT ANALYSIS OF YOUTUBE VIDEOS ON OIL PALM PRODUCTION AND PROCESSING IN NIGERIA,content analysis of 152 videos may code information quality
