part,item_id,study_id,key_value_pct,key_construct,key_denom_class,key_breadth,key_quote
1,C21,OA-W3113799821,1,OTHER,n/a,false,we use search log analysis to investigate the extent ... we find that only around 1% of queries [are misinformation]
1,C22,2-s2.0-85191807094,39,CONTENT,topical,false,61% of videos contained little to no misinformation
1,C23,2-s2.0-105009372730,38,CONTENT,topical,false,"social media also exhibited the highest misinformation prevalence (38%), whereas official sources maintained near-perfect accuracy (98% compliance with scientific evidence)"
1,C24,2-s2.0-85195353413,24.13,CONCENTRATION,n/a,unreliable_source,These deplatformed users accounted for 4.35% of all URL sharing and 24.13% of all misinformation URLs shared among our sample during December 2020
2,D01,2-s2.0-85072114698,95.02,RECALL,population,false,Almost all of them reported having received some information to use salt water for protection against Ebola during the period of the outbreak (95.02%)
2,D02,2-s2.0-105011406180,46.1,CONTENT,topical,misleading,"Among all comments, 46.1% are flagged as containing misinformation ... Nearly half of all comments (46.1%) were flagged for containing misinformation"
2,D03,2-s2.0-105033611630,94.35,CONTENT,topical,false,"From these sources, 94.35% (n=217) contained misinformation"
2,D04,NEW-jadara-2022,81.6,RECALL,population,false,"Furthermore, according to the poll, 81.6 percent of respondents had read Covid-19-related material that turned out to be untrue."
2,D05,SEED-cordonnier2021,0.16,EXPOSURE,all_media,unreliable_source,"5% of connected time dedicated to information was spent consulting information sources considered to be unreliable, which equates to 0.16% of total connected time"
2,D06,2-s2.0-85164694763,26,SHARING,topical,unreliable_source,26% of the domains shared by no-vax communities came from lists of known low-credibility domains versus only 2.4% of those cited by the other users (P<.001)
2,D07,OA-W7161796591,73.81,QUALITY,topical,low_quality,"Overall, 26.19% aligned with at least one protocol, while 73.81% contained unsupported or non-aligned information"
2,D08,2-s2.0-85123475265,41.7,CONTENT,topical,misleading,"Of tweets coded as presenting information, 41.7% (n=377) contained at least one piece of potential misinformation"
2,D09,2-s2.0-85207525286,92,QUALITY,topical,low_quality,"Out of the 50 included #adhdtest videos, 92% (n = 46) were misleading. ... Out of the 50 selected videos, useful videos amounted to 8% (n = 4), while 92% (n = 46) were misleading videos."
2,D10,2-s2.0-85189974015,13.8,SHARING,population,fabricated,About 13.8% of respondents shared the article on Facebook
2,D11,2-s2.0-85114317455,6.9,EXPOSURE,all_media,unreliable_source,"Junk news saw an increased share of external links, from 6.9% in chronological timelines to 9.9% in algorithmic timelines"
2,D12,PMID-42295743,31.7,CONTENT,topical,misleading,"TikTok 31.7% [24.7-38.8], Instagram Reels 16.8% [11.6-22.1], YouTube Shorts 8% [4.2-11.8] (Results 3.3)"
