item_id,construct,denominator_class,breadth,confidence_1to5
R110,CONTENT,curated_sample,misleading,5
R111,EXPOSURE,curated_sample,false,5
R112,CONCENTRATION,political_news,unreliable_source,5
R113,SHARING,all_media,misleading,5
R114,RECALL,population,false,5
R115,REACH,population,unreliable_source,5
R116,CONTENT,curated_sample,misleading,5
R117,SHARING,population,misleading,5
R118,EXPOSURE,all_media,unreliable_source,5
R119,CONCENTRATION,all_media,unreliable_source,5
R120,CONCENTRATION,all_media,misleading,5
R121,CONTENT,topical,misleading,5
R122,CONCENTRATION,all_media,unreliable_source,5
R123,RECALL,population,misleading,5
R124,SHARING,political_news,misleading,4
R125,CONCENTRATION,all_media,unreliable_source,5
R126,REACH,population,unreliable_source,5
R127,CONTENT,all_media,unreliable_source,5
R128,CONCENTRATION,all_media,unreliable_source,5
R129,CONTENT,topical,false,5
R130,CONTENT,topical,misleading,5
R131,CONCENTRATION,topical,unreliable_source,5
R132,QUALITY,topical,low_quality,5
R133,UNSURE,,,
R134,CONTENT,curated_sample,false,5
R135,SHARING,population,false,5
R136,CONTENT,topical,false,5
R137,CONTENT,all_media,misleading,5
R138,RECALL,population,misleading,4
R139,UNSURE,,,
R140,SHARING,political_news,unreliable_source,5
R141,CONCENTRATION,all_media,unreliable_source,5
R142,CONTENT,curated_sample,misleading,5
R143,CONTENT,curated_sample,false,5
R144,UNSURE,,,
R145,CONTENT,curated_sample,misleading,5
R146,RECALL,population,false,5
