item_id,construct,denominator_class,breadth,confidence_1to5,source
F118,CONTENT,topical,misleading,4,round3
F119,CONCENTRATION,all_media,misleading,5,prior_round
F120,CONTENT,political_news,false,5,prior_round
F121,CONTENT,topical,false,5,round3
F122,CONCENTRATION,political_news,misleading,5,prior_round
F123,CONCENTRATION,topical,misleading,4,prior_round
F124,RECALL,population,fabricated,5,prior_round
F125,EXPOSURE,all_media,unreliable_source,5,prior_round
F126,EXPOSURE,all_media,unreliable_source,4,round3
F127,EXPOSURE,all_media,unreliable_source,4,round3
F128,EXPOSURE,all_media,unreliable_source,4,round3
F129,SHARING,all_media,unreliable_source,5,prior_round
F130,SHARING,all_media,unreliable_source,4,round3
F131,SHARING,all_media,unreliable_source,4,round3
F132,SHARING,all_media,unreliable_source,4,round3
F133,CONTENT,curated_sample,false,5,round3
F134,CONTENT,topical,false,5,prior_round
F135,CONTENT,topical,misleading,5,prior_round
F136,CONTENT,topical,misleading,5,prior_round
F137,CONTENT,topical,misleading,5,round3
F138,CONTENT,topical,false,5,round3
F139,CONTENT,topical,misleading,4,round3
F140,CONTENT,curated_sample,fabricated,5,prior_round
F141,CONTENT,topical,misleading,4,round3
F142,CONTENT,topical,false,5,round3
F143,CONTENT,single_source,fabricated,4,round3
F144,CONTENT,single_source,fabricated,4,round3
F145,CONTENT,topical,false,5,round3
F146,SHARING,topical,unreliable_source,5,round3
F147,SHARING,topical,unreliable_source,5,round3
F150,CONTENT,topical,false,5,round3
F151,EXPOSURE,all_media,unreliable_source,5,round3
F153,REACH,population,unreliable_source,5,prior_round
F154,REACH,population,unreliable_source,5,prior_round
F155,CONTENT,topical,false,5,round3
F156,RECALL,population,misleading,5,round3
F157,CONTENT,curated_sample,misleading,4,prior_round
F158,CONTENT,topical,misleading,5,round3
F159,CONTENT,single_source,misleading,5,round3
F160,CONTENT,curated_sample,false,5,prior_round
F161,SHARING,population,fabricated,5,round3
F162,CONTENT,topical,misleading,5,round3
F163,CONTENT,topical,misleading,4,round3
F164,CONTENT,topical,misleading,5,round3
F165,CONTENT,topical,misleading,5,prior_round
F166,CONTENT,topical,false,5,round3
F167,CONTENT,topical,misleading,5,round3
F168,OTHER,topical,false,4,round3
F169,RECALL,population,false,5,prior_round
F170,CONTENT,topical,false,5,round3
F171,CONTENT,topical,misleading,5,round3
F172,QUALITY,topical,low_quality,5,round3
F173,CONTENT,topical,false,5,round3
F175,RECALL,population,fabricated,4,round3
F176,OTHER,population,fabricated,4,round3
F177,CONTENT,topical,false,5,round3
F178,CONTENT,topical,false,5,round3
F179,CONTENT,topical,false,5,round3
F180,CONTENT,topical,false,5,round3
F181,EXPOSURE,curated_sample,false,5,prior_round
F182,CONTENT,topical,false,5,round3
F183,CONTENT,curated_sample,false,5,round3
F184,CONTENT,topical,misleading,5,round3
F185,CONTENT,curated_sample,misleading,5,prior_round
F186,REACH,population,unreliable_source,5,prior_round
F187,CONTENT,topical,misleading,5,round3
F188,CONTENT,topical,misleading,5,round3
F189,REACH,population,unreliable_source,5,prior_round
F190,RECALL,population,fabricated,5,round3
F191,OTHER,population,fabricated,5,prior_round
F192,CONTENT,topical,misleading,5,round3
F193,REACH,population,unreliable_source,5,prior_round
F194,QUALITY,topical,low_quality,5,round3
F195,QUALITY,topical,low_quality,5,round3
F196,CONTENT,topical,false,5,prior_round
F197,CONTENT,topical,misleading,5,round3
F198,CONTENT,topical,misleading,5,round3
F199,CONTENT,topical,false,5,round3
F200,CONTENT,topical,false,5,round3
F201,CONTENT,topical,misleading,5,prior_round
F202,QUALITY,topical,low_quality,5,round3
F203,QUALITY,topical,low_quality,5,round3
F204,CONTENT,curated_sample,misleading,5,round3
F205,CONTENT,topical,false,5,round3
F206,CONTENT,curated_sample,false,5,prior_round
F207,CONTENT,curated_sample,false,5,prior_round
F208,CONTENT,topical,false,5,round3
F209,CONTENT,topical,false,5,round3
F210,QUALITY,topical,low_quality,5,round3
F211,RECALL,population,false,5,round3
F212,CONTENT,curated_sample,misleading,5,prior_round
F213,CONTENT,topical,false,5,round3
F214,CONTENT,topical,false,5,round3
F215,CONTENT,topical,false,4,prior_round
F216,CONTENT,single_source,false,3,round3
F217,CONTENT,topical,false,5,round3
F218,CONTENT,all_media,unreliable_source,5,prior_round
F219,UNSURE,,,,round3
F220,UNSURE,,,,round3
F221,CONTENT,topical,misleading,5,round3
F222,CONTENT,topical,false,5,round3
F223,UNSURE,,,,round3
F224,CONTENT,curated_sample,misleading,5,prior_round
F225,UNSURE,,,,round3
F226,QUALITY,topical,low_quality,4,prior_round
F227,CONTENT,topical,misleading,5,round3
F228,UNSURE,,,,round3
F229,UNSURE,,,,round3
F230,UNSURE,,,,round3
F231,CONTENT,topical,misleading,5,round3
F232,UNSURE,,,,prior_round
F233,QUALITY,topical,low_quality,4,prior_round
F234,CONTENT,topical,false,4,prior_round
F235,CONTENT,topical,false,3,prior_round
F236,UNSURE,,,,round3
F237,CONTENT,topical,false,5,round3
F238,CONTENT,topical,false,5,prior_round
F239,CONTENT,curated_sample,false,5,round3
F240,CONTENT,curated_sample,false,5,prior_round
F241,UNSURE,,,,round3
F242,UNSURE,,,,round3
F243,CONTENT,topical,false,4,prior_round
F244,QUALITY,topical,low_quality,5,round3
F245,QUALITY,topical,low_quality,5,round3
F246,CONTENT,topical,false,4,prior_round
F247,REACH,population,unreliable_source,5,round3
F248,SHARING,population,unreliable_source,5,round3
F249,CONTENT,topical,false,5,round3
F250,UNSURE,,,,round3
F251,CONTENT,topical,false,5,round3
F252,CONTENT,curated_sample,false,4,prior_round
F253,UNSURE,,,,round3
F254,CONTENT,curated_sample,misleading,4,prior_round
F255,CONTENT,topical,misleading,5,round3
F256,CONTENT,topical,false,4,prior_round
F257,CONTENT,topical,false,5,round3
F258,CONTENT,topical,misleading,5,round3
F259,CONTENT,topical,false,5,round3
F260,CONTENT,topical,false,5,round3
F261,CONTENT,topical,false,5,round3
F262,CONTENT,topical,misleading,5,round3
F263,CONTENT,topical,misleading,5,round3
F264,CONTENT,topical,misleading,5,round3
F265,CONTENT,topical,misleading,4,round3
F266,CONTENT,topical,false,5,round3
F267,RECALL,topical,false,5,prior_round
F268,RECALL,population,false,5,round3
F269,RECALL,population,false,3,prior_round
F270,RECALL,population,false,5,round3
F271,RECALL,population,false,3,prior_round
F272,RECALL,population,false,5,round3
F273,RECALL,population,false,5,round3
F274,CONTENT,topical,misleading,4,round3
F275,QUALITY,topical,low_quality,5,round3
F276,CONTENT,all_media,unreliable_source,5,prior_round
F277,SHARING,all_media,unreliable_source,5,round3
F278,CONTENT,all_media,unreliable_source,5,prior_round
F279,SHARING,all_media,unreliable_source,5,round3
F280,CONCENTRATION,all_media,unreliable_source,5,prior_round
F281,CONCENTRATION,all_media,unreliable_source,5,prior_round
F282,EXPOSURE,all_media,unreliable_source,5,round3
F283,EXPOSURE,all_media,unreliable_source,5,round3
F284,EXPOSURE,all_media,unreliable_source,5,round3
F285,REACH,population,unreliable_source,5,round3
F286,REACH,population,unreliable_source,5,round3
F287,SHARING,political_news,unreliable_source,5,round3
F288,CONCENTRATION,population,unreliable_source,5,round3
F289,CONTENT,political_news,unreliable_source,4,round3
F290,CONTENT,curated_sample,misleading,5,prior_round
F291,CONTENT,topical,misleading,5,round3
F293,CONTENT,curated_sample,misleading,5,round3
F294,CONTENT,curated_sample,misleading,5,round3
F295,CONTENT,political_news,misleading,5,round3
F296,CONTENT,political_news,misleading,5,round3
F297,CONTENT,curated_sample,false,4,prior_round
F298,CONTENT,topical,misleading,3,prior_round
F299,CONTENT,topical,misleading,5,round3
F300,UNSURE,,,,round3
F301,UNSURE,,,,round3
F302,CONTENT,political_news,false,5,prior_round
F303,UNSURE,,,,round3
F304,CONTENT,all_media,false,3,prior_round
F305,UNSURE,,,,round3
F306,UNSURE,,,,round3
F307,UNSURE,,,,round3
F308,UNSURE,,,,round3
F309,CONTENT,topical,false,5,round3
F310,CONTENT,topical,false,5,round3
F311,CONTENT,topical,false,4,prior_round
F312,CONTENT,topical,false,4,prior_round
F313,UNSURE,,,,round3
F314,REACH,population,fabricated,4,round3
F315,REACH,population,fabricated,4,round3
F316,RECALL,population,fabricated,5,round3
F317,CONTENT,topical,false,5,round3
F318,CONTENT,topical,false,5,round3
F319,RECALL,topical,misleading,3,prior_round
F320,UNSURE,,,,round3
F321,UNSURE,,,,prior_round
F322,UNSURE,,,,prior_round
F323,UNSURE,,,,prior_round
F324,REACH,population,unreliable_source,3,round3
F325,UNSURE,,,,prior_round
F326,UNSURE,,,,prior_round
F327,UNSURE,,,,prior_round
F328,UNSURE,,,,round3
F329,CONTENT,political_news,unreliable_source,4,round3
F330,SHARING,political_news,unreliable_source,5,round3
F331,CONTENT,all_media,misleading,4,prior_round
F332,CONCENTRATION,all_media,misleading,4,prior_round
F333,QUALITY,topical,low_quality,5,round3
F334,QUALITY,topical,low_quality,5,round3
F335,REACH,population,fabricated,5,prior_round
F336,CONTENT,topical,misleading,5,prior_round
F337,QUALITY,curated_sample,low_quality,4,round3
F338,SHARING,population,misleading,5,round3
F339,SHARING,population,misleading,5,round3
F340,SHARING,population,misleading,5,round3
F341,CONTENT,curated_sample,false,5,round3
F342,SHARING,all_media,misleading,5,prior_round
F343,CONTENT,political_news,unreliable_source,4,prior_round
F344,CONTENT,topical,false,5,prior_round
F345,CONTENT,topical,false,5,prior_round
F346,SHARING,topical,false,5,round3
F347,SHARING,topical,false,5,round3
F348,EXPOSURE,all_media,unreliable_source,4,round3
F349,EXPOSURE,all_media,unreliable_source,4,round3
F350,CONTENT,curated_sample,false,5,round3
F351,SHARING,curated_sample,false,5,round3
F352,CONTENT,topical,false,5,round3
F353,EXPOSURE,topical,unreliable_source,5,round3
F354,EXPOSURE,topical,unreliable_source,5,round3
F355,EXPOSURE,curated_sample,unreliable_source,4,prior_round
F356,EXPOSURE,curated_sample,unreliable_source,4,prior_round
F357,CONCENTRATION,all_media,unreliable_source,5,prior_round
F358,CONCENTRATION,all_media,unreliable_source,5,prior_round
F359,CONTENT,single_source,false,5,round3
F360,CONTENT,single_source,false,5,round3
F361,CONTENT,single_source,false,5,round3
F362,CONTENT,single_source,false,5,round3
F363,CONTENT,single_source,false,5,round3
F364,CONTENT,single_source,false,5,round3
F365,SHARING,curated_sample,unreliable_source,5,prior_round
F366,SHARING,curated_sample,unreliable_source,5,prior_round
F367,CONTENT,topical,false,5,round3
F368,CONTENT,topical,false,5,prior_round
F369,CONTENT,topical,false,5,round3
F370,RECALL,population,misleading,5,prior_round
F371,REACH,population,false,5,round3
F372,RECALL,population,misleading,5,prior_round
F373,REACH,population,false,5,round3
F374,CONTENT,curated_sample,misleading,5,round3
F375,CONTENT,curated_sample,misleading,5,prior_round
F376,CONTENT,topical,misleading,5,round3
F377,SHARING,topical,unreliable_source,5,round3
F378,SHARING,topical,unreliable_source,5,round3
F379,SHARING,topical,unreliable_source,5,round3
F380,SHARING,topical,unreliable_source,5,round3
F381,CONCENTRATION,political_news,unreliable_source,5,prior_round
F382,CONCENTRATION,political_news,unreliable_source,3,prior_round
F383,CONTENT,single_source,unreliable_source,5,round3
F384,CONTENT,single_source,unreliable_source,5,round3
F385,CONTENT,single_source,unreliable_source,5,round3
F386,CONTENT,all_media,unreliable_source,5,prior_round
F387,CONCENTRATION,all_media,unreliable_source,5,prior_round
F388,REACH,population,unreliable_source,5,round3
F389,UNSURE,,,,prior_round
F390,REACH,population,unreliable_source,5,prior_round
F391,EXPOSURE,all_media,unreliable_source,5,round3
F392,CONTENT,political_news,misleading,5,round3
F393,CONTENT,topical,misleading,5,prior_round
F394,CONTENT,curated_sample,false,5,round3
F395,SHARING,topical,unreliable_source,5,round3
F396,CONTENT,political_news,misleading,5,round3
F397,SHARING,all_media,fabricated,5,prior_round
F398,CONCENTRATION,population,unreliable_source,5,round3
F399,CONCENTRATION,political_news,fabricated,5,prior_round
F400,SHARING,all_media,unreliable_source,4,prior_round
F401,SHARING,all_media,unreliable_source,4,prior_round
F402,CONCENTRATION,all_media,unreliable_source,5,prior_round
F403,CONCENTRATION,all_media,unreliable_source,5,prior_round
F404,CONTENT,topical,misleading,5,round3
F405,CONTENT,topical,false,4,round3
F406,CONTENT,topical,misleading,4,round3
F407,EXPOSURE,all_media,unreliable_source,5,prior_round
F408,EXPOSURE,population,unreliable_source,5,round3
F409,EXPOSURE,all_media,unreliable_source,5,prior_round
F410,EXPOSURE,all_media,unreliable_source,5,prior_round
F411,SHARING,population,fabricated,5,round3
F412,SHARING,population,fabricated,5,round3
F413,CONTENT,single_source,misleading,5,round3
F414,CONTENT,single_source,misleading,5,round3
F415,CONTENT,single_source,misleading,5,round3
F416,CONTENT,single_source,misleading,5,round3
F417,CONTENT,topical,false,5,round3
F418,CONTENT,topical,false,5,round3
F419,CONTENT,topical,false,5,round3
F420,CONTENT,curated_sample,false,5,round3
F421,QUALITY,topical,low_quality,5,round3
F422,CONTENT,topical,unreliable_source,5,round3
F423,CONTENT,political_news,fabricated,5,round3
F424,CONTENT,topical,false,4,round3
F425,SHARING,political_news,unreliable_source,5,round3
F426,SHARING,political_news,unreliable_source,5,round3
F427,SHARING,political_news,unreliable_source,5,prior_round
F428,SHARING,political_news,unreliable_source,5,round3
F429,SHARING,political_news,unreliable_source,5,prior_round
F430,SHARING,political_news,unreliable_source,4,prior_round
F431,SHARING,topical,unreliable_source,5,round3
F432,CONTENT,topical,misleading,5,prior_round
F433,RECALL,population,misleading,5,prior_round
F434,REACH,population,misleading,5,round3
F435,REACH,population,misleading,5,round3
F436,REACH,population,misleading,5,round3
F437,REACH,population,misleading,5,round3
F438,QUALITY,topical,low_quality,5,round3
F439,QUALITY,topical,low_quality,5,round3
F440,QUALITY,topical,low_quality,5,round3
F444,SHARING,political_news,unreliable_source,5,round3
F445,CONTENT,topical,misleading,5,round3
F446,EXPOSURE,all_media,unreliable_source,5,prior_round
F447,EXPOSURE,all_media,unreliable_source,5,prior_round
F448,EXPOSURE,population,fabricated,4,round3
F449,RECALL,population,fabricated,5,prior_round
F450,EXPOSURE,population,fabricated,5,round3
F451,EXPOSURE,population,fabricated,4,round3
F452,RECALL,population,fabricated,4,round3
F453,CONTENT,curated_sample,misleading,5,prior_round
F454,CONTENT,curated_sample,misleading,5,prior_round
F455,CONTENT,topical,false,5,round3
F456,CONTENT,curated_sample,misleading,5,prior_round
F458,CONTENT,topical,false,5,round3
F459,CONTENT,topical,false,5,round3
F461,CONTENT,topical,false,5,round3
F462,CONTENT,curated_sample,misleading,5,prior_round
F463,CONTENT,curated_sample,misleading,5,prior_round
F464,CONTENT,topical,false,5,round3
F465,SHARING,all_media,unreliable_source,5,round3
F466,SHARING,all_media,unreliable_source,5,round3
F467,CONTENT,all_media,misleading,4,prior_round
F468,CONTENT,curated_sample,false,5,round3
F469,SHARING,all_media,unreliable_source,5,round3
F470,REACH,population,unreliable_source,5,round3
F471,CONCENTRATION,population,unreliable_source,5,prior_round
F472,CONTENT,topical,false,5,round3
F473,EXPOSURE,all_media,unreliable_source,5,prior_round
F474,CONCENTRATION,political_news,unreliable_source,4,round3
F475,CONCENTRATION,political_news,unreliable_source,5,prior_round
F476,CONTENT,political_news,false,5,round3
F477,REACH,population,unreliable_source,5,prior_round
F478,SHARING,all_media,unreliable_source,4,prior_round
F479,OTHER,all_media,unreliable_source,3,round3
F480,CONTENT,all_media,misleading,5,prior_round
F481,CONTENT,all_media,misleading,5,prior_round
F482,CONTENT,topical,false,5,round3
F483,CONTENT,topical,false,5,round3
F484,CONTENT,topical,false,5,round3
F485,RECALL,population,misleading,5,round3
F486,RECALL,population,false,4,prior_round
F487,EXPOSURE,political_news,unreliable_source,5,round3
F488,SHARING,political_news,unreliable_source,5,round3
F489,CONCENTRATION,population,unreliable_source,5,round3
F490,CONCENTRATION,population,unreliable_source,5,prior_round
F491,SHARING,population,unreliable_source,5,round3
F492,SHARING,population,unreliable_source,5,round3
F493,REACH,population,unreliable_source,5,round3
F494,EXPOSURE,all_media,unreliable_source,5,prior_round
F495,CONCENTRATION,population,unreliable_source,5,round3
F496,EXPOSURE,all_media,unreliable_source,5,prior_round
F497,EXPOSURE,all_media,unreliable_source,5,round3
F498,SHARING,political_news,unreliable_source,5,round3
F499,SHARING,political_news,unreliable_source,4,prior_round
F500,CONTENT,all_media,unreliable_source,4,round3
F501,CONTENT,all_media,unreliable_source,4,round3
F502,CONTENT,all_media,unreliable_source,4,round3
F504,CONTENT,all_media,unreliable_source,4,round3
F505,CONTENT,curated_sample,misleading,5,prior_round
F506,RECALL,population,false,5,prior_round
F507,RECALL,population,false,5,prior_round
F508,RECALL,population,false,5,prior_round
F509,CONTENT,topical,false,5,round3
F510,REACH,population,unreliable_source,5,round3
F511,REACH,population,unreliable_source,5,prior_round
F512,REACH,population,unreliable_source,5,round3
F513,CONTENT,topical,false,5,round3
F514,CONTENT,topical,false,5,round3
F515,CONTENT,topical,misleading,5,round3
F516,CONTENT,topical,misleading,5,round3
F517,SHARING,political_news,unreliable_source,5,prior_round
F518,CONTENT,topical,false,5,prior_round
F519,SHARING,political_news,unreliable_source,5,round3
F520,SHARING,political_news,unreliable_source,5,round3
F521,CONTENT,topical,unreliable_source,5,round3
F522,CONTENT,topical,unreliable_source,4,prior_round
F523,CONTENT,topical,unreliable_source,4,prior_round
F524,CONTENT,topical,unreliable_source,4,prior_round
F525,CONTENT,curated_sample,false,4,round3
F526,CONTENT,topical,unreliable_source,4,prior_round
F527,CONTENT,topical,unreliable_source,5,round3
F528,SHARING,all_media,unreliable_source,5,round3
F529,EXPOSURE,political_news,unreliable_source,5,prior_round
F530,CONTENT,curated_sample,misleading,5,prior_round
F531,CONTENT,curated_sample,misleading,5,prior_round
F532,CONTENT,curated_sample,misleading,5,prior_round
F533,CONTENT,curated_sample,misleading,5,prior_round
F534,CONTENT,curated_sample,misleading,5,prior_round
F535,CONTENT,curated_sample,misleading,5,prior_round
F536,CONCENTRATION,all_media,unreliable_source,5,round3
F537,CONCENTRATION,all_media,unreliable_source,4,prior_round
F538,CONCENTRATION,population,unreliable_source,4,round3
F539,CONCENTRATION,topical,unreliable_source,5,prior_round
F540,REACH,population,unreliable_source,5,prior_round
F541,SHARING,all_media,unreliable_source,4,prior_round
F542,SHARING,all_media,unreliable_source,4,prior_round
F543,SHARING,all_media,unreliable_source,4,prior_round
F544,SHARING,all_media,unreliable_source,4,prior_round
F545,SHARING,all_media,unreliable_source,4,prior_round
F546,SHARING,all_media,unreliable_source,4,prior_round
F547,SHARING,all_media,unreliable_source,4,prior_round
F548,SHARING,all_media,unreliable_source,4,prior_round
F549,CONTENT,all_media,unreliable_source,2,round3
F550,CONTENT,all_media,unreliable_source,2,round3
F551,CONTENT,all_media,unreliable_source,2,round3
F552,CONCENTRATION,all_media,unreliable_source,5,prior_round
F553,OTHER,all_media,unreliable_source,5,prior_round
F554,SHARING,political_news,unreliable_source,5,round3
F555,SHARING,political_news,unreliable_source,5,round3
F556,SHARING,political_news,unreliable_source,5,round3
F557,SHARING,political_news,unreliable_source,5,round3
F558,SHARING,political_news,unreliable_source,5,round3
F559,SHARING,political_news,unreliable_source,5,round3
F560,SHARING,political_news,unreliable_source,5,round3
F561,SHARING,political_news,unreliable_source,5,round3
F562,SHARING,political_news,unreliable_source,5,round3
F563,SHARING,political_news,unreliable_source,5,round3
F564,SHARING,political_news,unreliable_source,5,round3
F565,SHARING,political_news,unreliable_source,5,round3
F566,REACH,population,unreliable_source,5,prior_round
F567,REACH,population,unreliable_source,5,round3
F568,EXPOSURE,topical,unreliable_source,5,prior_round
F569,EXPOSURE,topical,unreliable_source,5,round3
F570,CONCENTRATION,population,unreliable_source,5,round3
F571,CONCENTRATION,population,unreliable_source,5,round3
F572,CONCENTRATION,population,misleading,4,round3
F573,REACH,population,false,5,round3
F574,REACH,population,false,5,round3
F575,CONCENTRATION,political_news,unreliable_source,5,round3
F576,REACH,population,unreliable_source,5,round3
F577,REACH,population,unreliable_source,5,round3
F578,REACH,population,unreliable_source,5,round3
F579,REACH,population,unreliable_source,5,round3
F580,SHARING,population,unreliable_source,4,round3
F581,SHARING,population,unreliable_source,4,round3
F582,SHARING,population,unreliable_source,4,round3
F583,SHARING,population,unreliable_source,5,round3
F584,SHARING,population,unreliable_source,5,round3
F585,SHARING,population,unreliable_source,5,round3
F586,SHARING,population,unreliable_source,5,round3
F587,SHARING,political_news,unreliable_source,5,round3
F588,SHARING,political_news,unreliable_source,5,round3
F589,SHARING,political_news,unreliable_source,5,round3
F590,SHARING,political_news,unreliable_source,5,round3
F591,SHARING,political_news,unreliable_source,5,round3
F592,SHARING,political_news,unreliable_source,5,round3
F593,SHARING,political_news,unreliable_source,5,round3
F594,OTHER,population,unreliable_source,5,round3
F595,RECALL,population,false,5,round3
F596,RECALL,population,false,5,round3
F597,SHARING,political_news,unreliable_source,5,round3
F598,SHARING,political_news,unreliable_source,5,round3
F599,SHARING,political_news,unreliable_source,5,round3
F600,SHARING,political_news,unreliable_source,5,round3
F601,CONTENT,topical,fabricated,5,round3
F602,CONTENT,topical,fabricated,5,round3
F603,CONCENTRATION,population,unreliable_source,4,round3
F604,CONTENT,political_news,misleading,5,round3
F605,CONTENT,political_news,misleading,5,round3
F606,CONTENT,topical,false,5,round3
F607,CONTENT,topical,false,5,round3
F608,RECALL,population,misleading,5,round3
F609,RECALL,population,misleading,5,round3
F610,RECALL,population,misleading,5,round3
F611,REACH,population,unreliable_source,5,round3
F612,REACH,population,unreliable_source,5,round3
F613,REACH,population,unreliable_source,5,round3
F614,REACH,population,unreliable_source,5,round3
F615,REACH,population,unreliable_source,5,round3
F616,REACH,population,unreliable_source,5,round3
F617,REACH,population,unreliable_source,5,round3
F618,REACH,population,unreliable_source,4,round3
F619,REACH,population,unreliable_source,4,round3
F620,REACH,population,unreliable_source,4,round3
F621,REACH,population,unreliable_source,4,round3
F622,OTHER,population,unreliable_source,4,round3
F623,OTHER,population,unreliable_source,4,round3
F624,REACH,population,unreliable_source,5,round3
F625,REACH,population,unreliable_source,5,round3
F626,REACH,population,unreliable_source,5,round3
F627,REACH,population,unreliable_source,5,round3
F628,EXPOSURE,all_media,unreliable_source,5,round3
F629,EXPOSURE,all_media,unreliable_source,5,round3
F630,EXPOSURE,topical,unreliable_source,5,round3
F631,EXPOSURE,topical,unreliable_source,5,round3
F632,REACH,population,unreliable_source,4,round3
F633,CONTENT,topical,false,5,round3
F634,CONTENT,topical,false,5,round3
F635,CONTENT,topical,false,5,round3
F636,RECALL,population,false,4,prior_round
F637,RECALL,population,false,5,prior_round
F638,OTHER,political_news,false,5,round3
F639,OTHER,political_news,unreliable_source,5,round3
F640,SHARING,population,unreliable_source,5,round3
F641,OTHER,population,unreliable_source,3,round3
F642,OTHER,population,unreliable_source,3,round3
F643,OTHER,population,unreliable_source,3,round3
F644,EXPOSURE,all_media,unreliable_source,4,prior_round
