row_key,study_no,row_no,country,platform,period,measure,unit,group_label,our_value,our_construct,our_denominator,our_quote,your_verdict,your_value,your_share_of,your_quote,your_construct,your_note,study_extra
W4281770633#120,3,2,United States,Twitter/X,1 Sep - 15 Dec 2020,concentration of SHARING (top 150 spreaders),account,,50,CONCENTRATION,'sows doubt' retweets/quote tweets (ElectionMisinfo2020),We used 150 accounts because they were also responsible for almost exactly half of the retweets and quote tweets in the data,CANNOT FIND,,,,,"0.0054% of user was calculated from the 150 accounts, but I cannot find the overall account number.","Further CONCENTRATION measurement:  28.6%
""The top 35 accounts alone were responsible for 9,304,879 out of 32,581,921—or 28.6%—of all ""sows doubt"" connected retweets and quote tweets we collected."""
2-s2.0-85078014559#325,4,1,Italy,Twitter/X,1 January-27 May 2019,audience/user concentration of SHARING: top ~[n] of sharers account for >[n] of disinfo tweets (n=users),account,,90,CONCENTRATION,"all users sharing disinformation articles (23,243 users; 354,746 tweets)",approximately 20% of the community (~4k users) accounts for more than 90% of total tweets (~330k),CORRECT,,,,,,
2-s2.0-85078014559#528,4,2,Italy,Twitter/X,,concentration: top-10 sources account for >[n] of total tweets,source,top 10 sources,95,CONCENTRATION,,"Top-10 sources, which account for over 95% of total tweets",CORRECT,,,,,,
2-s2.0-85083323285#487,5,1,United States,other,2016-2018,share of daily media diet,exposure,,0.15,EXPOSURE,"total daily media consumption (~460 min/person/day across TV, desktop, mobile)","Third, fake news comprises only 0.15% of Americans' daily media diet ... comprising only about one-tenth of 1% of Americans' overall daily media diet",CORRECT,,,,,,
2-s2.0-85083323285#488,5,2,United States,other,2016-2018,share of overall news consumption,exposure,,1.0,EXPOSURE,total news consumption (TV + online news minutes),we find that fake news itself is only 1% of overall news consumption ... nor did it occupy more than 1% of their overall news consumption (i.e. including TV),CORRECT,,,,,,
2-s2.0-105019533649#279,6,1,United States,Facebook,Nov 2020 - Feb 2021,% of news posts received on FB feed from misinfo sources (aggregate over all posts),exposure,,5.9,EXPOSURE,"123,708 news-related posts received by 467 users on Facebook (aggregate news-diet share)","On Facebook, 5.9% of our users' news exposure comes from sources known for spreading misinformation",CORRECT,,,,,," CONCENTRATION estimate: Finally, while misinformation posts represent a small fraction (less than 20%) of news exposure on Facebook for the majority of users (92%), a small subset (1%) encounters a much higher proportion of misinformation (60%)"
2-s2.0-105019533649#280,6,2,United States,web_cross_platform,Nov 2020 - Feb 2021,% of news article visits off Facebook from misinfo sources (aggregate),exposure,,2.6,EXPOSURE,"70,587 news article URLs visited off Facebook by 629 users (aggregate news-diet share)","off-platform, only 2.6% of our users' news consumption is from misinformation sources",CORRECT,,,,,," CONCENTRATION estimate: Finally, while misinformation posts represent a small fraction (less than 20%) of news exposure on Facebook for the majority of users (92%), a small subset (1%) encounters a much higher proportion of misinformation (60%)"
2-s2.0-105019533649#281,6,3,United States,Facebook,Nov 2020 - Feb 2021,median per-user fraction of FB news exposure that is misinfo,person,,2,EXPOSURE,per-user share of received FB news posts that are misinfo (median across users),"for the median user, the fraction of misinformation in their news exposure is 2% (x=6%, SD=12%)",CORRECT,,,,,," CONCENTRATION estimate: Finally, while misinformation posts represent a small fraction (less than 20%) of news exposure on Facebook for the majority of users (92%), a small subset (1%) encounters a much higher proportion of misinformation (60%)"
2-s2.0-105019533649#282,6,4,United States,Facebook,Nov 2020 - Feb 2021 (12 weeks),% of users exposed to misinfo at least once on Facebook (reach),person,,63,REACH,467 FB users over the 12-week study window,"63% of users were exposed to misinformation at least once on Facebook, while 46% of users consumed misinformation at least once off Facebook",CORRECT,,,,,," CONCENTRATION estimate: Finally, while misinformation posts represent a small fraction (less than 20%) of news exposure on Facebook for the majority of users (92%), a small subset (1%) encounters a much higher proportion of misinformation (60%)"
2-s2.0-105019533649#283,6,5,United States,web_cross_platform,Nov 2020 - Feb 2021 (12 weeks),% of users who consumed misinfo at least once off Facebook (reach),person,,46,REACH,629 users with off-platform browsing over the 12-week window,"63% of users were exposed to misinformation at least once on Facebook, while 46% of users consumed misinformation at least once off Facebook",CORRECT,,,,,," CONCENTRATION estimate: Finally, while misinformation posts represent a small fraction (less than 20%) of news exposure on Facebook for the majority of users (92%), a small subset (1%) encounters a much higher proportion of misinformation (60%)"
2-s2.0-85194075145#466,7,1,United States,Facebook,Nov 2 2020-Feb 15 2021,misinfo-source share of NEWS posts (not whole feed),item,,5.1,EXPOSURE,"143,129 news posts seen by 472 US data-donor (CheckMyNews) users, Nov 2020-Feb 2021",On average 5.1% of news posts users encounter on Facebook are from sources known to post misinformation repeatedly.,CORRECT,,,,,,
SEED-allcott2017#121,8,1,United States,web_cross_platform,week of 28 Nov 2016,recall-exposure: true recalled exposure = fake-recall minus placebo-recall baseline (# participants),person,,1.2,RECALL,"1,208 post-election US adult survey respondents (SurveyMonkey opt-in panel, weighted to national pop on 10 characteristics)","After weighting for national representativeness, 15 percent of survey respondents recalled seeing the Fake stories ... about 14 percent of people report seeing the placebo stories ... We estimate that the average Fake headline was 1.2 percentage points more likely to be seen and recalled than the average Placebo headline",WRONG VALUE,,," If the average article was seen and recalled by 1.2 percent of American adults, , this gives (0.012 recalled exposure)/(0.386 million shares) ≈ 0.03 chance of a recalled exposure per
million Facebook shares. Given that the Fake articles in our database had 38 million Facebookshares, this implies that the average adult saw and remembered 0.03/million × 38 million ≈ 1.14 fake news articles from our fake news database.",,No idea where they got this number from (is it the weighted one?),"Further estimate for EXPOSURE: 
- 0.03/per million
The average Fake article that we asked about in the post-election survey was shared 0.386 million times on Facebook. If the average article was seen and recalled by 1.2 percent of American adults, this gives (0.012 recalled exposure)/(0.386 million shares) ≈ 0.03 chance of a recalled exposure per million Facebook shares. Given that the Fake articles in our database had 38 million Facebook shares, this implies that the average adult saw and remembered 0.03/million × 38 million ≈ 1.14 fake news articles from our fake news database"
SEED-allcott2017#441,8,2,United States,web_cross_platform,Oct-Nov 2016,fake-site web impressions as share of fake+top-news impressions (diet share),exposure,,5,EXPOSURE,"159M fake-site impressions vs 3 billion top-news impressions (web browsing, Alexa)",there were 159 million impressions on the 65 websites ... or 0.64 impressions per adult. This is dwarfed by the 3 billion impressions on the 665 top news websites over the same period,CORRECT,,,,,unclear to me how this in any way a comparable measurrement since the amount of websites arr not the same,"Further estimate for EXPOSURE: 
- 0.03/per million
The average Fake article that we asked about in the post-election survey was shared 0.386 million times on Facebook. If the average article was seen and recalled by 1.2 percent of American adults, this gives (0.012 recalled exposure)/(0.386 million shares) ≈ 0.03 chance of a recalled exposure per million Facebook shares. Given that the Fake articles in our database had 38 million Facebook shares, this implies that the average adult saw and remembered 0.03/million × 38 million ≈ 1.14 fake news articles from our fake news database"
SEED-allcott2017#442,8,3,United States,Facebook,Nov 2016,% adults who recalled seeing a fake election headline (self-report),person,,15,RECALL,1208 weighted US adults 18+,"After weighting for national representativeness, 15 percent of survey respondents recalled seeing the Fake stories, and 8 percent both recalled seeing the story and said they believed it",CORRECT,,,,,,"Further estimate for EXPOSURE: 
- 0.03/per million
The average Fake article that we asked about in the post-election survey was shared 0.386 million times on Facebook. If the average article was seen and recalled by 1.2 percent of American adults, this gives (0.012 recalled exposure)/(0.386 million shares) ≈ 0.03 chance of a recalled exposure per million Facebook shares. Given that the Fake articles in our database had 38 million Facebook shares, this implies that the average adult saw and remembered 0.03/million × 38 million ≈ 1.14 fake news articles from our fake news database"
2-s2.0-85209547248#383,9,1,United States,web_cross_platform,24 Aug - 7 Dec 2020 (~3.5 months),REACH: % of US adults exposed to >=1 misinformation website (n=[n] participants; ~21M visits),person,,39.1,REACH,"nationally representative sample of 1,238 US adults","based on our data, 39.1% (95% CI = 35.0-43.1%) of American adults were exposed to a misinformation website during the same time period",CORRECT,,,,,,
2-s2.0-85209547248#384,9,2,United States,web_cross_platform,24 Aug - 7 Dec 2020,EXPOSURE diet-share: median % of news diet that is QAnon websites among the exposed (n=48 exposed of [n]),exposure,,0.16,EXPOSURE,news diet of the median QAnon-exposed participant,"For the median exposed person, only 0.16% of their news diet consisted of QAnon websites (95% quantile CI = .005, 2.8%)",CORRECT,,,,,,
2-s2.0-85209547248#531,9,3,United States,web_cross_platform,Aug-Dec 2020,% of US adults exposed to >=1 QAnon website ([n]; REACH),person,,3.7,REACH,,3.7% (95% CI = 2.1-5.4%) of American adults were exposed to at least one QAnon website,CORRECT,,,,,,
2-s2.0-85060025053#482,10,1,United States,Facebook,2016,% of people who shared >=1 fake news article,person,,8.5,REACH,respondents with linked Facebook profile data,"According to our main measure of fake news content, 8.5% of respondents for whom we have linked Facebook data shared at least one such article to their friends.",WRONG DENOMINATOR OR CONSTRUCT,,,,SHARING,,
2-s2.0-85105454127#390,11,1,United States,Twitter/X,tweets through mid-Jan 2019 (~70% post-2016 election),SHARING/CONTENT: % of tweeted national-news links (fake or real) that come from fake-news-source domains (content-N=[n] news links),url,,4,SHARING,"all 85,344 national-news links (fake or real) tweeted/retweeted by the panel (= ~3% of 2.7M total tweets)","Of the tweeted news links, 3,269 (≈ 4%) come from websites with a history of publishing fake news",CORRECT,,,,CONTENT,suits the description: retweets or posts that carried misinformation - but in general I do not see how this mirrors sharing behavior.,
2-s2.0-85105454127#391,11,2,United States,Twitter/X,tweets through mid-Jan 2019 (~70% post-2016 election); reach window,REACH: % of panel participants who shared >=1 fake-news-source link in the observation window (user-N=[n]),person,,11,REACH,"all 2,337 panel participants (YouGov U.S. Twitter panel)",11% of them are responsible for sharing all fake news sources,WRONG DENOMINATOR OR CONSTRUCT,,,,CONCENTRATION,,
2-s2.0-85105454127#392,11,3,United States,Twitter/X,tweets through mid-Jan 2019,CONCENTRATION of SHARING: share of all shared fake-news-publisher links attributable to the top [n] of panelists (user-level),person,,75,CONCENTRATION,"all fake-news-publisher links shared by the panel (N=3,269)",1% of the panelists are responsible for sharing about 75% of all links to fake news publishers,CORRECT,,,,,,
NEW-bergeronboutin-sciadv2026#668,12,1,United States,Facebook,2020,share of feed content from untrustworthy sources (median user),exposure,,1.1,EXPOSURE,all content the median user sees in the Facebook feed (2020),we find this exposure was rare (medians of 1.1% of what users see on Facebook and 0.1% on Instagram) but concentrated,CORRECT,,,,,,"Concentration: 
Facebook: 20%->75.95 
Instagram:  20%->90.1%

Among Facebook users, the top 20% of users
by untrustworthy source exposure were responsible for 75.9% of to-
tal exposure to this type of content on the platform. Similarly, the
top 20% of Instagram users were responsible for 90.1% of total un-
trustworthy source exposure on the platform."
NEW-bergeronboutin-sciadv2026#669,12,2,United States,Instagram,2020,share of feed content from untrustworthy sources (median user),exposure,,0.1,EXPOSURE,all content the median user sees in the Instagram feed (2020),medians of 1.1% of what users see on Facebook and 0.1% on Instagram,CORRECT,,,,,,"Concentration: 
Facebook: 20%->75.95 
Instagram:  20%->90.1%

Among Facebook users, the top 20% of users
by untrustworthy source exposure were responsible for 75.9% of to-
tal exposure to this type of content on the platform. Similarly, the
top 20% of Instagram users were responsible for 90.1% of total un-
trustworthy source exposure on the platform."
NEW-bergeronboutin-sciadv2026#670,12,3,United States,Facebook,2020,concentration of untrustworthy-source exposure (top [n] -> [n]),account,top 23% by untrustworthy exposure,80,CONCENTRATION,,"23% of Facebook users and 11% of Instagram users, representing approximately 53 million and 22 million accounts, were responsible for 80% of exposure to content from untrustworthy sources",CORRECT,,,,,,"Concentration: 
Facebook: 20%->75.95 
Instagram:  20%->90.1%

Among Facebook users, the top 20% of users
by untrustworthy source exposure were responsible for 75.9% of to-
tal exposure to this type of content on the platform. Similarly, the
top 20% of Instagram users were responsible for 90.1% of total un-
trustworthy source exposure on the platform."
2-s2.0-105027959122#158,13,1,Bangladesh,Instagram,Apr - Oct 2021,"share_of_users_spreading_misinfo (# participants, observed/coded from public posts)",person,,7.4,REACH,1200 active social-network-user respondents (publicly shared posts content-coded by researchers),"Of the 1200 respondents, 27.8% had spread facts related to COVID-19, 7.4% spread myths and misinformation. ... Myths and misinformation spread 89 7.4",WRONG DENOMINATOR OR CONSTRUCT,,,,SHARING,"they scraped their social media, so it must be behavioral data?",
2-s2.0-85175105353#183,14,1,Global,Twitter/X,"Feb 25 - July 24, 2022",% of users who shared >=1 misinformation-source link (user-N basis),account,,3.2,REACH,"all 10,020,547 Twitter users in the 117M-tweet Ukraine-war dataset","Of the 10,020,547 total users in the data, 321,806 (or 3.2%) shared links to misinformation sources",WRONG DENOMINATOR OR CONSTRUCT,,,,SHARING,data is platform data,
2-s2.0-85111545521#400,15,1,United States,web_cross_platform,"90-day window, c. 28 Dec 2017 - 30 Apr 2018",% of respondents who visited >=1 untrustworthy site in 90 days (n=respondents),person,,39.2,REACH,671 US adult Facebook-recruited social-media users with 90-day browsing histories,visits to these untrustworthy websites were very rare; 60.8% of respondents visited zero sites and 95.6% visited four or less. The mean number of visits across respondents was 1.19,CORRECT,,,,,,
W4293124965#122,16,1,United States,web_cross_platform,2017-2021,web-traffic share to untrustworthy news outlets (EXPOSURE),exposure,,3.36,EXPOSURE,"% of all news web traffic (visits to news websites), US 2017-2021",[Table 2] Web traffic 2017-2021: US 3.36%,CORRECT,,,,,,"Overall measures in the Abstract: 

EXPOSURE: 
- untrustworthy news outlets 2.3% of web traffic
- news publishing false content  1.4% of web traffic

SHARING: 
- untrustworthy news outlets 14.0% of Facebook engagement
- news publishing false content  6.8% of Facebook engagement

""Overall, untrustworthy news outlets
(as rated by NewsGuard) captured 2.3% of web traffic and 14.0% of
Facebook engagement, while news outlets regularly publishing false
content accounted for 1.4% of web traffic and 6.8% of Facebook
engagement. People largely turned to trustworthy news outlets during the
2020 coronavirus pandemic.""
"
W4293124965#123,16,2,United Kingdom,web_cross_platform,2017-2021,web-traffic share to untrustworthy news outlets (EXPOSURE),exposure,,0.10,EXPOSURE,"% of all news web traffic, UK 2017-2021",[Table 2] Web traffic 2017-2021: UK 0.10%,CORRECT,,,,,,"Overall measures in the Abstract: 

EXPOSURE: 
- untrustworthy news outlets 2.3% of web traffic
- news publishing false content  1.4% of web traffic

SHARING: 
- untrustworthy news outlets 14.0% of Facebook engagement
- news publishing false content  6.8% of Facebook engagement

""Overall, untrustworthy news outlets
(as rated by NewsGuard) captured 2.3% of web traffic and 14.0% of
Facebook engagement, while news outlets regularly publishing false
content accounted for 1.4% of web traffic and 6.8% of Facebook
engagement. People largely turned to trustworthy news outlets during the
2020 coronavirus pandemic.""
"
W4293124965#124,16,3,France,web_cross_platform,2017-2021,web-traffic share to untrustworthy news outlets (EXPOSURE),exposure,,4.43,EXPOSURE,"% of all news web traffic, France 2017-2021",[Table 2] Web traffic 2017-2021: France 4.43%,CORRECT,,,,,,"Overall measures in the Abstract: 

EXPOSURE: 
- untrustworthy news outlets 2.3% of web traffic
- news publishing false content  1.4% of web traffic

SHARING: 
- untrustworthy news outlets 14.0% of Facebook engagement
- news publishing false content  6.8% of Facebook engagement

""Overall, untrustworthy news outlets
(as rated by NewsGuard) captured 2.3% of web traffic and 14.0% of
Facebook engagement, while news outlets regularly publishing false
content accounted for 1.4% of web traffic and 6.8% of Facebook
engagement. People largely turned to trustworthy news outlets during the
2020 coronavirus pandemic.""
"
W4293124965#125,16,4,Germany,web_cross_platform,2017-2021,web-traffic share to untrustworthy news outlets (EXPOSURE),exposure,,0.97,EXPOSURE,"% of all news web traffic, Germany 2017-2021 (mobile dropped after Aug 2020)",[Table 2] Web traffic 2017-2021: Germany 0.97%,CORRECT,,,,,,"Overall measures in the Abstract: 

EXPOSURE: 
- untrustworthy news outlets 2.3% of web traffic
- news publishing false content  1.4% of web traffic

SHARING: 
- untrustworthy news outlets 14.0% of Facebook engagement
- news publishing false content  6.8% of Facebook engagement

""Overall, untrustworthy news outlets
(as rated by NewsGuard) captured 2.3% of web traffic and 14.0% of
Facebook engagement, while news outlets regularly publishing false
content accounted for 1.4% of web traffic and 6.8% of Facebook
engagement. People largely turned to trustworthy news outlets during the
2020 coronavirus pandemic.""
"
W4293124965#126,16,5,United States,Facebook,2017-2021,Facebook-engagement share with untrustworthy news outlets (SHARING),exposure,,18.52,SHARING,"% of Facebook engagement with news outlets, US 2017-2021",[Table 2] Facebook engagement 2017-2021: US 18.52%,CORRECT,,,,,,"Overall measures in the Abstract: 

EXPOSURE: 
- untrustworthy news outlets 2.3% of web traffic
- news publishing false content  1.4% of web traffic

SHARING: 
- untrustworthy news outlets 14.0% of Facebook engagement
- news publishing false content  6.8% of Facebook engagement

""Overall, untrustworthy news outlets
(as rated by NewsGuard) captured 2.3% of web traffic and 14.0% of
Facebook engagement, while news outlets regularly publishing false
content accounted for 1.4% of web traffic and 6.8% of Facebook
engagement. People largely turned to trustworthy news outlets during the
2020 coronavirus pandemic.""
"
W4293124965#127,16,6,United Kingdom,Facebook,2017-2021,Facebook-engagement share with untrustworthy news outlets (SHARING),exposure,,2.44,SHARING,"% of Facebook engagement with news outlets, UK 2017-2021",[Table 2] Facebook engagement 2017-2021: UK 2.44%,CORRECT,,,,,,"Overall measures in the Abstract: 

EXPOSURE: 
- untrustworthy news outlets 2.3% of web traffic
- news publishing false content  1.4% of web traffic

SHARING: 
- untrustworthy news outlets 14.0% of Facebook engagement
- news publishing false content  6.8% of Facebook engagement

""Overall, untrustworthy news outlets
(as rated by NewsGuard) captured 2.3% of web traffic and 14.0% of
Facebook engagement, while news outlets regularly publishing false
content accounted for 1.4% of web traffic and 6.8% of Facebook
engagement. People largely turned to trustworthy news outlets during the
2020 coronavirus pandemic.""
"
W4293124965#128,16,7,France,Facebook,2017-2021,Facebook-engagement share with untrustworthy news outlets (SHARING),exposure,,23.00,SHARING,"% of Facebook engagement with news outlets, France 2017-2021",[Table 2] Facebook engagement 2017-2021: France 23.00%,CORRECT,,,,,,"Overall measures in the Abstract: 

EXPOSURE: 
- untrustworthy news outlets 2.3% of web traffic
- news publishing false content  1.4% of web traffic

SHARING: 
- untrustworthy news outlets 14.0% of Facebook engagement
- news publishing false content  6.8% of Facebook engagement

""Overall, untrustworthy news outlets
(as rated by NewsGuard) captured 2.3% of web traffic and 14.0% of
Facebook engagement, while news outlets regularly publishing false
content accounted for 1.4% of web traffic and 6.8% of Facebook
engagement. People largely turned to trustworthy news outlets during the
2020 coronavirus pandemic.""
"
W4293124965#129,16,8,Germany,Facebook,2017-2021,Facebook-engagement share with untrustworthy news outlets (SHARING),exposure,,8.52,SHARING,"% of Facebook engagement with news outlets, Germany 2017-2021",[Table 2] Facebook engagement 2017-2021: Germany 8.52%,CORRECT,,,,,,"Overall measures in the Abstract: 

EXPOSURE: 
- untrustworthy news outlets 2.3% of web traffic
- news publishing false content  1.4% of web traffic

SHARING: 
- untrustworthy news outlets 14.0% of Facebook engagement
- news publishing false content  6.8% of Facebook engagement

""Overall, untrustworthy news outlets
(as rated by NewsGuard) captured 2.3% of web traffic and 14.0% of
Facebook engagement, while news outlets regularly publishing false
content accounted for 1.4% of web traffic and 6.8% of Facebook
engagement. People largely turned to trustworthy news outlets during the
2020 coronavirus pandemic.""
"
W4293124965#532,16,9,United States,web_cross_platform,2017-2021,"web-traffic share to repeatedly-false news outlets - US (EXPOSURE, strict-definition variant)",url,,0.97,EXPOSURE,,Table 3. Proportion of web traffic & Facebook engagement captured by news outlets repeatedly publishing false content. ... Web traffic 2017-2021 US 0.97%,CORRECT,,,,,,"Overall measures in the Abstract: 

EXPOSURE: 
- untrustworthy news outlets 2.3% of web traffic
- news publishing false content  1.4% of web traffic

SHARING: 
- untrustworthy news outlets 14.0% of Facebook engagement
- news publishing false content  6.8% of Facebook engagement

""Overall, untrustworthy news outlets
(as rated by NewsGuard) captured 2.3% of web traffic and 14.0% of
Facebook engagement, while news outlets regularly publishing false
content accounted for 1.4% of web traffic and 6.8% of Facebook
engagement. People largely turned to trustworthy news outlets during the
2020 coronavirus pandemic.""
"
W4293124965#533,16,10,United Kingdom,web_cross_platform,2017-2021,"web-traffic share to repeatedly-false news outlets - UK (EXPOSURE, strict-definition variant)",url,,0.018,EXPOSURE,,Table 3. Proportion of web traffic & Facebook engagement captured by news outlets repeatedly publishing false content. ... Web traffic 2017-2021 UK 0.018%,CORRECT,,,,,,"Overall measures in the Abstract: 

EXPOSURE: 
- untrustworthy news outlets 2.3% of web traffic
- news publishing false content  1.4% of web traffic

SHARING: 
- untrustworthy news outlets 14.0% of Facebook engagement
- news publishing false content  6.8% of Facebook engagement

""Overall, untrustworthy news outlets
(as rated by NewsGuard) captured 2.3% of web traffic and 14.0% of
Facebook engagement, while news outlets regularly publishing false
content accounted for 1.4% of web traffic and 6.8% of Facebook
engagement. People largely turned to trustworthy news outlets during the
2020 coronavirus pandemic.""
"
W4293124965#534,16,11,France,web_cross_platform,2017-2021,"web-traffic share to repeatedly-false news outlets - France (EXPOSURE, strict-definition variant)",url,,3.3,EXPOSURE,,Table 3. Proportion of web traffic & Facebook engagement captured by news outlets repeatedly publishing false content. ... Web traffic 2017-2021 France 3.30%,CORRECT,,,,,,"Overall measures in the Abstract: 

EXPOSURE: 
- untrustworthy news outlets 2.3% of web traffic
- news publishing false content  1.4% of web traffic

SHARING: 
- untrustworthy news outlets 14.0% of Facebook engagement
- news publishing false content  6.8% of Facebook engagement

""Overall, untrustworthy news outlets
(as rated by NewsGuard) captured 2.3% of web traffic and 14.0% of
Facebook engagement, while news outlets regularly publishing false
content accounted for 1.4% of web traffic and 6.8% of Facebook
engagement. People largely turned to trustworthy news outlets during the
2020 coronavirus pandemic.""
"
W4293124965#535,16,12,Germany,web_cross_platform,2017-2021,"web-traffic share to repeatedly-false news outlets - Germany (EXPOSURE, strict-definition variant)",url,,0.96,EXPOSURE,,Table 3. Proportion of web traffic & Facebook engagement captured by news outlets repeatedly publishing false content. ... Web traffic 2017-2021 Germany 0.96%,CORRECT,,,,,,"Overall measures in the Abstract: 

EXPOSURE: 
- untrustworthy news outlets 2.3% of web traffic
- news publishing false content  1.4% of web traffic

SHARING: 
- untrustworthy news outlets 14.0% of Facebook engagement
- news publishing false content  6.8% of Facebook engagement

""Overall, untrustworthy news outlets
(as rated by NewsGuard) captured 2.3% of web traffic and 14.0% of
Facebook engagement, while news outlets regularly publishing false
content accounted for 1.4% of web traffic and 6.8% of Facebook
engagement. People largely turned to trustworthy news outlets during the
2020 coronavirus pandemic.""
"
