idx,producer,stored_value,curated_class,verdict,verified_source,verified_url,note,check_date
78,CCDH,65,OTHER_NOT_PREVALENCE dup_of=35,CONFIRMED_DUP,CCDH Disinformation Dozen,https://counterhate.com/research/the-disinformation-dozen/,Same claim as idx 35,2026-08-27
83,Statistics Canada,96,RECALL,CONFIRMED_VALUE_METADATA_ERROR,StatCan Misinformation during the COVID-19 pandemic (CPSS-4; fieldwork Jul 20-26 2020; published Feb 2021),https://www150.statcan.gc.ca/n1/daily-quotidien/210202/dq210202c-eng.htm,"StatCan's actual claim: 96% of Canadians WHO USED THE INTERNET TO FIND COVID-19 INFORMATION saw information they suspected was misleading, false or inaccurate. The catalogued wording ('Canadians ... on >=1 social platform') is Kemei et al. 2022's abstract paraphrase, which distorts denominator and channel. Value is the producer's own and stands as RECALL",2026-08-27
84,Kaiser Family Foundation,80,RECLASSIFIED->ATTITUDE,RECLASSIFIED,KFF COVID-19 Vaccine Monitor Media and Misinformation (Oct 14-24 2021; n=1519),https://www.kff.org/health-information-trust/kff-covid-19-vaccine-monitor-media-and-misinformation/,"KFF's own figure is 78% who BELIEVE OR ARE UNSURE about at least one of eight false COVID statements - a belief measure, not encounter recall. The 80% is CNN's headline rounding (Stelter & Langmaid), relayed by Kemei et al. 2022 as 'encountering ... on at least one social media site/app'. Not a producer prevalence-of-exposure estimate; excluded. RECALL n 16->15, median 64.5->64.0",2026-08-27
85,Arcom,97,RECALL,CONFIRMED,Arcom Les Francais et les fausses informations (n=2000; fieldwork 14-26 Nov 2025),https://www.arcom.fr/se-documenter/etudes-et-donnees/etudes-bilans-et-rapports-de-larcom/les-francais-et-les-fausses-informations,Exact quote: 97 % des Francais declarent etre exposes a des fausses informations,2026-08-27
86,Arcom,70,RECALL,CONFIRMED,Arcom Les Francais et les fausses informations,https://www.arcom.fr/se-documenter/etudes-et-donnees/etudes-bilans-et-rapports-de-larcom/les-francais-et-les-fausses-informations,Exact quote: 70 % des Francais pensent avoir deja ete exposes a de fausses informations au moins une fois par semaine,2026-08-27
88,Science Feedback (SIMODS),20.2,TOPICAL,CONFIRMED,SIMODS Report 1 (Sep 2025); stored simods/ URL now 404s,https://science.feedback.org/wp-content/uploads/2025/09/SIMODS-Report-1.pdf,R1 TikTok approx 20% [17.7-22.6] confirmed; stored value is the report table value inside the CI (prior-round check),2026-08-27
89,Science Feedback (SIMODS),13.4,TOPICAL,CONFIRMED,SIMODS Report 1,https://science.feedback.org/wp-content/uploads/2025/09/SIMODS-Report-1.pdf,R1 Facebook 13% [11.5-15.4],2026-08-27
90,Science Feedback (SIMODS),10.6,TOPICAL,CONFIRMED,SIMODS Report 1,https://science.feedback.org/wp-content/uploads/2025/09/SIMODS-Report-1.pdf,R1 X/Twitter 11% [9.0-12.2]; 10.6 is the table value,2026-08-27
91,Science Feedback (SIMODS),8.0,TOPICAL,CONFIRMED,SIMODS Report 1,https://science.feedback.org/wp-content/uploads/2025/09/SIMODS-Report-1.pdf,R1 YouTube approx 8%,2026-08-27
92,Science Feedback (SIMODS),8.5,TOPICAL,CONFIRMED,SIMODS Report 1,https://science.feedback.org/wp-content/uploads/2025/09/SIMODS-Report-1.pdf,R1 Instagram 8.5% [6.9-10.2] (Table 2.1),2026-08-27
93,Science Feedback (SIMODS),2.3,TOPICAL,CONFIRMED,SIMODS Report 1,https://science.feedback.org/wp-content/uploads/2025/09/SIMODS-Report-1.pdf,R1 LinkedIn 2% [1.3-3.2],2026-08-27
101,Science Feedback (SIMODS),25.0,TOPICAL,CONFIRMED,SIMODS second measurement article,https://science.feedback.org/second-measurement-mis-disinformation-major-platforms-europe/,R2 TikTok 25% [22.6-27.5] confirmed live,2026-08-27
102,Science Feedback (SIMODS),14.9,TOPICAL,CONFIRMED,SIMODS second measurement article,https://science.feedback.org/second-measurement-mis-disinformation-major-platforms-europe/,R2 Facebook 15% [13.2-16.8] confirmed live,2026-08-27
103,Science Feedback (SIMODS),12.3,TOPICAL,CONFIRMED,SIMODS second measurement article,https://science.feedback.org/second-measurement-mis-disinformation-major-platforms-europe/,R2 YouTube 12% [10.6-13.9] confirmed live,2026-08-27
104,Science Feedback (SIMODS),10.6,TOPICAL,CONFIRMED,SIMODS second measurement article,https://science.feedback.org/second-measurement-mis-disinformation-major-platforms-europe/,R2 X/Twitter 11% [9.0-12.2] confirmed live; R1 and R2 X values coincide at 10.6 - both inside their CIs,2026-08-27
105,Science Feedback (SIMODS),7.7,TOPICAL,CONFIRMED,SIMODS second measurement article,https://science.feedback.org/second-measurement-mis-disinformation-major-platforms-europe/,R2 Instagram 8% [6.5-9.2] confirmed live,2026-08-27
106,Science Feedback (SIMODS),1.0,TOPICAL,CONFIRMED,SIMODS second measurement article,https://science.feedback.org/second-measurement-mis-disinformation-major-platforms-europe/,R2 LinkedIn 1% [0.5-1.5] confirmed live,2026-08-27
