id,construct,our_value,blind_value,blind_quote
2-s2.0-85148963619,CONCENTRATION,35,35 (abstract; ~34 in results),Tweets by a small group of approximately 800 “superspreaders” verified by Twitter accounted for approximately 35% of all
2-s2.0-85159153364,CONCENTRATION,68,68,"On Twitter, the picture is very similar in the case of Russian propaganda... generate over 68% of all retweets linking t"
2-s2.0-85194023903,CONCENTRATION,81,70,"0.25% of accounts (1,000 in total) accounted for more than 70% of such content."
2-s2.0-85194733750,CONCENTRATION,0.3,80 (top 0.3% -> 80%),"However, an extremely small fraction of our sample (0.3%; only 2107 people) accounted for 80% of the tweets linking to f"
2-s2.0-85195353413,CONCENTRATION,24.13,24.13,These deplatformed users accounted for 4.35% of all URL sharing and 24.13% of all misinformation URLs shared among our s
W4281770633,CONCENTRATION,28.6,28.6,"The top 35 accounts alone were responsible for 9,304,879 out of 32,581,921—or 28.6%—of all ""sows doubt"" connected retwee"
2-s2.0-105021775752,SHARING,16,16 (Mar 2020); 30 (Dec 2020); 11 (Mar 2021),"In March 2020, the share of problematic news sources shared on Twitter was 16% of all shared news sources. In December, "
2-s2.0-105027856675,SHARING,1.49,2.69,"Total 143 2617 517 3277 411,347 400,285 11,062"
2-s2.0-105029521599,SHARING,0.68,0.68,Percentage of Low-fact Posts in total: 0.68%
2-s2.0-85066887935,SHARING,13.1,13.1,"Looking specifically at links being shared within WhatsApp groups, we note that junk news sources account for 13.1% of a"
2-s2.0-85066894147,SHARING,30,20,"While the average fraction of fake news content is about 20% before the conventions, it lies at ≈ 30% after the nominati"
2-s2.0-85074511992,SHARING,4.2,10.3,The largest proportion of content being shared by Twitter users interested in UK politics comes from Professional News S
2-s2.0-85074596916,SHARING,17.4,17.4,"Junk News and Information 486,446 17.4 [Table 2, Presidential Election column]"
2-s2.0-85088969117,SHARING,52.31,52.31,"In the case of Twitter, false news comprised 52.31% of retweets in relation to the sample selected."
2-s2.0-85089622030,SHARING,23.1,23.1,"Links that contained fake news were shared 2,352,585 times, accounting for 23.1% of the total shares of all the articles"
2-s2.0-85095575703,SHARING,13.94,13.94 (unreliable share; measure_type was blank),"It appears that 86.06% (114,679) of the content shared within our sample set has been shared from reliable sources (Tabl"
2-s2.0-85095594211,SHARING,36,36,"Although there were fewer articles judged as misleading (n = 6), the percentage of their shares reached 36% (n = 1 765 8"
2-s2.0-85142396682,SHARING,3.86,3.86,"Overall, Republicans share 9.1 times more links to websites considered unstrustworthy than Democrats (Republicans 3.86%,"
2-s2.0-85164694763,SHARING,26,26,The difference is remarkable: 26% of the domains shared by no-vax communities came from lists of known low-credibility d
2-s2.0-85188806397,SHARING,26.06,26.06,"When looking at links pointing to untrustworthy news sites (N), the concentration for swing states - 26.06%. - is higher"
2-s2.0-85189974015,SHARING,13.8,13.8,About 13.8% of respondents shared the arti-cle
2-s2.0-85199110625,SHARING,8.48,"7.4 (NT Supply share on FB, derived; measure_type was blank - no single headline prevalence stated)","Non-Trustworthy 81 155, 737 11, 225, 099 108, 703 2, 102, 646 [Table 2: Non-Trustworthy vs Reliable Facebook posts=1,956"
2-s2.0-85213958624,SHARING,0.94,NOT_FOUND,NOT_FOUND (empty measure_type)
W4205602257,SHARING,1.1,1.1,"URLs from domains that publish fake news only comprise 1.1% of the URLs from COVID-19 tweets. However, this is likely an"
W4306964957,SHARING,0.0104,0.0104 (~0.01),"Using our text-based approach, about 0.01% (421) of politicians’ posts contain false stories. ... Text 421 15.4497 0.010"
2-s2.0-105008525623,RECALL,29,71,"En nuestro estudio la mayor parte de narrativas presenta porcentajes de exposición de más del 60 % de los encuestados, c"
2-s2.0-105011756924,RECALL,19.6-94.4,19.6-94.4,"The prevalence of exposure to misinformation among patients with T2DM was highly variable, ranging from 19.6% to 94.4% ("
2-s2.0-105018276467,RECALL,68.8,68.8,"Overall, 68.8% reported at least occasional exposure to fake news on social networking sites."
2-s2.0-84929523850,RECALL,34.0,34,1 in 3 people in (34%) and nearly half (46%) of all 16-34-year-olds say they’ve seen or heard messages discouraging the 
2-s2.0-85055756722,RECALL,8.9,8.9,"In particular, 8.9% admitted to having willfully shared news that was made up and 17.1% willfully shared news that was e"
