id,disposition,stage,title
W3024871347,ARM_EXCLUDED_ABSTRACT,abstract,Insights From Twitter Conversations on Lupus and Reproductive Health: Protocol for a Content Analysis
W3033516737,ARM_NOT_RETRIEVED,retrieval,"Coronavirus (COVID-19)""infodemic"" in the Social Media: A Survey of Kenya International Students in China"
W3036144303,ARM_EXCLUDED_ABSTRACT,abstract,Partisan Gaps in Political Information and Information‐Seeking Behavior: Motivated Reasoning or Cheerleading?
W3042611456,ARM_EXCLUDED_FULL_TEXT,full text,Who Uses Right-Wing Alternative Online Media? An Exploration of Audience Characteristics
W3045528870,ARM_NOT_RETRIEVED,retrieval,Honesty Is the Best Policy
W3047195202,ARM_EXCLUDED_ABSTRACT,abstract,"BOTS AMONG US: PREVALENCE, INFLUENCE, AND ROLES OF AUTOMATED ACCOUNTS IN THE GERMAN TWITTER FOLLOW NETWORK"
W3047238509,ARM_EXCLUDED_ABSTRACT,abstract,"TRUST IN TAIWAN’S MEDIA ECOLOGY, AUDIENCE AND CIVIC ENGAGEMENT: 2018 TAIWANESE LOCAL ELECTIONS AND NATIONAL REFERENDA AS A CASE STUDY"
W3048276999,ARM_EXCLUDED_ABSTRACT,abstract,“Vaccines for pregnant women…?! Absurd” – Mapping maternal vaccination discourse and stance on social media over six months
W3048980451,ARM_NOT_RETRIEVED,retrieval,Media Literacy Dimension in Reinforcing Political Participation Integrity Among Young People in Social Media
W3076458421,ARM_EXCLUDED_ABSTRACT,abstract,Evaluating the Quality of Information Found in the Most Common Health Websites in Google Using DISCERN and CRAAP
W3080239747,ARM_EXCLUDED_ABSTRACT,abstract,An Extensive Search Trends-Based Analysis of Public Attention on Social Media in the Early Outbreak of COVID-19 in China
W3082916558,ARM_EXCLUDED_ABSTRACT,abstract,JOURNALISM AND FACT-CHECKING: typification of sources used for checking and criteria for selecting fact-checked material – an analysis by Agência Lupa and Aos Fatos
W3088859497,ARM_EXCLUDED_ABSTRACT,abstract,From Bad to Worse? The Media and the 2019 Election Campaign
W3089036524,ARM_EXCLUDED_FULL_TEXT,full text,A Transparent Digital Election Campaign? The Insights and Significance of Political Advertising Archives for Debates on Electoral Regulation
W3091946553,ARM_EXCLUDED_FULL_TEXT,full text,Comparing covariation among vaccine hesitancy and broader beliefs within Twitter and survey data
W3092576173,ARM_EXCLUDED_ABSTRACT,abstract,‘COORDINATED INAUTHENTIC BEHAVIOUR’ AND OTHER ONLINE INFLUENCE OPERATIONS IN SOCIAL MEDIA SPACES
W3099932286,ARM_EXCLUDED_FULL_TEXT,full text,"How Do University Students’ Web Search Behavior, Website Characteristics, and the Interaction of Both Influence Students’ Critical Online Reasoning?"
W3108812612,ARM_NOT_RETRIEVED,retrieval,Encountering misinformation online: antecedents of trust and distrust and their impact on the intensity of Facebook use
W3110681832,ARM_EXCLUDED_FULL_TEXT,full text,UNDERSTANDING SPUTNIK NEWS AGENCY INTERNET TRAFFIC ANALYSIS
W3111058483,ARM_EXCLUDED_ABSTRACT,abstract,Obezite ile Mücadelede Medyada Yer Alan Zayıflama Amaçlı Yarışma Programları için Bilimsel ve Etik Değerlendirme
W3113416514,ARM_EXCLUDED_ABSTRACT,abstract,TeleHealth in the digital revolution era
W3127514505,ARM_EXCLUDED_ABSTRACT,abstract,MEDIA EXAGGERATION AND INFORMATION CREDIBILITY: QUALITATIVE ANALYSIS OF FEAR GENERATION FOR COVID- 19 USING NVIVO
W3127528189,ARM_EXCLUDED_ABSTRACT,abstract,Investigation of the Level of Public Awareness Outcome of COVID -19 Pandemic among Nigerians
W3127643009,ARM_EXCLUDED_ABSTRACT,abstract,The Smokescreen of Media during COVID-19 and Its Perpetual Resolutions: A Thick Description
W3129131992,ARM_EXCLUDED_ABSTRACT,abstract,EVALUATING COVID-19 HEALTH INFORMATION USING MACHINE LEARNING
W3129416825,ARM_EXCLUDED_ABSTRACT,abstract,Chilean Digital Press Coverage of the Relation between Diet and Mental Health
W3130132527,ARM_NOT_RETRIEVED,retrieval,Law Student's response to the COVID 19 Infodemic on Social Media: An Empirical Study
W3132012056,ARM_EXCLUDED_ABSTRACT,abstract,Legislator Adoption of the Fake News Label: Ideological Differences in Republican Representative Use on Twitter
W3134591638,ARM_NOT_RETRIEVED,retrieval,Infodemic on Social Media : An analysis of Egyptians’ information behaviors during COVID-19
W3134707315,ARM_EXCLUDED_ABSTRACT,abstract,Misinformation on COVID-19 origin and its relationship with perception and knowledge about social distancing: A cross-sectional study
W3135219393,ARM_EXCLUDED_ABSTRACT,abstract,"Old Tricks, New Opportunities: How Companies Violate the International Code of Marketing of Breast-Milk Substitutes and Undermine Maternal and Child Health during the COVID-19 Pandemic"
W3135294751,ARM_NOT_RETRIEVED,retrieval,Evaluation of COVID-19 Information Provided by Digital Voice Assistants
W3138053709,ARM_EXCLUDED_ABSTRACT,abstract,COVID-19-Related Social Media Fake News in India
W3138942390,ARM_EXCLUDED_ABSTRACT,abstract,Concerns Discussed on Chinese and French Social Media During the COVID-19 Lockdown: Comparative Infodemiology Study Based on Topic Modeling
W3140278754,ARM_NOT_RETRIEVED,retrieval,Public Perception of Social Media Reports on Covid-19 in Port Harcourt Rivers State
W3143407426,ARM_NOT_RETRIEVED,retrieval,THE IMPACT OF MEDIA INFODEMICS ON COVID-19 OUTBREAK IN INTENSIFYING GLOBAL PANIC AMONG MALAYSIANS: A PERCEPTION-BASED ANALYSIS
W3148801295,ARM_EXCLUDED_ABSTRACT,abstract,"Functions, Influences & Effects of WhatsApp Use During the Movement Control Order (MCO) in Malaysia"
W3151893370,ARM_NOT_RETRIEVED,retrieval,COVID-19 infodemic and misinfodemic: A tale of India
W3157245184,ARM_EXCLUDED_ABSTRACT,abstract,The Multidimensionality of Trust: Assessing Finnish Audiences’ Views on the Trustworthiness of Digital News
W3159651393,ARM_NOT_RETRIEVED,retrieval,Confronting strategies in COVID-19 pandemic among health students
W3171657220,ARM_INCLUDED_FROZEN,included,5G Awareness and its Link to COVID-19: Case of Zambians with Access to Internet
W3178060509,ARM_EXCLUDED_FULL_TEXT,full text,Public responses to COVID-19 information from the public health office on Twitter and YouTube: implications for research practice
W3187774863,ARM_EXCLUDED_ABSTRACT,abstract,Infodemic Signal Detection During the COVID-19 Pandemic: Development of a Methodology for Identifying Potential Information Voids in Online Conversations
W3188384768,ARM_EXCLUDED_FULL_TEXT,full text,The Impact of COVID-19 on Conspiracy Hypotheses and Risk Perception in Italy: Infodemiological Survey Study Using Google Trends
W3192748711,ARM_EXCLUDED_ABSTRACT,abstract,MP36-12 MARKETING PLATFORMS DOMINATE CONSUMER UNDERSTANDING OF SHOCKWAVE THERAPY FOR ERECTILE DYSFUNCTION
W3202491947,ARM_EXCLUDED_ABSTRACT,abstract,Critical Thinking in Media Sphere: Attitude of University Teachers to Fake News and Its Impact on the Teaching
W3204712709,ARM_NOT_RETRIEVED,retrieval,A CRISIS OF KNOWLEDGE MISMANAGEMENT: THE EFFECT OF FAKE NEWS ON CONSUMER DISTRUST ALONG COVID-19 ERA
W3206715780,ARM_EXCLUDED_ABSTRACT,abstract,Manifestations of Pain During the COVID-19 Pandemic Portrayed on Social Media: A Cross-Sectional Study
W3209378799,ARM_EXCLUDED_ABSTRACT,abstract,Make a Difference in a Different Way: Twitter Bot Creators and Wikipedia Transparency.
W3210546290,ARM_EXCLUDED_ABSTRACT,abstract,Amplifying influence through coordinated behaviour in social networks
W3214892076,ARM_EXCLUDED_ABSTRACT,abstract,A qualitative analysis of online misinformation and conspiracy theories in psoriasis
W3217112090,ARM_EXCLUDED_ABSTRACT,abstract,"Representaciones sociales del envejecimiento en Chile: cuando las noticias distorsionan, desinforman y enferman. / Social representation of aging in Chile: when the news distorts, misinform and sicken."
W4205325104,ARM_NOT_RETRIEVED,retrieval,"The Impact of Panic Spread in Social Media Over COVID-19 on Dental Students of Nellore, India – A Cross-Sectional Study"
W4206100778,ARM_EXCLUDED_ABSTRACT,abstract,Identifying COVID-19 Instagram behaviour patterns via a novel network analysis pipeline
W4210350805,ARM_INCLUDED_FROZEN,included,BELIEVABILITY OF SOCIAL MEDIA POSTS: A STUDY OF ALLEGED FORCEFUL INJECTION OF MONKEY POX VIRUS IN SCHOOL CHILDREN
W4211191558,ARM_EXCLUDED_ABSTRACT,abstract,‘Blurred boundaries’: When nurses and midwives give anti-vaccination advice on Facebook
W4213346193,ARM_EXCLUDED_ABSTRACT,abstract,Exploring Resource-Sharing Behaviors for Finding Relevant Health Resources: Analysis of an Online Ovarian Cancer Community
W4214697828,ARM_EXCLUDED_ABSTRACT,abstract,Infodemic amidst the Covid-19 in the Philippines: Spotted By Vera Files.Org
W4220776181,ARM_EXCLUDED_ABSTRACT,abstract,"126. Adolescent Perceptions of Different e-Cigarette Marketing Characteristics in Retail, Online and Social Media"
W4220988406,ARM_EXCLUDED_ABSTRACT,abstract,How Google Autocomplete Algorithms about Conspiracy Theorists Mislead the Public
W4221007759,ARM_EXCLUDED_AT_RULING,extraction,Misinformation versus Facts: Understanding the Influence of News regarding COVID-19 Vaccines on Vaccine Uptake
W4221106178,ARM_EXCLUDED_FULL_TEXT,full text,Hesitancy towards COVID-19 vaccines on social media in Canada
W4225336103,ARM_NOT_RETRIEVED,retrieval,"An empirical study on internet-based false news stories: experiences, problem awareness and responsibilities"
W4225947046,ARM_EXCLUDED_ABSTRACT,abstract,Informal Social Control Impact on Young People Political Participation Integrity: Structural Equation Modelling Approach
W4226210281,ARM_EXCLUDED_ABSTRACT,abstract,MP14-01 EVALUATING THE QUALITY OF SOCIAL MEDIA CONTENT ON UROLITHIASIS PROCEDURES
W4229001797,ARM_EXCLUDED_ABSTRACT,abstract,Electronic health literacy among older adults in the context of the COVID‐19 pandemic: A mixed‐methods study
W4229016104,ARM_NOT_RETRIEVED,retrieval,Social Media and Functional Gastrointestinal Disorders in Children
W4280639973,ARM_EXCLUDED_FULL_TEXT,full text,User perceptions of fake news sharing behavior on social media through social networking sites
W4281563345,ARM_NOT_RETRIEVED,retrieval,"Comprehensiveness, accuracy, quality, credibility and readability of online information about knee osteoarthritis"
W4281567619,ARM_EXCLUDED_ABSTRACT,abstract,Tackling fake news in socially mediated public spheres: A comparison of Weibo and WeChat
W4281755992,ARM_EXCLUDED_FULL_TEXT,full text,How Official Social Media Affected the Infodemic among Adults during the First Wave of COVID-19 in China
W4282838978,ARM_EXCLUDED_FULL_TEXT,full text,#mediterraneandiet: A Content Analysis of Mediterranean Diet – Related Information on TikTok
W4283660595,ARM_EXCLUDED_FULL_TEXT,full text,How accurate are news mentions of scholarly output? A content analysis
W4283759691,ARM_EXCLUDED_ABSTRACT,abstract,Social Media Movement and Covid-19 Prevention in Indonesia
W4285079489,ARM_EXCLUDED_ABSTRACT,abstract,The Role of Educational Content in Raising the Skill of Media Students in Detecting False News on Digital Platforms: A field Study on a Sample of Students from Media Colleges and Departments in Arab Universities
W4285795763,ARM_EXCLUDED_ABSTRACT,abstract,Exploring Denial Strategies against Climate Change across Agents and Media Platforms
W4286362903,ARM_EXCLUDED_ABSTRACT,abstract,Tracking Anti-Vax Social Movement Using AI-Based Social Media Monitoring
W4291885213,ARM_EXCLUDED_ABSTRACT,abstract,Web-Based Perspectives of Deemed Consent Organ Donation Legislation in Nova Scotia: Thematic Analysis of Commentary in Facebook Groups
W4292318859,ARM_EXCLUDED_ABSTRACT,abstract,Impact of Media: Spreading Web Information
W4293077290,ARM_EXCLUDED_ABSTRACT,abstract,Populist media diets
W4296175712,ARM_NOT_RETRIEVED,retrieval,Penyebaran Berita Hoaks Seputar Fatwa Haram Vaksinasi Covid-19
W4296719610,ARM_EXCLUDED_FULL_TEXT,full text,Covid-19 Information Behaviour of Social Media Users in Nigeria
W4296755342,ARM_EXCLUDED_FULL_TEXT,full text,Auditing Google's Search Headlines as a Potential Gateway to Misleading Content
W4300003789,ARM_EXCLUDED_ABSTRACT,abstract,From sadness to anger: Public perception over Covid-19 news coverage in Indonesia
W4306322252,ARM_EXCLUDED_ABSTRACT,abstract,An Analysis of Information Sources of YouTube Videos Pertaining to Tattoo Removal: Cross-sectional Study
W4306911960,ARM_EXCLUDED_ABSTRACT,abstract,Reinventing the wheal: A review of online misinformation and conspiracy theories in urticaria
W4306960737,ARM_INCLUDED_FROZEN,included,A Quality Assessment of Information Available on Renal Cancer on YouTube
W4307133870,ARM_EXCLUDED_ABSTRACT,abstract,Impact of Infodemic on Public Perception on Covid-19 Pandemic: Web-Based Cross-Sectional Survey
W4307383795,ARM_EXCLUDED_ABSTRACT,abstract,Use of Hashtags related to Covid-19 infodemics by bot accounts
W4310690307,ARM_NOT_RETRIEVED,retrieval,An Analysis of Alopecia Related Content on Instagram and TikTok
W4311288517,ARM_INCLUDED_NO_DATA,extraction,Impact of COVID-19 on HIV Prevention Access: A Multi-platform Social Media Infodemiology Study
W4311661047,ARM_EXCLUDED_ABSTRACT,abstract,Twitter Trends for Celiac Disease and the Gluten-Free Diet: Cross-sectional Descriptive Analysis
W4312155658,ARM_EXCLUDED_ABSTRACT,abstract,OP74 Assessing Public Confidence Towards COVID-19 Vaccines Through Social Media Insights Leveraged Using Artificial Intelligence Techniques
W4312177457,ARM_EXCLUDED_ABSTRACT,abstract,Vidzeme Region Inhabitants’ Media Usage Specifics
W4312318885,ARM_NOT_RETRIEVED,retrieval,"Infodemi COVID-19 dengan Peran Social Media Fatigue, Deficient Self-Regulation, dan Promosi Diri"
W4312590649,ARM_NOT_RETRIEVED,retrieval,"‘Confused, scared, hopeless, unsure.’ Teens looking for information about COVID-19"
W4313324568,ARM_INCLUDED_FROZEN,included,GENERATION Z: MEDIA CONSUMPTION AND MIL
W4316618180,ARM_EXCLUDED_ABSTRACT,abstract,The effects of online disinformation on a digital society in a fragile democracy
W4317354277,ARM_EXCLUDED_ABSTRACT,abstract,User Perceptions of Privacy and Security in Online Social Networks
W4318617911,ARM_INCLUDED_FROZEN,included,Desórdenes informativos y polarización afectiva: en un análisis de las emociones en publicaciones con desinformación en tres conflictos políticos brasileños en Twitter.
W4319054518,ARM_EXCLUDED_ABSTRACT,abstract,WhatsApp and the Changing Face of the Zimbabwean Newsrooms: A Case of the Chronicle and NewsDay
W4319436674,ARM_EXCLUDED_ABSTRACT,abstract,Peruvian Children’s Access to Oral Health Information during the COVID- 19 Pandemic
W4323824991,ARM_EXCLUDED_ABSTRACT,abstract,Lack of geriatricians in aging‐related national media talks
W4327600222,ARM_NOT_RETRIEVED,retrieval,“MONKEY POX DISEASE: AN INSTAGRAM ANALYSIS IN DISSEMINATING ACCURATE INFORMATION”
W4360606950,ARM_EXCLUDED_ABSTRACT,abstract,MP34-02 PUBLIC INTEREST IN ONLINE INFORMATION ON RECURRENT UTIS IS GREATEST FOR INFORMATION WITH THE POOREST PUBLICATION QUALITY
W4360607897,ARM_NOT_RETRIEVED,retrieval,MP10-14 TIKTOK AS AN EDUCATION TOOL FOR KIDNEY STONE PREVENTION
W4361279959,ARM_EXCLUDED_ABSTRACT,abstract,"Xenophobia and Hate Speech towards Refugees on Social Media: Reinforcing Causes, Negative Effects, Defense and Response Mechanisms against That Speech"
W4365148965,ARM_EXCLUDED_ABSTRACT,abstract,Future of Digital Media in India: A Quantitative study of Experts' Opinion
W4366830595,ARM_EXCLUDED_ABSTRACT,abstract,"396 Quantitative Analysis of FDA Warning Letters Related to the Use of Social Media Sites in Product Misbranding for the Treatment, Prevention, or Diagnosis of COVID-19"
W4367147499,ARM_EXCLUDED_ABSTRACT,abstract,"Global health, global networks: a multilingual network approach to COVID-19 tweets in Norway, Korea, and Italy"
W4367162917,ARM_EXCLUDED_FULL_TEXT,full text,“The mask is not for you” : A framing analysis of pro- and anti-mask sentiment on Twitter
W4379519884,ARM_EXCLUDED_ABSTRACT,abstract,MEDIA PLURALISM IN THE DIGITAL ENVIRONMENT FROM THE USERS’ POINT OF VIEW
W4379768255,ARM_EXCLUDED_ABSTRACT,abstract,TikTok and Transplantation: A Trending Opportunity
W4381274228,ARM_EXCLUDED_ABSTRACT,abstract,The Impact of Social Media on Political Participation and Mobilization in Nigeria
W4381893159,ARM_NOT_RETRIEVED,retrieval,Taking AIm at medical misinformation
W4382246596,ARM_EXCLUDED_ABSTRACT,abstract,Popularisation of Science and Science Journalism on Social Media in Slovakia
W4382681354,ARM_EXCLUDED_ABSTRACT,abstract,Civic Life in the Digital Space of Pre-Service Teachers
W4383070440,ARM_NOT_RETRIEVED,retrieval,"Topic Modelling, Classification and Characterization of Critical Information"
W4383851554,ARM_INCLUDED_FROZEN,included,A web-based cross-sectional observational study on the analysis of information on diabetes on a social media platform (Instagram)
W4384823984,ARM_EXCLUDED_ABSTRACT,abstract,"Settler Colonialism, Illiberal Memory, and German-Canadian Hate Networks in the Twentieth and Twenty-first Centuries"
W4385172648,ARM_EXCLUDED_ABSTRACT,abstract,Trends in bushfire related tweets during the Australian ‘Black Summer’ of 2019/20
W4385325063,ARM_INCLUDED_FROZEN,included,Like-minded sources on Facebook are prevalent but not polarizing
W4385809279,ARM_EXCLUDED_ABSTRACT,abstract,"What's in the black box? How algorithmic knowledge promotes corrective and restrictive actions to counter misinformation in the USA, the UK, South Korea and Mexico"
W4386067305,ARM_NOT_RETRIEVED,retrieval,Labor induction in the age of TikTok: what are influencers teaching patients about oxytocin infusion?
W4386444597,ARM_NOT_RETRIEVED,retrieval,Is TikTok a Tool in an Oral Surgery Practice?
W4386499327,ARM_EXCLUDED_ABSTRACT,abstract,"The Challenges of Internet Usage for Academic Activities Among Students of Delta State University, Abraka"
W4386711659,ARM_NOT_RETRIEVED,retrieval,"The Not-So-Silent ""Majority'': An Automated Content Analysis of Anti-Government Online Communities"
W4386983020,ARM_EXCLUDED_FULL_TEXT,full text,"Spreading Fake Content via Social Media among Tertiary Level Students in Rangpur, Bangladesh"
W4387208025,ARM_EXCLUDED_ABSTRACT,abstract,A U.S. Cancer Center's Interactive Cancer Education Program for Spanish-Speaking Latinos during COVID-19 Pandemic
W4387582650,ARM_NOT_RETRIEVED,retrieval,The Impact of TikTok on Combating and Filtering Hoax News: A Mixed-Methods Study
W4387723304,ARM_EXCLUDED_ABSTRACT,abstract,"Political Values, Orientations and Ideals of Modern Youth and Their Reflection in Virtual Space"
W4387845731,ARM_EXCLUDED_ABSTRACT,abstract,The Complexities of Using Digital Social Networks in Teaching and Learning
W4388777471,ARM_EXCLUDED_ABSTRACT,abstract,Social Media and Political Polarization in Pakistan
W4388814011,ARM_EXCLUDED_ABSTRACT,abstract,Identifying False Information in the Era of Big Data
W4389094417,ARM_EXCLUDED_ABSTRACT,abstract,Extracting factors associated with vaccination from Twitter data and mapping to behavioral models
W4389344071,ARM_NOT_RETRIEVED,retrieval,Assessment of scientific reliability and quality of the gluten-free diet video clips on youtube
W4389458611,ARM_EXCLUDED_ABSTRACT,abstract,Prevalence of infodemic as a factor affecting COVID-19 vaccination acceptance: Literature survey and monitoring in Nigeria
W4389573200,ARM_EXCLUDED_FULL_TEXT,full text,Evaluation of Covid-19 Vaccine Sentiment on TikTok from 2020 to 2022
W4389633384,ARM_INCLUDED_FROZEN,included,A Tumblr thematic analysis of perinatal health: Where users go to seek support
W4389740491,ARM_EXCLUDED_ABSTRACT,abstract,White lies? A qualitative review of internet‐based vitiligo‐related misinformation
W4390506455,ARM_EXCLUDED_ABSTRACT,abstract,Rise against rumors: Leveraging online social movements for hoax prevention by netizens
W4390547716,ARM_EXCLUDED_FULL_TEXT,full text,Users’ experience with health-related content on YouTube: an exploratory study
W4390604998,ARM_EXCLUDED_ABSTRACT,abstract,The Social Ecology of Health Beliefs and Misinformation Framework: Examining the impact of misinformation on vaccine uptake through individual and sociological factors
W4390672319,ARM_EXCLUDED_ABSTRACT,abstract,The Media and Information in the Content Diet of Colombian Social Media Users
W4390677955,ARM_EXCLUDED_ABSTRACT,abstract,The Role of Social Media Networks in Promoting a Culture of Tolerance and Combating Extremism from the Perspective of Gulf Cooperation Council Students Studying at Jordanian Universities
W4390709827,ARM_EXCLUDED_ABSTRACT,abstract,News consumption in cities and towns of Kazakhstan
W4390789843,ARM_EXCLUDED_ABSTRACT,abstract,Beyond the Ballot: A Comparative Analysis of Political Microtargeting Practices and Regulations in Kenya and Nigeria
W4390840699,ARM_NOT_RETRIEVED,retrieval,What's in your PIE ? Understanding the contents of personalized information environments with PIEGraph
W4391623400,ARM_EXCLUDED_FULL_TEXT,full text,Using Social Listening for Digital Public Health Surveillance of Human Papillomavirus Vaccine Misinformation Online: Exploratory Study
W4392246074,ARM_NOT_RETRIEVED,retrieval,Users’ Perspective on Knowledge Constructs About Covid-19 on Social Media
W4392510276,ARM_EXCLUDED_ABSTRACT,abstract,Effect of nutrition-related infodemics and social media on maternal experience: A nationwide survey in a low/middle income country
W4392894021,ARM_EXCLUDED_ABSTRACT,abstract,User behaviour and hoax information on social media case of Indonesia
W4393072789,ARM_EXCLUDED_ABSTRACT,abstract,Evaluating the Impact of Social Media News on the Level of Students’ Fear and Anxiety during the COVID-19 Pandemic
W4393232587,ARM_EXCLUDED_ABSTRACT,abstract,The Utilization of Twitter in The Anticipation of Covid-19 Hoax News in Yogyakarta City
W4393382091,ARM_EXCLUDED_ABSTRACT,abstract,Problems of identifying sources and visual content in social media: the experience of Kazakhstan
W4393513208,ARM_NOT_RETRIEVED,retrieval,7. A TikTok Take on PCOS
W4394061173,ARM_NOT_RETRIEVED,retrieval,NAVIGATING MEDIA LITERACY CHALLENGES IN HIGHER EDUCATION EFL COURSES: INSIGHTS FROM STUDENT BEHAVIORS AND PEDAGOGICAL STRATEGIES
W4394802490,ARM_NOT_RETRIEVED,retrieval,PD60-04 “LINK IN MY BIO”: COMMERCIAL BIAS IN ERECTILE DYSFUNCTION TREATMENT VIDEOS ON SOCIAL MEDIA PLATFORMS
W4394892871,ARM_EXCLUDED_ABSTRACT,abstract,109 Practice Promotion or Burn Prevention: An Assessment of the Social Media Landscape in Burn Care
W4394958350,ARM_EXCLUDED_ABSTRACT,abstract,Capacity to Detect Fake News: Its Relationship to the Utilization of Online Platforms of BSED Social Studies Student
W4395009973,ARM_EXCLUDED_FULL_TEXT,full text,Assessment of the Quality and Reliability of Content Available on YouTube About Palpitations
W4396562450,ARM_EXCLUDED_ABSTRACT,abstract,Sentiments Analysis on Twitter Towards Hoax Information on Social Media News
W4396710265,ARM_EXCLUDED_ABSTRACT,abstract,Characteristics of popular diet-related TikTok videos
W4396889489,ARM_EXCLUDED_ABSTRACT,abstract,Digital Competencies in Verifying Fake News: Assessing the Knowledge and Abilities of Journalism Students
W4396933565,ARM_EXCLUDED_ABSTRACT,abstract,More than news! Mapping the deliberative potential of a political online ecosystem with digital trace data
W4399482417,ARM_EXCLUDED_ABSTRACT,abstract,POS0055-PARE UNDERSTANDING UNMET NEEDS IN GIANT CELL ARTERITIS (GCA) AND POLYMYALGIA RHEUMATICA (PMR) USING SOCIAL MEDIA: A PATIENT AND CAREGIVER PERSPECTIVE
W4399502103,ARM_EXCLUDED_ABSTRACT,abstract,"Relationships between social media usage, attitudes toward information on social media, and COVID-19 vaccine hesitancy"
W4400112596,ARM_EXCLUDED_FULL_TEXT,full text,Followers do not dictate the virality of news outlets on social media
