eid,reason,has_fulltext,doi
2-s2.0-85081723807,Quantified coordinated link sharing of news on Facebook,N,10.1080/1369118X.2020.1739732
2-s2.0-85210450035,content analysis quantifies PCOS info quality with engagement,N,10.3390/healthcare12222253
2-s2.0-85096841971,quantifies acne misinfo quality across 100 TikTok videos,N,10.1111/pde.14471
2-s2.0-105024947911,cross-platform typology categorizes tobacco misinfo content quantitatively,N,10.2196/78854
2-s2.0-105012187453,quantifies coordinated pro-government disinfo activity on Telegram,N,10.1080/19331681.2025.2540822
2-s2.0-85184028503,content analysis quantifies pro-Kremlin disinfo messages Polish space,N,10.14746/ps.2023.1.18
2-s2.0-85076426701,analyzes corpus of MH17 deceptive messages quantifying types,N,10.1080/23800992.2019.1695666
2-s2.0-85136177119,long-term observation quantifying 5G conspiracy spread,N,10.1007/s41060-022-00322-3
2-s2.0-85206567083,large-scale prevalence of AI-generated faces on social media,N,10.1145/3678890.3678922
2-s2.0-85168493955,cross-sectional prevalence of COVID misinfo agreement,N,10.1590/1980-220X-REEUSP-2022-0401en
2-s2.0-85133705089,quantifies fake vs reliable news source audience networks,N,10.3389/fphy.2022.886544
2-s2.0-85190086124,quantifies most-shared telemedicine content quality engagement,N,10.4081/aiua.2024.11206
2-s2.0-85048033888,quantifies misinfo website agenda-setting in news ecosystem,N,10.1177/0093650218777177
2-s2.0-85152543560,quantified HPV vaccine tweet narratives 596k tweets,N,10.1186/s12889-023-15615-w
2-s2.0-85074572033,quantifies IRA disinformation activity across three platforms,N,10.1080/10584609.2019.1661889
2-s2.0-85163873520,topic modeling quantifies fluoride misinfo tweets,N,10.2196/44586
2-s2.0-85173730940,quantifies and typologizes year of war hoaxes,N,10.3145/epi.2023.sep.20
2-s2.0-85113748250,quantifies inauthentic state-sponsored accounts and amplification,N,10.1080/15391523.2021.1962454
2-s2.0-85115868048,quantifies content manipulation prevalence on Reddit,N,10.1080/10304312.2021.1983254
2-s2.0-85119656139,analyzes 800k tweets characterizing misinfo content prevalence,N,10.1177/19312431211057488
2-s2.0-85088376119,SNA tracks conspiracy spread/virality single hashtag,N,10.1177/2053951720938405
2-s2.0-85137124553,compares news vs misinformation data volume early COVID,N,10.3390/ijerph19169800
2-s2.0-85110341147,real-time rumor tracking system,N,10.9745/GHSP-D-21-00031
2-s2.0-85191873949,evaluates accuracy/topics of Community Notes content,N,10.1001/jama.2024.4800
2-s2.0-85119911087,quantifies repeat misinfo offenders engagement on Facebook,N,10.1016/j.ipm.2021.102804
2-s2.0-85215998618,quantifies climate misinfo themes from fact-checker data,N,10.3389/fcomm.2024.1531126
2-s2.0-85180239525,quantifies misinformation/conspiracy in tweet datasets,N,10.3390/journalmedia4040067
2-s2.0-85213052991,quantifies share of fake reviews/content prevalence,N,10.1109/ICCCNT61001.2024.10725718
2-s2.0-105031628513,diary study of real-life misinformation encounters,N,10.1080/1369118X.2026.2636132
2-s2.0-85197571714,quantifies contraceptive tweet content including misinfo share,N,10.1186/s40834-024-00262-2
2-s2.0-85151855879,quantifies anti-vaccine tweet content prevalence,N,10.2196/40575
2-s2.0-105012593177,quantifies quality/misinfo in online websites,N,10.1007/s13187-025-02691-2
2-s2.0-85097932611,Describes caregivers' exposure to cancer misinformation observed,N,10.1002/cncr.33380
2-s2.0-85152090023,Measures fraction of WhatsApp messages that are misinfo,N,10.37016/mr-2020-91
2-s2.0-85067111993,Measures growth/diffusion of climate misinfo across philanthropy,N,10.1088/1748-9326/aaf939
2-s2.0-85198246689,survey media consumption and disinformation Global South,N,10.1093/ijpor/edad042
2-s2.0-85109637895,measures Covid disinformation spread on WhatsApp,N,10.37016/mr-2020-54
2-s2.0-85169998829,measures misinformation spread/retweets cross-lingual,N,10.1038/s41598-023-41760-8
2-s2.0-85104164793,reviews prevalence/consumption of fake news low,N,10.1073/pnas.1912443118
2-s2.0-85141939349,measures spread structure of cancer misinfo YouTube,N,10.2196/39571
2-s2.0-85154550041,maps scale/scope of disinformation Telegram networks,N,10.5210/fm.v27i5.12533
2-s2.0-85110957093,infodemiological analysis of sharing on Twitter,N,10.5380/atoz.v9i2.75929
2-s2.0-105040997538,quantifies perceived exposure amount survey n4741,N,10.3389/fmed.2026.1770275
2-s2.0-85079741978,quantified 4689 disinformation news 330 channels,N,10.1109/ACCESS.2020.2971727
2-s2.0-85142888947,measures engagement of repeat-offender misinfo sites,N,10.37016/mr-2020-100
2-s2.0-105005307787,maps circulation of conspiracy theories platforms,N,10.1515/omgc-2022-0005
2-s2.0-85209895341,quantified quality of 200 amblyopia Instagram posts,N,10.1080/09273972.2024.2425334
2-s2.0-85139185036,content analysis 548 debunked COVID hoaxes,N,10.7764/cdi.52.42915
2-s2.0-85216115628,quantifies bot vs human hashtag dissemination COVID,N,10.2196/50021
2-s2.0-105008921175,87962 messages analyzed sharing in chat groups,N,10.3390/journalmedia6020085
2-s2.0-85140415171,measures health misinfo spread search data,N,10.1089/cyber.2022.0047
2-s2.0-85141695457,analyzes Facebook posts info environment salience,N,10.1080/2474736X.2022.2135451
2-s2.0-85145721931,measures opinion-leader spread of deceiving content,N,10.17645/pag.v10i4.5756
2-s2.0-105021753831,cross-platform analysis engagement mainstreaming fringe,N,10.5117/9789463720762
2-s2.0-85154558018,online news circulation geographic concentration,N,10.1038/s41598-023-33247-3
2-s2.0-85086428988,45957 datapoints monitoring social media rumors,N,10.1002/poi3.203
2-s2.0-105019821539,polling reports public health misinformation prevalence,N,10.1215/03616878-11995152
2-s2.0-85088994135,quantifies 5G conspiracy dissemination Facebook,N,10.1177/1329878X20946113
2-s2.0-85188521597,measures disinformation flows mass mobilization,N,10.3389/fpos.2024.1296004
2-s2.0-84863599686,content analysis prevalence misinfo in movies,N,10.1176/appi.ps.201100371
2-s2.0-105011954954,analyzes AI disinformation diffusion interaction data,N,10.1108/OIR-09-2024-0595
2-s2.0-105005385893,prevalence of treatments and engagement YouTube Shorts,N,10.1177/20501684251327613
